time_s,switch_V,bus_V,highVgs_V,lowVgs_V,highVds_V,lowVds_V,highCurrent_A,lowCurrent_A,highGateCurrent_A,lowGateCurrent_A,loadCurrent_A,feedCurrent_A,highChannelCurrent_A,lowChannelCurrent_A,highDiodeCurrent_A,lowDiodeCurrent_A
0,23.847713454124,23.850951786138,11.999996700183,1.35310205136654e-15,0.00323833201397861,23.847713454124,2.98096427723845,9.54822718668424e-08,1.31992678548216e-07,-5.41240820546615e-17,2.98096418175618,2.98096427724084,2.98096427724908,9.14171697136004e-11,6.149809065391e-25,5.51475733961284e-26
1.25e-10,23.847713454124,23.850951786138,11.999996700183,1.93421451300192e-15,0.0032383320139715,23.847713454124,2.98096427723845,9.54822723109316e-08,1.31992678620928e-07,-7.73685805200768e-17,2.98096418175618,2.98096427724084,2.98096427721632,9.14171697135805e-11,-3.85015812936267e-41,-7.40395457708089e-24
2.5e-10,23.847713454124,23.850951786138,11.999996700183,9.16374122318158e-16,0.00323833201397861,23.847713454124,2.98096427723845,9.54822727550209e-08,1.31992678468993e-07,-3.66549648927263e-17,2.98096418175618,2.98096427724084,2.98096427724904,9.14171697136136e-11,-0,7.97950822697195e-24
3.75e-10,23.847713454124,23.850951786138,11.999996700183,2.07855625110945e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822727550209e-08,1.31992678657805e-07,-8.3142250044378e-17,2.98096418175618,2.98096427724084,2.98096427721637,9.14171697135805e-11,-3.86389342730916e-41,-1.25167587557153e-24
5e-10,23.847713454124,23.850951786138,11.999996700183,1.11648208721463e-16,0.00323833201397505,23.847713454124,2.98096427723845,9.54822718668424e-08,1.31992678479885e-07,-4.46592834885853e-18,2.98096418175618,2.98096427724084,2.98096427724894,9.14171697135871e-11,-0,3.64251515898904e-24
6.25e-10,23.847713454124,23.850951786138,11.999996700183,3.09211974327451e-15,0.0032383320139715,23.847713454124,2.98096427723845,9.54822727550209e-08,1.31992678685514e-07,-1.2368478973098e-16,2.98096418175618,2.98096427724084,2.98096427721649,9.14171697135871e-11,-3.90692221924333e-41,-4.31419908501198e-24
7.5e-10,23.847713454124,23.850951786138,11.999996700183,-2.50660879037865e-16,0.0032383320139715,23.847713454124,2.98096427723845,9.54822718668424e-08,1.31992678534983e-07,1.00264351615146e-17,2.98096418175618,2.98096427724084,2.98096427724885,9.14171697136202e-11,-0,4.78033652987954e-24
8.75e-10,23.847713454124,23.850951786138,11.999996700183,2.78395119730511e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822723109316e-08,1.31992678611048e-07,-1.11358047892204e-16,2.98096418175618,2.98096427724084,2.98096427721658,9.14171697135938e-11,-0,-3.45053078318372e-24
1e-09,23.847713454124,23.850951786138,11.999996700183,3.30963710238816e-16,0.0032383320139715,23.847713454124,2.98096427723845,9.54822723109316e-08,1.31992678602908e-07,-1.32385484095526e-17,2.98096418175618,2.98096427724084,2.98096427724875,9.1417169713607e-11,-0,3.05213128796017e-24
1.125e-09,23.847713454124,23.850951786138,11.999996700183,2.38386998829566e-15,0.00323833201397505,23.847713454124,2.98096427723845,9.54822723109316e-08,1.31992678526116e-07,-9.53547995318262e-17,2.98096418175618,2.98096427724084,2.98096427721664,9.14171697135739e-11,-3.95357072848917e-41,-2.23308319265392e-24
