time_s,switch_V,bus_V,highVgs_V,lowVgs_V,highVds_V,lowVds_V,highCurrent_A,lowCurrent_A,highGateCurrent_A,lowGateCurrent_A,loadCurrent_A,feedCurrent_A
0,23.8477134541469,23.8509517861534,11.999996700183,5.82919077166602e-18,0.00323833200645751,23.8477134541469,2.9809642769319,9.56227571477729e-08,1.31992678564785e-07,-2.33167630866641e-19,2.98096418176837,2.9809642769319
1.25e-12,23.8477134502988,23.850951786148,11.9999966991241,-1.05859053591927e-09,0.00323833587302857,23.8477134503227,2.98096427745022,9.54102006289759e-08,1.32000089969608e-07,4.23436214377872e-11,2.98096418176837,2.9809642769319
2.5e-12,23.8477134505449,23.8509517861484,11.999996699228,-8.44474399179608e-10,0.00323833562734421,23.8477134505688,2.98096427740948,9.54036170064398e-08,1.31998137753442e-07,3.3778975967995e-11,2.98096418176837,2.9809642769319
5e-12,23.8477134507532,23.8509517861488,11.9999966993681,-7.04300585584232e-10,0.00323833541937901,23.8477134507771,2.98096427737394,9.53906114098402e-08,1.31990991469877e-07,2.81720234240454e-11,2.98096418176837,2.9809642769319
1e-11,23.8477134481173,23.850951786145,11.9999966988453,-1.09881306155722e-09,0.00323833805147444,23.8477134481412,2.98096427775234,9.51772696211606e-08,1.32014454923279e-07,4.39525224633435e-11,2.98096418176837,2.98096427693189
2e-11,23.8477134482725,23.8509517861452,11.9999966993936,-5.26121220802949e-10,0.0032383378965477,23.8477134482964,2.98096427772498,9.50606278138366e-08,1.31991834351197e-07,2.1044848832623e-11,2.98096418176837,2.98096427693189
4e-11,23.8477134490601,23.8509517861455,11.9999966997797,-5.6043143813183e-11,0.00323833710922017,23.8477134490839,2.98096427770457,9.49760741164596e-08,1.31974594363982e-07,2.24172575258112e-12,2.98096418176837,2.98096427693187
8e-11,23.8477134539503,23.8509517861501,11.9999967003305,4.21398108000115e-10,0.0032383322237024,23.8477134539741,2.98096427723818,9.52980303559059e-08,1.31954349669172e-07,-1.68559243204092e-11,2.98096418176837,2.98096427693184
1.6e-10,23.8477134515632,23.8509517861451,11.9999966994466,-4.51863591011804e-10,0.00323833460580047,23.847713451587,2.98096427773297,9.51217820066574e-08,1.31987786922139e-07,1.80745436409059e-11,2.98096418176837,2.98096427693177
2.85e-10,23.847713455255,23.8509517861492,11.9999967004013,4.42306510565403e-10,0.0032383309180517,23.8477134552788,2.98096427732759,9.53271364068087e-08,1.31949787540719e-07,-1.76922604230407e-11,2.98096418176837,2.98096427693167
4.1e-10,23.8477134540754,23.8509517861475,11.9999966996415,-3.30289239739656e-10,0.0032383320959859,23.8477134540992,2.98096427749585,9.54517354045947e-08,1.31979823070338e-07,1.32115695899033e-11,2.98096418176837,2.98096427693157
5.35e-10,23.8477134540813,23.8509517861481,11.9999967002468,2.36800538750083e-10,0.00323833209063906,23.8477134541052,2.98096427743399,9.5437474811888e-08,1.31958047155933e-07,-9.47202155023066e-12,2.98096418176837,2.98096427693146
6.6e-10,23.8477134537865,23.8509517861469,11.9999966998317,-1.77499098054043e-10,0.00323833238418203,23.8477134538104,2.98096427755599,9.55144661141105e-08,1.31974256412093e-07,7.09996392233212e-12,2.98096418176837,2.98096427693136
7.85e-10,23.8477134538635,23.8509517861468,11.9999967000982,1.19738488870654e-10,0.00323833230712367,23.8477134538874,2.9809642775627,9.55079078046595e-08,1.31957845539432e-07,-4.78953955494111e-12,2.98096418176837,2.98096427693126
9.1e-10,23.8477134538941,23.8509517861462,11.9999966999518,-8.72008621766888e-11,0.00323833227595927,23.8477134539179,2.9809642776257,9.55873029617749e-08,1.31970395056413e-07,3.48803448715126e-12,2.98096418176837,2.98096427693117
1.035e-09,23.8477134539846,23.8509517861461,11.9999967001082,6.77109146036055e-11,0.00323833218530822,23.8477134540085,2.98096427763269,9.56313970235101e-08,1.31964657423822e-07,-2.70843658420922e-12,2.98096418176837,2.98096427693108
1.16e-09,23.8477134538174,23.8509517861453,11.9999966999574,-4.87967316315739e-11,0.00323833235177418,23.8477134538412,2.98096427770722,9.56638648297314e-08,1.31968437511176e-07,1.9518692653098e-12,2.98096418176837,2.98096427693099
1.285e-09,23.847713453892,23.8509517861451,11.9999967000328,3.56418727031438e-11,0.00323833227688297,23.8477134539159,2.9809642777308,9.56827483911127e-08,1.31962075489156e-07,-1.42567490815997e-12,2.98096418176837,2.9809642769309
1.41e-09,23.847713453946,23.8509517861447,11.9999967000045,-2.17969081853827e-11,0.00323833222250869,23.8477134539698,2.98096427777252,9.57304977511342e-08,1.31968151961814e-07,8.71876327436234e-13,2.98096418176837,2.98096427693081
1.535e-09,23.8477134539246,23.8509517861443,11.9999967000473,2.42027220017896e-11,0.00323833224362957,23.8477134539484,2.98096427780256,9.57589167960293e-08,1.31966426675234e-07,-9.68108880094817e-13,2.98096418176837,2.98096427693073
