regime,modelName,horizonSamples,runCount,meanTruthRMSE_deg,meanMeasurementRMSE_deg,peakAbsoluteError_deg,meanCatastrophicFraction,nonfiniteForecastCount
nominal,Nominal physics,1,10,0.0072906177510702,0.0270035017348851,0.038971068703028,0,0
nominal,Nominal physics,20,10,0.00575174903017823,0.0265345161226675,0.0303923066378636,0,0
nominal,Nominal physics,50,10,0.00605117201047711,0.0264411821016791,0.0321036965053857,0,0
nominal,Nominal physics,100,10,0.00616703983625102,0.026859359146276,0.0327540610154338,0,0
nominal,Nominal physics,250,10,0.0061858636030928,0.0268787699254261,0.0328591594162728,0,0
nominal,Persistent innovation,1,10,0.0103613544860815,0.0283683108311744,0.0566567365768047,0,0
nominal,Persistent innovation,20,10,0.0145765263736446,0.0292309924225443,0.0734297271912832,0,0
nominal,Persistent innovation,50,10,0.0260212634106966,0.0370717060580352,0.125260945158138,0,0
nominal,Persistent innovation,100,10,0.0459720432238069,0.0521185158660213,0.213701449226763,0,0
nominal,Persistent innovation,250,10,0.106684940393088,0.110008343855136,0.484830830930779,0,0
nominal,Linear hybrid,1,10,0.0146151379480092,0.0298904119587716,0.0499477728756372,0,0
nominal,Linear hybrid,20,10,0.0525954854477864,0.0588860106598047,0.176171404056427,0,0
nominal,Linear hybrid,50,10,0.184242690998787,0.18626874064491,0.571702518707607,0,0
nominal,Linear hybrid,100,10,0.583251389999255,0.583697997954113,1.7228389374359,0,0
nominal,Linear hybrid,250,10,2.66253732412035,2.66252568839129,7.76759730774329,0,0
nominal,EDMD hybrid,1,10,0.0146489380928879,0.0298880194960666,0.0508266936021812,0,0
nominal,EDMD hybrid,20,10,0.0530200418746735,0.0593330472339899,0.205985645409598,0,0
nominal,EDMD hybrid,50,10,0.185958234797778,0.188135552240241,0.684996250365477,0,0
nominal,EDMD hybrid,100,10,0.587962446856734,0.588434976192466,2.04858062571555,0,0
nominal,EDMD hybrid,250,10,2.66669192072107,2.66664427540534,8.39626432937304,0,0
varied,Nominal physics,1,10,0.467808717621706,0.468755896090203,1.08186896373158,0,0
varied,Nominal physics,20,10,0.710766288558831,0.71029346034453,1.64338997878523,0,0
varied,Nominal physics,50,10,1.49375881734552,1.49271321463753,3.44498877902258,0,0
varied,Nominal physics,100,10,2.83679118029508,2.83578142651167,6.52973611489961,0,0
varied,Nominal physics,250,10,6.52375315593211,6.52292338620504,14.6208416400338,0.140625,0
varied,Persistent innovation,1,10,0.0298166510375115,0.0406440955461894,0.0977360275812692,0,0
varied,Persistent innovation,20,10,0.0963812215491564,0.100334482803869,0.254055702975016,0,0
varied,Persistent innovation,50,10,0.323774924009229,0.323997698463388,0.817158508761278,0,0
varied,Persistent innovation,100,10,0.993618590672017,0.993699678879993,2.4843711541354,0,0
varied,Persistent innovation,250,10,4.8058598870584,4.80476540900945,11.6681513870592,0.02265625,0
varied,Linear hybrid,1,10,0.0147204919138846,0.0311074577529643,0.0477274799810251,0,0
varied,Linear hybrid,20,10,0.0776757383199441,0.0823681349491192,0.255194880996046,0,0
varied,Linear hybrid,50,10,0.297458358935516,0.298287568050146,0.942933465541532,0,0
varied,Linear hybrid,100,10,0.966676177874224,0.966496281017996,2.96526346145249,0,0
varied,Linear hybrid,250,10,4.47706640150009,4.47677305330637,13.0962481796826,0.0296875,0
varied,EDMD hybrid,1,10,0.0147383722978849,0.0311176911183131,0.047987427271544,0,0
varied,EDMD hybrid,20,10,0.0780769932135247,0.0827257298525809,0.283394210913267,0,0
varied,EDMD hybrid,50,10,0.299245020365275,0.299925948610708,1.07859680564422,0,0
varied,EDMD hybrid,100,10,0.972497441138386,0.972306245553006,3.39320339223342,0,0
varied,EDMD hybrid,250,10,4.49313036443267,4.49282326583446,13.8129886301798,0.03046875,0
nonlinear,Nominal physics,1,10,0.909849446688577,0.909279141527758,2.3354659139789,0,0
nonlinear,Nominal physics,20,10,1.3789704277058,1.37896293207293,3.54449278668979,0,0
nonlinear,Nominal physics,50,10,2.86968955885708,2.86932848867293,7.41676692573449,0,0
nonlinear,Nominal physics,100,10,5.32433545303313,5.32412380935986,13.9245270106268,0.05078125,0
nonlinear,Nominal physics,250,10,11.1904528190186,11.1905035919356,29.2643422395226,0.3984375,0
nonlinear,Persistent innovation,1,10,0.109444127315533,0.112233705931905,0.581653443714386,0,0
nonlinear,Persistent innovation,20,10,0.364623107714971,0.366052486364087,1.7179494772232,0,0
nonlinear,Persistent innovation,50,10,1.1548225515872,1.15527796519084,4.97554108566517,0,0
nonlinear,Persistent innovation,100,10,3.16370305735164,3.16451479203076,12.0299694350463,0.01328125,0
nonlinear,Persistent innovation,250,10,12.1965616987698,12.1960108721573,40.3760128232933,0.40703125,0
