rowScope,modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,runCount,forecastCount,nonfiniteForecastCount,nonfiniteForecastFraction,oneStepPairCount,oneStepNonfiniteCount,oneStepLiftedRelativeError,oneStepInnovationRMSE,oneStepInnovationNormalizedRMSE,constantCoordinateRMSE,quadraticConsistencyRMSE,quadraticConsistencyRelativeError,consistencyNonfiniteCount
run,EDMD hybrid,nominal,nominal_seed_130103,3,130103,250,0.25,1,128,0,0,128,0,0.0495329927553281,0.000488271756589853,0.0422183761780594,0,0.690066544575022,1.02988311904985,0
run,Linear hybrid,nominal,nominal_seed_130104,4,130104,1,0.001,1,128,0,0,128,0,0.0312300807892086,0.000557103496330831,0.0481699067389719,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130104,4,130104,20,0.02,1,128,0,0,128,0,0.0312300807892086,0.000557103496330831,0.0481699067389719,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130104,4,130104,50,0.05,1,128,0,0,128,0,0.0312300807892086,0.000557103496330831,0.0481699067389719,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130104,4,130104,100,0.1,1,128,0,0,128,0,0.0312300807892086,0.000557103496330831,0.0481699067389719,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130104,4,130104,250,0.25,1,128,0,0,128,0,0.0312300807892086,0.000557103496330831,0.0481699067389719,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130104,4,130104,1,0.001,1,128,0,0,128,0,0.0398950981593732,0.000559036267232541,0.0483370236116829,0,0.0294654401307803,0.0349288067046523,0
run,EDMD hybrid,nominal,nominal_seed_130104,4,130104,20,0.02,1,128,0,0,128,0,0.0398950981593732,0.000559036267232541,0.0483370236116829,0,0.214167264768664,0.251380133158265,0
run,EDMD hybrid,nominal,nominal_seed_130104,4,130104,50,0.05,1,128,0,0,128,0,0.0398950981593732,0.000559036267232541,0.0483370236116829,0,0.434964306066604,0.514975148963389,0
run,EDMD hybrid,nominal,nominal_seed_130104,4,130104,100,0.1,1,128,0,0,128,0,0.0398950981593732,0.000559036267232541,0.0483370236116829,0,0.752200849113826,0.804227330764815,0
run,EDMD hybrid,nominal,nominal_seed_130104,4,130104,250,0.25,1,128,0,0,128,0,0.0398950981593732,0.000559036267232541,0.0483370236116829,0,1.04133115556386,1.04122270445793,0
run,Linear hybrid,nominal,nominal_seed_130105,5,130105,1,0.001,1,128,0,0,128,0,0.0335940840458866,0.000522947833313267,0.0452166402220682,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130105,5,130105,20,0.02,1,128,0,0,128,0,0.0335940840458866,0.000522947833313267,0.0452166402220682,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130105,5,130105,50,0.05,1,128,0,0,128,0,0.0335940840458866,0.000522947833313267,0.0452166402220682,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130105,5,130105,100,0.1,1,128,0,0,128,0,0.0335940840458866,0.000522947833313267,0.0452166402220682,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130105,5,130105,250,0.25,1,128,0,0,128,0,0.0335940840458866,0.000522947833313267,0.0452166402220682,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130105,5,130105,1,0.001,1,128,0,0,128,0,0.0509308909805794,0.000522243613429741,0.0451557499093407,0,0.0268626464770208,0.0484026009790645,0
run,EDMD hybrid,nominal,nominal_seed_130105,5,130105,20,0.02,1,128,0,0,128,0,0.0509308909805794,0.000522243613429741,0.0451557499093407,0,0.155940310422306,0.281226879467851,0
run,EDMD hybrid,nominal,nominal_seed_130105,5,130105,50,0.05,1,128,0,0,128,0,0.0509308909805794,0.000522243613429741,0.0451557499093407,0,0.27440104143325,0.497077114790275,0
