modelName,delay,degree,featureCount,ridge,svdTolerance,storedRegressorRank,recomputedRetainedRank,storedRankMatchesThreshold,storedSingularValueCount,positiveSingularValueCount,largestSingularValue,smallestSingularValue,smallestPositiveSingularValue,smallestRetainedSingularValue,positiveSpectrumCondition,retainedSpectrumCondition,constantCoordinateResidual,constantCoordinateIsExact,knownConstantEigenvalue,fullSpectralRadius,affineSpectralRadius,affineEigenvaluesOutsideUnitCircle,affineSpectrumInterpretationValid,ridgeScope,coupledSensitivityStatus,interpretation
Linear hybrid,2,1,6,0.001,1e-09,7,7,1,7,7,2.18961532318923,0.00048728111470408,0.00048728111470408,0.00048728111470408,4493.536189103,4493.536189103,0,1,1,1,0.99730812983136,0,1,Regressor SVD before exact bookkeeping-row overrides,Not computed: physical state and normalized lift mix units; no raw augmented norm reported,Fit diagnostics only; no physical or closed-loop stability certificate
EDMD hybrid,2,2,21,0.001,1e-09,22,22,1,22,22,6.37034332187062,6.17220137121638e-05,6.17220137121638e-05,6.17220137121638e-05,103210.231467467,103210.231467467,0,1,1,1,0.997554264155048,0,1,Regressor SVD before exact bookkeeping-row overrides,Not computed: physical state and normalized lift mix units; no raw augmented norm reported,Fit diagnostics only; no physical or closed-loop stability certificate
