Fixture,Partition,Arm,Ccp_pF,Ccn_pF,Cdiff_pF,TaskSign,Phase_ns,Closure_s,Samples,CompleteFinite,CommandBoundsPass,StoppedCommandZero,ReceiverDomainPass,CausalPackets,WindowPairedRMSE_deg,WindowPairedPeak_deg,FullPairedRMSE_deg,FullPairedPeak_deg,RequestedRMSE_deg,ShapedRMSE_deg,FinalRequestedError_deg,TailRequestedRMSE_deg,TailPairedRMSE_deg,FinalPairedError_deg,FinalShapedError_deg,TailShapedRMSE_deg,PeakSpeed_rad_s,PeakCurrent_A,CurrentSquaredIntegral_A2s,PlantExtremaMethod,CommandEnergy_V2s,CommandVariation_V,CommandPeak_V,ReducedCapSamples,StoppedSamples,SlewLimitedSamples,AmplitudeLimitedSamples,IdealMinusDecodedPeak_counts,IdealMinusDecodedFinal_counts,EMICountPeak_counts,EMICountFinal_counts,DecoderAuditPresent,ObservedTransitions,ShadowTransitions,ExtraTransitions,MissingTransitions,InvalidTransitions,EventMatchingAllowance_s,QuantizationPeak_rad,AlarmSamples,NonnormalSamples,CleanAlarmSamples,CleanNonnormalSamples,CleanSampledCountPeak_counts,CleanFinalRequestedError_deg,CleanTailRequestedRMSE_deg,CleanCompleteFinite,CleanCommandBoundsPass,CleanStoppedCommandZero,CleanCausalPackets,CleanDecoderAuditPresent,CleanSequencePass,CleanDelayPass,CleanMaximumDelay_s,CleanCountConservationPass,CleanGuardPass,Burst1Recovery_s,Burst2Recovery_s,Burst1RecoveryStatus,Burst2RecoveryStatus,ExecutionGuardPass,TaskSuccess,CorruptionEpisodes,FalseAlarmEpisodes,NoncorruptionAlarmSamples,CleanFalseAlarmEpisodes,DetectionStatus,Burst1DetectionStatus,Burst1PreexistingCorruption,Burst1NewCorruptionEpisodes,Burst2DetectionStatus,Burst2PreexistingCorruption,Burst2NewCorruptionEpisodes
DEV01,development,BASELINE,10,9,100,1,0,1e-07,3001,1,1,1,1,1,0,0,0,0,10.9434129937932,2.85279444220934,0.0736673410275694,0.0823304462610494,0,0,0.0737196490489684,0.0824237257321967,4.62821035927068,0.123617853957655,0.00172506121610297,continuous_affine_interval,0.0269139255590908,2.39661874180283,0.422864445044963,0,0,0,0,0,0,0,0,1,964,964,0,0,0,1e-06,0.000766927487182212,0,0,0,0,0,0.0736673410275694,0.0823304462610494,1,1,1,1,1,1,1,6.66450989950107e-08,1,1,4.69190000000341e-05,4.69190000000896e-05,recovered,recovered,1,1,0,0,0,0,no_detectable_opportunity,no_detectable_opportunity,0,0,no_detectable_opportunity,0,0
DEV01,development,EM_ONLY,10,9,1000,1,0,1e-07,3001,1,1,1,1,1,0,0,0,0,10.9434129937932,2.85279444220934,0.0736673410275694,0.0823304462610494,0,0,0.0737196490489684,0.0824237257321967,4.62821035927068,0.123617853957655,0.00172506121610297,continuous_affine_interval,0.0269139255590908,2.39661874180283,0.422864445044963,0,0,0,0,0,0,0,0,1,964,964,0,0,0,1e-06,0.000766927487182212,0,0,0,0,0,0.0736673410275694,0.0823304462610494,1,1,1,1,1,1,1,1.07852225372795e-07,1,1,4.69190000000341e-05,4.69190000000896e-05,recovered,recovered,1,1,0,0,0,0,no_detectable_opportunity,no_detectable_opportunity,0,0,no_detectable_opportunity,0,0
DEV01,development,SW_ONLY,10,9,100,1,0,1e-07,3001,1,1,1,1,1,0,0,0,0,10.9448128591101,2.85425491361753,0.0505541137888752,0.07254524162761,0,0,0.0506064218102742,0.0726390563198634,4.62749154747117,0.12387652076775,0.00173144499559543,continuous_affine_interval,0.0269325578095887,1.74242694336362,0.422062716670382,0,0,0,0,0,0,0,0,1,961,961,0,0,0,1e-06,0.000766778492221454,0,0,0,0,0,0.0505541137888752,0.07254524162761,1,1,1,1,1,1,1,6.66450989950107e-08,1,1,4.69190000000341e-05,4.69190000000896e-05,recovered,recovered,1,1,0,0,0,0,no_detectable_opportunity,no_detectable_opportunity,0,0,no_detectable_opportunity,0,0
DEV01,development,COMBINED,10,9,1000,1,0,1e-07,3001,1,1,1,1,1,0,0,0,0,10.9448128591101,2.85425491361753,0.0505541137888752,0.07254524162761,0,0,0.0506064218102742,0.0726390563198634,4.62749154747117,0.12387652076775,0.00173144499559543,continuous_affine_interval,0.0269325578095887,1.74242694336362,0.422062716670382,0,0,0,0,0,0,0,0,1,961,961,0,0,0,1e-06,0.000766778492221454,0,0,0,0,0,0.0505541137888752,0.07254524162761,1,1,1,1,1,1,1,1.07852225372795e-07,1,1,4.69190000000341e-05,4.69190000000896e-05,recovered,recovered,1,1,0,0,0,0,no_detectable_opportunity,no_detectable_opportunity,0,0,no_detectable_opportunity,0,0
DEV02,development,BASELINE,200,5,100,1,0,1e-07,3001,1,1,1,0,1,870.45538726134,1297.69161005652,865.655502994565,1367.71884501613,868.443301785795,865.653217142125,560.448016897883,647.454187993069,647.535614496192,560.521684238911,560.447964589862,647.454096078353,30.8718614683519,0.16371797410608,0.0133880179695723,continuous_affine_interval,4.55649017408769,9.53555197575653,2.59515714077797,0,0,0,0,15169,6016,15169,-6016,1,12350,24512,6081,18243,0,1e-06,0.00076653108533975,2746,0,0,0,0,0.0736673410275694,0.0823304462610494,1,1,1,1,1,1,1,6.91169332878161e-08,1,1,NaN,NaN,right_censored,right_censored,0,0,1,0,0,0,see_episode_table,unprotected_diagnostic,0,1,preexisting_corruption,1,0
DEV02,development,EM_ONLY,200,5,1000,1,0,1e-07,3001,1,1,1,0,1,882.237072270136,1315.86303317153,884.655145077922,1391.20835476599,887.414362164497,884.648059531276,608.901138366917,694.112123397889,694.193492157445,608.974805707945,608.901086058896,694.112031607529,30.2992342418586,0.162897679391617,0.0132549430277574,continuous_affine_interval,4.52946462618704,9.53071575887097,2.54872146697347,0,0,0,0,15439,6569,15439,-6569,1,12342,24495,6078,18231,0,1e-06,0.000766894872734625,2747,0,0,0,0,0.0736673410275694,0.0823304462610494,1,1,1,1,1,1,1,1.09838668382878e-07,1,1,NaN,NaN,right_censored,right_censored,0,0,1,0,0,0,see_episode_table,unprotected_diagnostic,0,1,preexisting_corruption,1,0
DEV02,development,SW_ONLY,200,5,100,1,0,1e-07,3001,1,1,1,0,1,20.9649491968815,42.0304697427944,31.3585229031822,51.2975962703611,33.6763055580731,30.9852018943164,48.444950709037,48.444950709037,48.5146410434034,48.4955048228259,48.4448984010156,48.4448604907051,3.22138586838594,0.107783582597494,0.000624458315177337,continuous_affine_interval,0.00866131483592544,0.59922464523063,0.299612322615315,2746,2496,0,0,192,192,192,-192,1,285,381,49,145,0,1e-06,0.000766492577954025,2746,2746,0,0,0,0.0505541137888752,0.07254524162761,1,1,1,1,1,1,1,6.91169332878161e-08,1,1,NaN,NaN,right_censored,right_censored,0,0,1,0,0,0,see_episode_table,detected,0,1,preexisting_corruption,1,0
DEV02,development,COMBINED,200,5,1000,1,0,1e-07,3001,1,1,1,0,1,20.983805765014,42.058749601824,31.3779874937329,51.3258761293907,33.6964295238177,31.0052484315967,48.4732305680666,48.4732305680666,48.5429208999914,48.5237846818555,48.4731782600452,48.4731403497347,3.22138586838594,0.107783582597494,0.000624368457210616,continuous_affine_interval,0.00866720026717547,0.59922464523063,0.299612322615315,2747,2497,0,0,193,193,193,-193,1,284,381,48,145,0,1e-06,0.000765457795036006,2747,2747,0,0,0,0.0505541137888752,0.07254524162761,1,1,1,1,1,1,1,1.09838668382878e-07,1,1,NaN,NaN,right_censored,right_censored,0,0,1,0,0,0,see_episode_table,detected,0,1,preexisting_corruption,1,0
