WindowStart_s,WindowEnd_s,WindowClipped,DCSourceEnergy_J,HighGateSourceEnergy_J,LowGateSourceEnergy_J,InputEnergy_J,FeedResistorEnergy_J,LoadResistorEnergy_J,GateResistorEnergy_J,CapacitorESREnergy_J,ExternalResistorEnergy_J,CapacitorStorageChange_J,FeedInductorStorageChange_J,LoadInductorStorageChange_J,StoredEnergyChange_J,HighDeviceTerminalEnergy_J,LowDeviceTerminalEnergy_J,DeviceTerminalEnergy_J,Residual_J,EnergyScale_J,SemiconductorHeatKnown,Case,Engine,AcceptanceLimit_J,Pass
1e-06,5e-06,0,0.000158177308390513,5.65316777618368e-07,5.2757156101604e-07,0.000159270196729147,8.39612623170976e-07,0.000282840781644117,1.01720793256774e-06,7.60136338678228e-08,0.000284773615833724,-2.81092977525361e-06,-2.3324245735982e-08,-0.000127861536778389,-0.000130695790799378,3.6753523074198e-06,1.5170193868011e-06,5.19237169422089e-06,5.8072832973639e-16,0.00057993197505647,0,nominal,native,5.7993197505647e-07,1
1e-06,5e-06,0,0.000158177293559949,5.65316776083952e-07,5.27571520153626e-07,0.000159270181856187,8.39612546674645e-07,0.000282840781618104,1.01720794232085e-06,7.60134890724202e-08,0.000284773615596172,-2.81092618648131e-06,-2.33242775026679e-08,-0.000127861537174503,-0.000130695787638487,3.67535585209079e-06,1.51699804042027e-06,5.19235389251106e-06,5.99061680253352e-15,0.000579931938983357,0,nominal,spice,5.79931938983357e-07,1
1e-06,5e-06,0,8.82470050785038e-05,5.60335605875136e-07,5.20630659227915e-07,8.93279713436069e-05,4.68199685296163e-07,0.000159091510223593,1.00417952039013e-06,4.11018243110085e-08,0.00016060499125359,-1.52416461716456e-06,-1.36280970751487e-08,-7.23400927075557e-05,-7.38778854217954e-05,1.99513860823161e-06,6.0572690355812e-07,2.60086551178973e-06,2.21685462955395e-17,0.000326411713530782,0,holdout_bus18,native,3.26411713530782e-07,1
1e-06,5e-06,0,8.82470069081338e-05,5.60335604072151e-07,5.20630633100298e-07,8.93279731453062e-05,4.68199695647557e-07,0.000159091510222242,1.0041795243483e-06,4.11018258004313e-08,0.000160604991268039,-1.52416464889512e-06,-1.36280968546248e-08,-7.23400921152884e-05,-7.38778848610381e-05,1.99513906289974e-06,6.05727675994789e-07,2.60086673889453e-06,-5.88789118778936e-16,0.000326411716013278,0,holdout_bus18,spice,3.26411716013278e-07,1
1e-06,5e-06,0,0.000312813417126295,5.65304221080776e-07,5.24944645944305e-07,0.00031390366599332,3.30158222509059e-06,0.000560056088130602,1.01516816884723e-06,2.8693681678164e-07,0.000564659775341322,-5.45612720966403e-06,-9.62259239289363e-08,-0.000254370185610382,-0.000259922538743975,6.89146594033426e-06,2.27496345351521e-06,9.16642939384946e-06,2.12337607349497e-15,0.00114765240947247,0,holdout_load4ohm,native,1.14765240947247e-06,1
1e-06,5e-06,0,0.000312813416662132,5.65304219543826e-07,5.24944592507559e-07,0.000313903665474183,3.30158224868907e-06,0.000560056088238264,1.01516818547409e-06,2.86936566720349e-07,0.000564659775239148,-5.45612229981998e-06,-9.62260079906899e-08,-0.000254370187367812,-0.000259922535675622,6.89149999652881e-06,2.27492623255516e-06,9.16642622908397e-06,-3.1842581753338e-13,0.00114765240261804,0,holdout_load4ohm,spice,1.14765240261804e-06,1
1e-06,5e-06,0,0.000679801928466365,5.76325642291275e-07,5.79761148913535e-07,0.000680958015257569,1.44444895780262e-05,0.000282989497990601,1.10868448752933e-06,3.23915313724722e-05,0.000330934203428629,-5.48628080290905e-05,1.03918804116568e-06,-0.000121898244063896,-0.000175721864051821,0.000255255855539793,0.000270489820335396,0.000525745675875188,5.57312442722724e-15,0.00171543813469554,0,holdout_gate47,native,1.71543813469554e-06,1
1e-06,5e-06,0,0.000679801916063678,5.76325642614272e-07,5.79761148642444e-07,0.000680958002854935,1.4444488961412e-05,0.000282989497993635,1.10868448642422e-06,3.23915303114385e-05,0.00033093420175291,-5.48628056732542e-05,1.03918796304734e-06,-0.00012189824391253,-0.000175721861622737,0.000255255850253557,0.000270489812453678,0.000525745662707235,1.75275375810524e-14,0.00171543810486391,0,holdout_gate47,spice,1.71543810486391e-06,1
1e-06,5e-06,0,0.000119133119899718,5.45594798866354e-07,4.69539943487938e-07,0.000120148254642072,3.15384835257445e-07,0.000221036998242724,8.77585693637784e-07,3.57858069699592e-08,0.000222265754578589,-2.25708077746617e-06,-8.40636655462722e-09,-0.000103742749630779,-0.0001060082367748,2.20748401553007e-06,1.68325282240964e-06,3.89073683793971e-06,3.42730706282771e-16,0.000452312982833401,0,holdout_bus30_load16_gate10,native,4.52312982833401e-07,1
1e-06,5e-06,0,0.000119133176194717,5.45594792785685e-07,4.69539930433424e-07,0.000120148310917936,3.15384990826347e-07,0.000221036998196352,8.77585828506324e-07,3.57867029968762e-08,0.000222265755718681,-2.25709037422917e-06,-8.40632217841977e-09,-0.000103742751915121,-0.000106008248611529,2.20747454702829e-06,1.68332824389245e-06,3.89080279092074e-06,1.01986294741643e-12,0.000452313118039067,0,holdout_bus30_load16_gate10,spice,4.52313118039067e-07,1
