Fixture,Mechanism,Step_s,Duration_s,NetTravel_deg,AbsoluteTravel_deg,CaptureTime_s,TailHeld,TailDrift_deg,FinalVelocity_rad_s,PeakCurrent_A,LoadWork_J,CopperLoss_J,ResistorLoss_J,ViscousLoss_J,BrakeLoss_J,NumericalLoss_J,NumericalLossFraction,MaxEnergyResidual_J,MaxCapacityExcess_Nm
record_stop,terminal_short,0.0001,1.126,-92.7969785071878,92.7969785072089,NaN,0,8.43618839456346,-1.4723926380368,0.100005708034876,0.0129569024868234,0.012559136570701,0,0.000235678455832787,0,5.18064789986838e-07,3.99433986187472e-05,1.16573417585641e-15,0
record_stop,terminal_short,5e-05,1.126,-92.7969785071662,92.7969785071579,NaN,0,8.4361883945571,-1.47239263803663,0.100005708034876,0.0129569024868156,0.012559390849396,0,0.000235681207727047,0,2.61034204916743e-07,2.01260411856756e-05,1.07761022327679e-14,0
record_stop,terminal_short,2.5e-05,1.126,-92.7969785071582,92.7969785071585,NaN,0,8.4361883945571,-1.47239263803634,0.100005708034876,0.0129569024868304,0.0125595194797368,0,0.000235682585778543,0,1.31025800394401e-07,1.01022417960968e-05,1.63289520793697e-14,0
record_stop,resistor,0.0001,1.126,-177.831456350323,177.831456350323,NaN,0,16.5674542854425,-2.89156626318963,0.100005708034876,0.0248299554154376,0.0116640244486492,0.0116640244486492,0.00087519624634292,0,1.08111890753042e-06,4.35180047432233e-05,7.97972798949331e-17,0
record_stop,resistor,5e-05,1.126,-177.831456350228,177.831456350229,NaN,0,16.5674542857179,-2.89156626320744,0.100005708034876,0.0248299554154245,0.0116642862267377,0.0116642862267377,0.000875206440828244,0,5.47368218610572e-07,2.20330738532818e-05,5.45050116151913e-15,0
record_stop,resistor,2.5e-05,1.126,-177.83145635022,177.831456350221,NaN,0,16.5674542858589,-2.89156626321699,0.100005708034876,0.0248299554154235,0.0116644196379556,0.0116644196379556,0.000875211541718556,0,2.75444890080455e-07,1.1087413187885e-05,2.80331313717852e-15,0
record_stop,mechanical,0.0001,1.126,-1.68791070997459,1.68791070997459,0.0469,1,0,-0,0.100005708034876,0.000235676794949853,0.000133188448040532,0,2.27045460357887e-06,0.000112106754740219,1.18135966650534e-06,0.00474924154070928,2.38524477946811e-18,0
record_stop,mechanical,5e-05,1.126,-1.69047548283516,1.69047548283519,0.04685,1,0,-0,0.100005708034876,0.000236034904797719,0.000133627273403629,0,2.27612990751734e-06,0.000112607853106418,5.93870481128367e-07,0.00238401548985328,7.2099444470286e-18,0
record_stop,mechanical,2.5e-05,1.126,-1.69176050971456,1.69176050971466,0.046875,1,0,-0,0.100005708034876,0.000236214328397906,0.000133848721459761,0,2.27897776114538e-06,0.000112859088492994,2.97762784992264e-07,0.00119446947031559,6.50521303491303e-18,0
record_stop_mirror,terminal_short,0.0001,1.126,92.7969785071878,92.7969785072089,NaN,0,8.43618839456346,1.4723926380368,0.100005708034876,0.0129569024868234,0.012559136570701,0,0.000235678455832787,0,5.18064789986838e-07,3.99433986187472e-05,1.16573417585641e-15,0
record_stop_mirror,terminal_short,5e-05,1.126,92.7969785071662,92.7969785071579,NaN,0,8.4361883945571,1.47239263803663,0.100005708034876,0.0129569024868156,0.012559390849396,0,0.000235681207727047,0,2.61034204916743e-07,2.01260411856756e-05,1.07761022327679e-14,0
record_stop_mirror,terminal_short,2.5e-05,1.126,92.7969785071582,92.7969785071585,NaN,0,8.4361883945571,1.47239263803634,0.100005708034876,0.0129569024868304,0.0125595194797368,0,0.000235682585778543,0,1.31025800394401e-07,1.01022417960968e-05,1.63289520793697e-14,0
record_stop_mirror,resistor,0.0001,1.126,177.831456350323,177.831456350323,NaN,0,16.5674542854425,2.89156626318963,0.100005708034876,0.0248299554154376,0.0116640244486492,0.0116640244486492,0.00087519624634292,0,1.08111890753042e-06,4.35180047432233e-05,7.97972798949331e-17,0
record_stop_mirror,resistor,5e-05,1.126,177.831456350228,177.831456350229,NaN,0,16.5674542857179,2.89156626320744,0.100005708034876,0.0248299554154245,0.0116642862267377,0.0116642862267377,0.000875206440828244,0,5.47368218610572e-07,2.20330738532818e-05,5.45050116151913e-15,0
record_stop_mirror,resistor,2.5e-05,1.126,177.83145635022,177.831456350221,NaN,0,16.5674542858589,2.89156626321699,0.100005708034876,0.0248299554154235,0.0116644196379556,0.0116644196379556,0.000875211541718556,0,2.75444890080455e-07,1.1087413187885e-05,2.80331313717852e-15,0
record_stop_mirror,mechanical,0.0001,1.126,1.68791070997459,1.68791070997459,0.0469,1,0,0,0.100005708034876,0.000235676794949853,0.000133188448040532,0,2.27045460357887e-06,0.000112106754740219,1.18135966650534e-06,0.00474924154070928,2.38524477946811e-18,0
record_stop_mirror,mechanical,5e-05,1.126,1.69047548283516,1.69047548283519,0.04685,1,0,0,0.100005708034876,0.000236034904797719,0.000133627273403629,0,2.27612990751734e-06,0.000112607853106418,5.93870481128367e-07,0.00238401548985328,7.2099444470286e-18,0
record_stop_mirror,mechanical,2.5e-05,1.126,1.69176050971456,1.69176050971466,0.046875,1,0,0,0.100005708034876,0.000236214328397906,0.000133848721459761,0,2.27897776114538e-06,0.000112859088492994,2.97762784992264e-07,0.00119446947031559,6.50521303491303e-18,0
moving_positive_aiding,terminal_short,0.0001,0.6,61.1149230827218,61.1149230827218,NaN,0,8.43618842458107,1.47239263844943,0.470137392332192,0.00853325303917269,0.0128954700741353,0,0.000249052402568711,0,1.40909447708477e-05,0.00105682722209268,1.6306400674182e-16,0
moving_positive_aiding,terminal_short,5e-05,0.6,61.1149230827308,61.1149230827308,NaN,0,8.43618842400804,1.47239263843984,0.471165332204195,0.00853325303917395,0.0129023909759497,0,0.000249115139093229,0,7.1073064343978e-06,0.000533051192647141,1.02175212735034e-15,0
moving_positive_aiding,terminal_short,2.5e-05,0.6,61.1149230827395,61.1149230827395,NaN,0,8.43618842372545,1.4723926384352,0.471682898729846,0.00853325303917517,0.0129058974961388,0,0.000249146556352459,0,3.56936898948963e-06,0.000267704286343496,5.09141340199193e-16,0
moving_positive_aiding,resistor,0.0001,0.6,115.439687787803,115.439687787803,NaN,0,16.5685889278311,2.89163344392179,0.256290578318395,0.0161184211149716,0.00976841022121758,0.00976841022121758,0.00073699014615888,0,5.88146202914822e-06,0.000281161852360778,4.26741975090295e-16,0
moving_positive_aiding,resistor,5e-05,0.6,115.439688868291,115.439688868291,NaN,0,16.5685841154733,2.8916330893904,0.256614492885823,0.0161184212658363,0.0097698383822432,0.0097698383822432,0.000737024622860306,0,2.99097081811201e-06,0.000142982626657244,4.30211422042248e-15,0
moving_positive_aiding,resistor,2.5e-05,0.6,115.439689406929,115.439689406929,NaN,0,16.5685817146374,2.89163291266202,0.256778953310834,0.0161184213410441,0.00977057107806841,0.00977057107806841,0.000737041873773377,0,1.50848156892784e-06,7.21125913057332e-05,7.59808882477842e-16,0
moving_positive_aiding,mechanical,0.0001,0.6,12.6515528267433,12.6515528267433,0.0547,1,0,0,0.470137392332192,0.00176649001853333,0.00579481122149239,0,0.000115667359055035,0.000638070485905675,1.79409520802678e-05,0.00273219818040248,4.5102810375397e-17,0
