time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
1.102,0.523598775598299,0.36799837304235,2.76532567602334,0.340136514415648,0.262476440733371,0.262476440733371,0.261122334864928,0.617523366835685,0.617523366835685,-0.000155970584759658,-0.008238355312219,-0.140522130694298,0.0167729976328426,0,0,-0.131987488373674,-0.105521932308979,1,0,0,0,0,1,1103,0,0,0,0,0,0,-0.157839192150094
1.103,0.523598775598299,0.370852968397731,2.94329040332474,0.333917797993252,0.257641079568956,0.257641079568956,0.265957696029343,0.623603143888306,0.623603143888306,-0.000152330613158864,-0.00804609226838967,-0.147378961290647,0.0138189198048117,0,0,-0.141606133754225,-0.113211888828775,1,0,0,0,0,1,1104,0,0,0,0,0,0,-0.154972493591835
1.104,0.523598775598299,0.373883791454662,3.11776621494549,0.327525993433932,0.253109247399311,0.253109247399311,0.270489528198988,0.628976748133322,0.628976748133322,-0.000148519353151411,-0.00784478178297325,-0.154070071373367,0.0108493032698454,0,0,-0.151065549886495,-0.120774544055352,1,0,0,0,0,1,1105,0,0,0,0,0,0,-0.151929631014675
1.105,0.523598775598299,0.377087301432268,3.28864334961855,0.32089284621157,0.248885907283578,0.248885907283578,0.274712868314721,0.633638527996272,0.633638527996272,-0.000144541090314838,-0.00763465021987383,-0.160587937112799,0.00786748721810555,0,0,-0.160355100114568,-0.12820139414869,1,0,0,0,0,1,1106,0,0,0,0,0,0,-0.148714144879684
1.106,0.523598775598299,0.380459832341544,3.45578358619165,0.313977536851893,0.244975744366462,0.244975744366462,0.278623031231837,0.637583440410186,0.637583440410186,-0.000140400298013287,-0.0074159338618705,-0.166925229484175,0.00487682455751845,0,0,-0.169464338788527,-0.135484087975081,1,0,0,0,0,1,1107,0,0,0,0,0,0,-0.145329700857526
1.107,0.523598775598299,0.383997570889602,3.61903210973448,0.306756965160722,0.241383134392042,0.241383134392042,0.282215641206256,0.640807129600165,0.640807129600165,-0.000136101632367421,-0.00718887864492917,-0.173074822508737,0.0018806781435965,0,0,-0.17838302301007,-0.14261443649756,1,0,0,0,0,1,1108,0,0,0,0,0,0,-0.141780111924212
1.108,0.523598775598299,0.387696544000439,3.77822518804336,0.299219523109513,0.238112122016348,0.238112122016348,0.285486653581951,0.643305978678842,0.643305978678842,-0.000131649927018843,-0.00695373988165912,-0.179029801266574,-0.001117583001935,0,0,-0.187101124150168,-0.149584421984091,1,0,0,0,0,1,1109,0,0,0,0,0,0,-0.138069350840332
1.109,0.523598775598299,0.391552612570215,3.93319516244385,0.291361102245903,0.235166405547102,0.235166405547102,0.288432370051197,0.645077143490354,0.645077143490354,-0.000127050187694901,-0.00671078197422669,-0.184783469672095,-0.0041145874794348,0,0,-0.195608839125757,-0.156386207023113,1,0,0,0,0,1,1110,0,0,0,0,0,0,-0.134201556395757
1.11,0.523598775598299,0.395561469288618,4.0837737161433,0.283182532292589,0.23254932595228,0.23254932595228,0.291049449646018,0.646118574747679,0.646118574747679,-0.000122307586579986,-0.00646027811704743,-0.190329358003473,-0.00710696530232694,0,0,-0.203896601422847,-0.163012143336338,1,0,0,0,0,1,1111,0,0,0,0,0,0,-0.130181035588285
1.111,0.523598775598299,0.399718639135152,4.22979403707338,0.27468793635761,0.230263858756295,0.230263858756295,0.293334916842004,0.646429032334833,0.646429032334833,-0.000117427456499665,-0.00620250998959263,-0.195661230177515,-0.0100913516864813,0,0,-0.211955091853589,-0.169454780378857,1,0,0,0,0,1,1112,0,0,0,0,0,0,-0.126012263127337
