time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
1.343,0.523598775598299,0.524226584841391,-0.00303370588534415,1.92771388778677e-05,0.524226584841391,0.524226584841391,-0.000627809243091693,-0.000219895256354051,-0.000219895256354051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1344,0,0,0,0,0,0,3.24305150188886e-05
1.344,0.523598775598299,0.524223557267495,-0.00302146776732369,1.90036390947453e-05,0.524223557267495,0.524223557267495,-0.000624781669196661,-0.000219196551123994,-0.000219196551123994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1345,0,0,0,0,0,0,3.270114713394e-05
1.345,0.523598775598299,0.524220541856337,-0.00300937886337533,1.87474088689091e-05,0.524220541856337,0.524220541856337,-0.000621766258037892,-0.000218490657932163,-0.000218490657932163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1346,0,0,0,0,0,0,3.29658939878241e-05
1.346,0.523598775598299,0.524217538463297,-0.00299743003621678,1.85078143369944e-05,0.524217538463297,0.524217538463297,-0.000618762864998512,-0.000217777600854509,-0.000217777600854509,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1347,0,0,0,0,0,0,3.32247078236314e-05
1.347,0.523598775598299,0.524214546952726,-0.00298561249122287,1.82842281166444e-05,0.524214546952726,0.524214546952726,-0.000615771354427475,-0.000217057421200144,-0.000217057421200144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1348,0,0,0,0,0,0,3.34775493471273e-05
1.348,0.523598775598299,0.524211567197597,-0.00297391777253168,1.80760300170046e-05,0.524211567197597,0.524211567197597,-0.000612791599298612,-0.000216330176490235,-0.000216330176490235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1349,0,0,0,0,0,0,3.37243873878013e-05
1.349,0.523598775598299,0.524208599079173,-0.00296233775878863,1.78826076987655e-05,0.524208599079173,0.524208599079173,-0.000609823480873795,-0.000215595939464878,-0.000215595939464878,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1350,0,0,0,0,0,0,3.39651985646894e-05
1.35,0.523598775598299,0.52420564248667,-0.00295086465855498,1.77033572852611e-05,0.52420564248667,0.52420564248667,-0.000606866888371305,-0.00021485479712017,-0.00021485479712017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1351,0,0,0,0,0,0,3.41999669571935e-05
1.351,0.523598775598299,0.524202697316936,-0.00293949100540707,1.75376839255229e-05,0.524202697316936,0.524202697316936,-0.000603921718637435,-0.00021410684976931,-0.00021410684976931,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1352,0,0,0,0,0,0,3.44286837791197e-05
1.352,0.523598775598299,0.524199763474124,-0.00292820965275106,1.73850023124539e-05,0.524199763474124,0.524199763474124,-0.000600987875824965,-0.000213352210136904,-0.000213352210136904,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1353,0,0,0,0,0,0,3.46513470594889e-05
