time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
0.908,0.523598775598299,0.520940967276843,0.571793607193819,0.0350501617461813,0.56243420943762,0.510884319386759,0.0127144562115402,0.0299050773768698,0.0299050773768698,2.86965379237562e-06,0.000119365690198008,0.0194073632528396,1.15000086243825,0.269812078671727,0.106666377213775,1.27619396859507,0.0414932421607774,1,1,1,8,0,0,0,0,1,9,0.009,0,0,-0.0089469801154346
0.909,0.523598775598299,0.521520071396093,0.584766127870044,0.0164581298007768,0.566883563998599,0.510884319386759,0.0127144562115402,0.0298338462459261,0.0298338462459261,-2.43246198015288e-05,-0.00101180324927279,0.0193178765514665,1.27025753487307,0.269812078671727,0.106666377213775,1.39522998538904,0.0453634926025061,1,1,1,10,0,0,0,0,1,10,0.01,0,0,-0.00833522472227644
0.91,0.523598775598299,0.522107864102938,0.589778768863225,0.00471824916213648,0.570852199920566,0.516831600470981,0.00676717512731784,0.0137824845652745,0.0137824845652745,-5.12347419339444e-05,-0.00213115266702584,0.0190027253628477,1.37567551556485,0.269812078671727,0.106666377213775,1.49921346547444,0.0487443358176281,1,1,1,14,0,1,901,10,0,10,0.01,0,0,-0.00771494076632262
0.911,0.523598775598299,0.52269746709183,0.588328812668761,-0.00768485387463505,0.574293745103272,0.516831600470981,0.00676717512731784,0.0139274855361752,0.0139274855361752,-7.75463582348889e-05,-0.00322560672567637,0.0184655911698416,1.46502334957102,0.269812078671727,0.106666377213775,1.58692971122896,0.0515962780114415,1,1,1,8,0,0,0,0,1,11,0.011,0,0,-0.00709300585509176
0.912,0.523598775598299,0.523282797256654,0.581666781435808,-0.0151997949237757,0.577168801077439,0.541002456475774,-0.0174036808774757,-0.0508960315537029,-0.0508960315537029,-0.000102952105864283,-0.00428238040647239,0.0177127485809395,1.53725730762385,0.269812078671727,0.106666377213775,1.65735405301209,0.0538860038207849,1,1,1,16,0,1,905,8,0,8,0.008,0,0,-0.00647550239888461
0.913,0.523598775598299,0.523857718030469,0.565965229228774,-0.0401692277852742,0.579444483522598,0.541002456475774,-0.0174036808774757,-0.0499160620730735,-0.0499160620730735,-0.000127155204014122,-0.00528912885928628,0.016752992032546,1.59153357860037,0.269812078671727,0.106666377213775,1.70966381898741,0.0555867654921295,1,1,1,11,0,0,0,0,1,9,0.009,1,1,-0.00586856627104393
0.914,0.523598775598299,0.524411312740768,0.539935649197052,-0.0547562181416911,0.581090008079985,0.541002456475774,-0.0174036808774757,-0.048972186868147,-0.048972186868147,-0.000149872920795153,-0.00623409161071484,0.015597533055535,1.62721812662058,0.269812078671727,0.106666377213775,1.74324794527918,0.0566786953392174,1,1,1,12,0,0,0,0,1,10,0.01,0,0,-0.00528311345269505
0.915,0.523598775598299,0.524935652088818,0.508040766804495,-0.0627331614821004,0.582084689919047,0.541002456475774,-0.0174036808774757,-0.0480631849820878,-0.0480631849820878,-0.000170839876009138,-0.00710622994570058,0.0142598693061775,1.64389409762652,0.269812078671727,0.106666377213775,1.75771411420077,0.0571490378302285,1,1,1,14,0,0,0,0,1,11,0.011,0,0,-0.00472707255340954
0.916,0.523598775598299,0.525426395528327,0.473115058310477,-0.0665235339583209,0.582418694121643,0.56243420943762,-0.0388354338393212,-0.104790662919845,-0.104790662919845,-0.000189811141224896,-0.00789535585783154,0.0127556268913753,1.6413666889215,0.269812078671727,0.106666377213775,1.75289333716881,0.0569922985933159,1,1,1,12,0,1,909,8,0,8,0.008,1,0,-0.00420478343254105
0.917,0.523598775598299,0.525879653282767,0.431687021573727,-0.0859307688579055,0.582089961882649,0.56243420943762,-0.0388354338393212,-0.103201006128346,-0.103201006128346,-0.000206565100944166,-0.00859225106196861,0.0111023778300987,1.61966542478516,0.269812078671727,0.106666377213775,1.72884192876707,0.0562103085998825,1,1,1,10,0,0,0,0,1,9,0.009,0,1,-0.00372013518190151
0.918,0.523598775598299,0.526287221292133,0.38254016799179,-0.0962657201908292,0.581099424067964,0.56243420943762,-0.0388354338393212,-0.101671694006671,-0.101671694006671,-0.000220906041434163,-0.0091887746789377,0.00931943478338002,1.57904381158148,0.269812078671727,0.106666377213775,1.6858408488997,0.0548122027758312,1,1,1,14,0,0,0,0,1,10,0.01,0,0,-0.00328133117900142
0.919,0.523598775598299,0.526643472122274,0.329561033306492,-0.100866953639349,0.57945778541292,0.574293745103272,-0.050694969504973,-0.132075926572105,-0.132075926572105,-0.000232666436985024,-0.0096779583343528,0.00742762545075208,1.51997637638852,0.269812078671727,0.106666377213775,1.62439242071869,0.0528143132906455,1,1,1,15,0,1,912,8,0,8,0.008,1,0,-0.00289399817772429
0.92,0.523598775598299,0.526944883199024,0.272284918678715,-0.11197482220524,0.577184861969883,0.574293745103272,-0.050694969504973,-0.130247940946737,-0.130247940946737,-0.000241708906884914,-0.0100540875606598,0.00544904926855186,1.4431531237438,0.269812078671727,0.106666377213775,1.54521446266547,0.0502399787708586,1,1,1,15,1,0,0,0,1,9,0.009,0,1,-0.00256165807419639
0.921,0.523598775598299,0.527186704108949,0.210942247002351,-0.116748955738737,0.574305975775559,0.574293745103272,-0.050694969504973,-0.128490368723403,-0.128490368723403,-0.000247927820252097,-0.0103127685514914,0.00340681925225197,1.34947147525941,0.269812078671727,0.106666377213775,1.44923190317395,0.0471192716666105,1,1,1,14,0,0,0,0,1,10,0.01,0,0,-0.00228906060603828
0.922,0.523598775598299,0.527366323693988,0.148233247271988,-0.11756260194305,0.570854970650088,0.574293745103272,-0.050694969504973,-0.126800828036204,-0.126800828036204,-0.000251250529976914,-0.0104509794885334,0.00132479199852539,1.24002578626539,0.269812078671727,0.106666377213775,1.33756597598916,0.0434886469560998,1,1,1,8,0,0,0,0,1,11,0.011,0,0,-0.00207881625772355
