modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Persistent innovation,nominal,nominal_seed_230102,2,230102,250,0.25,128,0.00161339356595251,0.00166728671017871,0.00149098682847724,0.00509186232564918,0,0,0
Linear hybrid,nominal,nominal_seed_230102,2,230102,1,0.001,128,0.000219596399351872,0.000515527692063399,0.000125988051633305,0.000620723299876502,0,0,0
Linear hybrid,nominal,nominal_seed_230102,2,230102,20,0.02,128,0.00100092718691637,0.00104358247074865,0.000160895130600917,0.00251765397301795,0,0,0
Linear hybrid,nominal,nominal_seed_230102,2,230102,50,0.05,128,0.00383203785132359,0.00382992831202875,0.00149626833510752,0.0087349304049302,0,0,0
Linear hybrid,nominal,nominal_seed_230102,2,230102,100,0.1,128,0.0124801523240554,0.012453971790198,0.00823180549706149,0.0273587054090599,0,0,0
Linear hybrid,nominal,nominal_seed_230102,2,230102,250,0.25,128,0.0580400033972237,0.0580414119746723,0.0510087399094091,0.120228408541489,0,0,0
EDMD hybrid,nominal,nominal_seed_230102,2,230102,1,0.001,128,0.000220404990174942,0.000515967258106799,0.000126440527095245,0.000624331163606662,0,0,0
EDMD hybrid,nominal,nominal_seed_230102,2,230102,20,0.02,128,0.000997348465837625,0.00104069728290215,0.00016139896891913,0.00274206092054946,0,0,0
EDMD hybrid,nominal,nominal_seed_230102,2,230102,50,0.05,128,0.0038214675367569,0.0038252766710171,0.00149127943260012,0.00990963494276292,0,0,0
EDMD hybrid,nominal,nominal_seed_230102,2,230102,100,0.1,128,0.0124537286601272,0.0124246029304658,0.00821275032993843,0.0308685409987473,0,0,0
EDMD hybrid,nominal,nominal_seed_230102,2,230102,250,0.25,128,0.0578693417182585,0.0578658549313875,0.0508801043043761,0.129648881009463,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230102,2,230102,1,0.001,128,8.57496268394491e-05,0.000469672707655122,8.57496268394491e-05,0.000220927700250007,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230102,2,230102,20,0.02,128,8.2167180258724e-05,0.000449019068659807,8.2167180258724e-05,0.000246636116473908,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230102,2,230102,50,0.05,128,8.72049026003975e-05,0.000471849760798159,8.72049026003975e-05,0.000265047416844633,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230102,2,230102,100,0.1,128,8.91435281833666e-05,0.000466115198819559,8.91435281833666e-05,0.000272033673834084,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230102,2,230102,250,0.25,128,8.94580055163734e-05,0.000474338283601825,8.94580055163734e-05,0.000273162673446126,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230102,2,230102,1,0.001,128,8.57496268394491e-05,0.000469672707655122,8.57496268394491e-05,0.000220927700250007,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230102,2,230102,20,0.02,128,8.2167180258724e-05,0.000449019068659807,8.2167180258724e-05,0.000246636116473908,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230102,2,230102,50,0.05,128,8.72049026003975e-05,0.000471849760798159,8.72049026003975e-05,0.000265047416844633,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230102,2,230102,100,0.1,128,8.91435281833666e-05,0.000466115198819559,8.91435281833666e-05,0.000272033673834084,0,0,0
