modelName,regime,horizonSamples,horizonSeconds,runCount,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,medianTruthRMSE,worstTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Nominal physics,nominal,1,0.001,10,1280,0.000120969553496018,0.00048528596657249,0.000120969553496018,0.000119688505664379,0.000157221611644399,0.000831109409043129,0,0,0
Nominal physics,nominal,20,0.02,10,1280,0.000100923012057658,0.000470157661700357,0.000100923012057658,9.84457106299695e-05,0.00012821750974833,0.000673161953048895,0,0,0
Nominal physics,nominal,50,0.05,10,1280,0.000106342331178253,0.00047882674421941,0.000106342331178253,0.0001038821690903,0.00013451233060361,0.000699431639641146,0,0,0
Nominal physics,nominal,100,0.1,10,1280,0.000108436329738074,0.000470331034713565,0.000108436329738074,0.000105980930271333,0.000136950896427062,0.000709430853389814,0,0,0
Nominal physics,nominal,250,0.25,10,1280,0.000108776383147388,0.000473269384194994,0.000108776383147388,0.000106321663930962,0.000137347136937611,0.000711046721745379,0,0,0
Nominal physics,varied,1,0.001,10,1280,0.00805933506019559,0.00806333886120617,0.00805933506019559,0.00804196772084809,0.00924139263683908,0.0182662918787255,0,0,0
Nominal physics,varied,20,0.02,10,1280,0.0122827145058417,0.0122744645725683,0.0122827145058417,0.0122848876763237,0.0140917014833318,0.0277454527113137,0,0,0
Nominal physics,varied,50,0.05,10,1280,0.0259001488780305,0.0258963186966487,0.0259001488780305,0.0258227175913949,0.0297669146834151,0.058145621272963,0,0,0
Nominal physics,varied,100,0.1,10,1280,0.0494745310771866,0.0494666658723563,0.0494745310771866,0.0490736592505691,0.0568656466205846,0.110370291955601,0,0,0
Nominal physics,varied,250,0.25,10,1280,0.115463506263289,0.115457332340699,0.115463506263289,0.114985316521462,0.130542751645226,0.252195504486655,195,0.15234375,0
Nominal physics,nonlinear,1,0.001,10,1280,0.0154961899153728,0.0154854153112964,0.0154961899153728,0.0161048078228758,0.0222742423277173,0.0390144638223944,0,0,0
Nominal physics,nonlinear,20,0.02,10,1280,0.0234903235545127,0.0234827375319254,0.0234903235545127,0.0244175153263978,0.0338154587821789,0.059273148699486,0,0,0
Nominal physics,nonlinear,50,0.05,10,1280,0.0488847015707168,0.0488914663083811,0.0488847015707168,0.0507975572718278,0.0702479619798181,0.12442169719196,0,0,0
Nominal physics,nonlinear,100,0.1,10,1280,0.0908224999629999,0.0908185994657234,0.0908224999629999,0.0943719881081191,0.129528605604237,0.236376536862485,46,0.0359375,0
Nominal physics,nonlinear,250,0.25,10,1280,0.194423097727072,0.194415433686434,0.194423097727072,0.203327473426059,0.258822774187078,0.53699213071117,550,0.4296875,0
Nominal physics,stress,1,0.001,10,1280,0.0346285847688613,0.0346470762170039,0.0346285847688613,0.0305678163891118,0.0559361365096014,0.0986575040233071,0,0,0
Nominal physics,stress,20,0.02,10,1280,0.0523059157256678,0.0522835790860663,0.0523059157256678,0.046206061299893,0.0847170634731197,0.150617631747282,0,0,0
Nominal physics,stress,50,0.05,10,1280,0.10727394305023,0.107291319887962,0.10727394305023,0.0947359091222583,0.175913495008141,0.311568745345749,151,0.11796875,0
Nominal physics,stress,100,0.1,10,1280,0.192316905780628,0.192292214802191,0.192316905780628,0.169081546023905,0.324628752916691,0.579106936551411,488,0.38125,0
Nominal physics,stress,250,0.25,10,1280,0.359880127185173,0.359891916817602,0.359880127185173,0.312192412201699,0.670020680093443,1.23132124431571,799,0.62421875,0
Nominal physics,nonlinear_transient,1,0.001,6,768,0.0193901346890095,0.0193926031044157,0.0193901346890095,0.0199998081204139,0.0234699218492767,0.0375370610928181,0,0,0
Nominal physics,nonlinear_transient,20,0.02,6,768,0.0296080831835112,0.0296267200245938,0.0296080831835112,0.030528885262552,0.0358272414760101,0.0569932319482132,0,0,0
Nominal physics,nonlinear_transient,50,0.05,6,768,0.062581419139767,0.0625864470058841,0.062581419139767,0.0645155621975803,0.0756955359591402,0.120423180431158,0,0,0
Nominal physics,nonlinear_transient,100,0.1,6,768,0.120132442852022,0.120145394365888,0.120132442852022,0.123801901307436,0.145167252994484,0.231736113080471,154,0.200520833333333,0
Nominal physics,nonlinear_transient,250,0.25,6,768,0.29117766020734,0.291168584054079,0.29117766020734,0.299710440137203,0.350388718792507,0.570077835475085,430,0.559895833333333,0
Nominal physics,stress_changed_controller,1,0.001,6,768,0.0472050982535737,0.0472037224320327,0.0472050982535737,0.0451734185221708,0.0590692211501694,0.100574300402558,0,0,0
Nominal physics,stress_changed_controller,20,0.02,6,768,0.0721156292362053,0.0721260644131961,0.0721156292362053,0.0690242098121333,0.0901817481935888,0.152555476755397,0,0,0
Nominal physics,stress_changed_controller,50,0.05,6,768,0.15242719186505,0.152450224299749,0.15242719186505,0.145956612680898,0.190432202495182,0.320888947461944,232,0.302083333333333,0
Nominal physics,stress_changed_controller,100,0.1,6,768,0.292569528784661,0.292579844541748,0.292569528784661,0.280389068118903,0.364789353885433,0.615076466682654,462,0.6015625,0
Nominal physics,stress_changed_controller,250,0.25,6,768,0.709049658749803,0.70908110017363,0.709049658749803,0.681286268109001,0.878586564570493,1.49510802261413,572,0.744791666666667,0
Persistent innovation,nominal,1,0.001,10,1280,0.000173476386601432,0.000503446887759025,0.00012197637502382,0.000169718196564141,0.000232995162798197,0.000966849794585611,0,0,0
Persistent innovation,nominal,20,0.02,10,1280,0.000254856952666769,0.000526404084932761,0.000128182991188631,0.000253213029527188,0.000320346039331128,0.00125891300974412,0,0,0
Persistent innovation,nominal,50,0.05,10,1280,0.00045477012236094,0.000663643091623603,0.000316658859678902,0.000452478610897003,0.000572902055058217,0.00208183453513755,0,0,0
Persistent innovation,nominal,100,0.1,10,1280,0.000803087134482381,0.000938090114497808,0.000662573916727612,0.000798203220984687,0.00101271082114551,0.00374031474210659,0,0,0
Persistent innovation,nominal,250,0.25,10,1280,0.00186298360129778,0.00192363386262159,0.00172171440058444,0.00185097420429301,0.00235043577030417,0.00884242575475652,0,0,0
Persistent innovation,varied,1,0.001,10,1280,0.00049282619594913,0.000676484185286526,0.00964867521029076,0.000495948314577993,0.000588592248168562,0.0015057616042311,0,0,0
Persistent innovation,varied,20,0.02,10,1280,0.00161322126229168,0.00165398302612674,0.00971305674431586,0.00161719304671773,0.00196750450631642,0.00398705906330954,0,0,0
Persistent innovation,varied,50,0.05,10,1280,0.00541167850539924,0.00542928402896971,0.0106278150751835,0.00543231048443463,0.00663059597031346,0.0131303397092551,0,0,0
Persistent innovation,varied,100,0.1,10,1280,0.0165674177589588,0.0165485084387652,0.0176610208233591,0.0165793182123182,0.020270202046996,0.0398801149380308,0,0,0
Persistent innovation,varied,250,0.25,10,1280,0.0791200516410035,0.0791005672166432,0.0757423027829854,0.0773430498416258,0.0940212317319092,0.180683653672857,5,0.00390625,0
Persistent innovation,nonlinear,1,0.001,10,1280,0.00191247072834257,0.00197539937865079,0.0185380105258882,0.00187314507658465,0.00322122636449919,0.0106605270509225,0,0,0
Persistent innovation,nonlinear,20,0.02,10,1280,0.00634459417141985,0.00634179357723691,0.0187263445838925,0.00619592689894645,0.0107733422967638,0.0334994080904817,0,0,0
Persistent innovation,nonlinear,50,0.05,10,1280,0.019931556452508,0.0199443184404804,0.0238102572747387,0.0192300308660092,0.0341588385982585,0.0895194653346769,0,0,0
Persistent innovation,nonlinear,100,0.1,10,1280,0.0540688623112853,0.0540562414211092,0.0504066771340646,0.0513246649449315,0.0933081759668086,0.221054747762217,17,0.01328125,0
Persistent innovation,nonlinear,250,0.25,10,1280,0.206972920409704,0.206963519303917,0.196152261363974,0.196585846627218,0.353764968346288,0.631159558087459,503,0.39296875,0
Persistent innovation,stress,1,0.001,10,1280,0.0059280096619568,0.00595686361210933,0.0413675935172692,0.0056736850961308,0.0084970128821608,0.0245258515399635,0,0,0
Persistent innovation,stress,20,0.02,10,1280,0.0195994562179973,0.019609441325195,0.0421583048565016,0.0187073640859258,0.0279659643929142,0.0808816581417482,0,0,0
Persistent innovation,stress,50,0.05,10,1280,0.0609686812003982,0.0609569119208591,0.0614452070358759,0.0582044006486905,0.0859399765354823,0.235293008765936,28,0.021875,0
Persistent innovation,stress,100,0.1,10,1280,0.161267797707523,0.161252030163448,0.145278336306078,0.154547526270623,0.221194783294542,0.501110848354284,369,0.28828125,0
Persistent innovation,stress,250,0.25,10,1280,0.518358326233621,0.518379499529667,0.487836701061718,0.493891111956843,0.737290468936947,1.6066016744486,944,0.7375,0
Persistent innovation,nonlinear_transient,1,0.001,6,768,0.00137171742358967,0.00144660250657863,0.0232024283595411,0.00140469340754947,0.0016357119614031,0.00831864340896149,0,0,0
Persistent innovation,nonlinear_transient,20,0.02,6,768,0.00443381911690832,0.00446528823619874,0.0234612310803284,0.00457045661459646,0.00536469437037234,0.0275189159026587,0,0,0
Persistent innovation,nonlinear_transient,50,0.05,6,768,0.0141181503702067,0.014149120393824,0.0262469417532837,0.0145812605315086,0.0171775739553351,0.073798280896934,0,0,0
Persistent innovation,nonlinear_transient,100,0.1,6,768,0.039679927249529,0.0396716322342572,0.0430649536090821,0.0410664814155164,0.0485703068826771,0.160244020423184,0,0,0
Persistent innovation,nonlinear_transient,250,0.25,6,768,0.163212095815029,0.163230320707087,0.158134090993485,0.169289417602752,0.20118820194749,0.463736050493645,216,0.28125,0
Persistent innovation,stress_changed_controller,1,0.001,6,768,0.00336833686897581,0.00341795295072546,0.0564845040799228,0.00323456180043119,0.00424320322778981,0.0223426454660901,0,0,0
Persistent innovation,stress_changed_controller,20,0.02,6,768,0.0109760892687439,0.0110037931881236,0.0571603896294028,0.010348769429841,0.0141630595412317,0.0706636557379021,0,0,0
Persistent innovation,stress_changed_controller,50,0.05,6,768,0.034924315518956,0.034925143674929,0.0641643332019067,0.0329553920123101,0.0451296227189733,0.215410338376999,2,0.00260416666666667,0
Persistent innovation,stress_changed_controller,100,0.1,6,768,0.0980124713558455,0.0980333867979113,0.105968980112151,0.092828983185766,0.12569802356248,0.473368991039248,89,0.115885416666667,0
Persistent innovation,stress_changed_controller,250,0.25,6,768,0.399888825991489,0.39989401950559,0.387420018458137,0.38081872654622,0.506460620276458,1.31235002069692,352,0.458333333333333,0
Linear hybrid,nominal,1,0.001,10,1280,0.000249341122522207,0.000520838779940438,0.00017167393026344,0.000250989592759913,0.000269950316822093,0.000878016737469567,0,0,0
Linear hybrid,nominal,20,0.02,10,1280,0.000889811998062441,0.00101190471349704,0.000176003297144346,0.000863027672747241,0.00102648023328837,0.00285298011478777,0,0,0
Linear hybrid,nominal,50,0.05,10,1280,0.00315227710371986,0.00319391163029448,0.00129931003636494,0.00300288159604595,0.00383203785132359,0.0090862319561722,0,0,0
Linear hybrid,nominal,100,0.1,10,1280,0.0100043235532483,0.010023469271838,0.006650750251187,0.00955205377725547,0.0124801523240554,0.0290768908719176,0,0,0
Linear hybrid,nominal,250,0.25,10,1280,0.0453592592803617,0.045375183132047,0.0399878361468634,0.043439655077658,0.0580400033972237,0.125352103876264,0,0,0
Linear hybrid,varied,1,0.001,10,1280,0.000272478432413508,0.000524352114908983,0.00964968911707585,0.000282209977117961,0.000290549428188149,0.000907622912457828,0,0,0
Linear hybrid,varied,20,0.02,10,1280,0.00130340950073883,0.00137996717467529,0.00967714605814986,0.00124878275198965,0.00167649979342083,0.00465840040484083,0,0,0
Linear hybrid,varied,50,0.05,10,1280,0.00485998462584577,0.0048626717600167,0.0106025080239348,0.00455321576894729,0.00658117884001992,0.0165609612326497,0,0,0
Linear hybrid,varied,100,0.1,10,1280,0.015585455202483,0.0155639560658435,0.0173937635599859,0.0144733079368726,0.0216391795990692,0.0500490393137544,0,0,0
Linear hybrid,varied,250,0.25,10,1280,0.0705617154873149,0.0705406866423316,0.0689830707451037,0.0671098774876555,0.10231044361014,0.204307453240888,13,0.01015625,0
Linear hybrid,nonlinear,1,0.001,10,1280,0.000423285400957194,0.000617775860765134,0.01856324114025,0.000407925994869152,0.000620482066197572,0.0017441003490154,0,0,0
Linear hybrid,nonlinear,20,0.02,10,1280,0.00371200564229083,0.00372637149571855,0.018577613904763,0.0036282099106585,0.00638601491746237,0.0180675275700412,0,0,0
Linear hybrid,nonlinear,50,0.05,10,1280,0.0136514831589175,0.0136681635428146,0.0213361796614521,0.0131102858621594,0.0240774151234648,0.0658742938552886,0,0,0
Linear hybrid,nonlinear,100,0.1,10,1280,0.0383672563311213,0.0383568499237247,0.0395689568241589,0.0361604718070817,0.069261097403103,0.163534115566524,0,0,0
Linear hybrid,nonlinear,250,0.25,10,1280,0.132287575869212,0.132278128517921,0.132325478321705,0.127745627981793,0.24266292670227,0.460790173733469,270,0.2109375,0
Linear hybrid,stress,1,0.001,10,1280,0.000998976971161131,0.00109988607669264,0.0414682777713057,0.000948106954833812,0.00141382309806115,0.00422180062635658,0,0,0
