modelName,regime,eventGroup,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE,runCount
Nominal physics,nominal,all,1,0.001,1280,0,0,0,0,1.46522761823299e-06,0.000120701132442754,0.000120969553496018,0.000243521829848313,0.000831109409043129,1.1705236171639e-05,0.000482372271003489,0.00048528596657249,0.000837002491933176,0.00140051160507595,0.000120969553496018,10
Nominal physics,nominal,nearReversal,1,0.001,377,0,0,0,0,-2.61742408077157e-06,0.000135178801338937,0.000136292553270726,0.000278360324311011,0.000763924239243957,2.86146968629382e-05,0.000498121601560717,0.000506642229575107,0.000918237781868458,0.00140051160507595,0.000136292553270726,10
Nominal physics,nominal,awayFromReversal,1,0.001,903,0,0,0,0,2.70473121518985e-06,0.000112286868607956,0.000112714588063699,0.000224498459443292,0.000831109409043129,6.268506485618e-06,0.000472121031433611,0.000474431671767873,0.000817841342012263,0.00132461008903545,0.000112714588063699,10
Nominal physics,nominal,all,20,0.02,1280,0,0,0,0,2.67719368072801e-07,0.000100425413547408,0.000100923012057658,0.000214933300453576,0.000673161953048895,-7.75727244820563e-07,0.000469229740909537,0.000470157661700357,0.000819084136256162,0.00135340252135352,0.000100923012057658,10
Nominal physics,nominal,nearReversal,20,0.02,379,0,0,0,0,1.7863693267934e-06,0.000111628386971567,0.000112504357557001,0.000232694608609645,0.000673161953048895,-6.58245953195277e-06,0.000467341487189021,0.000471586821569203,0.000818500082997623,0.00107671351465666,0.000112504357557001,10
Nominal physics,nominal,awayFromReversal,20,0.02,901,0,0,0,0,-4.37418444032645e-07,9.32782555357824e-05,9.38355590209957e-05,0.000193389406182233,0.000546236413786927,4.4073352341634e-06,0.000468360892815279,0.000470229458951115,0.000827768990315456,0.00135340252135352,9.38355590209957e-05,10
Nominal physics,nominal,all,50,0.05,1280,0,0,0,0,2.40521099568634e-07,0.000105854076564041,0.000106342331178253,0.000229980727980763,0.000699431639641146,-3.05179303971314e-06,0.00047702745389933,0.00047882674421941,0.000817562289495979,0.00122970749609452,0.000106342331178253,10
Nominal physics,nominal,nearReversal,50,0.05,378,0,0,0,0,6.65525700909803e-06,9.47119725533883e-05,9.58723388802755e-05,0.00020224849843269,0.000366180269530059,4.94606232752153e-05,0.000477625278899514,0.00049098928409567,0.000814351290958917,0.00107912715439791,9.58723388802755e-05,10
Nominal physics,nominal,awayFromReversal,50,0.05,902,0,0,0,0,-2.31826276223873e-06,0.0001096731437445,0.000110410071455076,0.000235392148418943,0.000699431639641146,-2.25842084608682e-05,0.000471590668734585,0.000474328218778846,0.000812914076119567,0.00122970749609452,0.000110410071455076,10
Nominal physics,nominal,all,100,0.1,1280,0,0,0,0,2.30271116445019e-07,0.000107951346669824,0.000108436329738074,0.000234866614848224,0.000709430853389814,-3.48275437174239e-07,0.000469427430695629,0.000470331034713565,0.000817711618649877,0.00153081151995238,0.000108436329738074,10
