caseId,recordId,fixtureId,sourceKind,capacitance_pF,couplingP_pF,exposed,polarity,pulseLaw,thresholdVariant,latency_ns,domainStatus,stressFlag,stressUnresolved,finalCountError,outputEdges,extraEdges,missedEdges,invalidTransitions,minVp_V,maxVp_V,minVn_V,maxVn_V,minVd_V,maxVd_V,maxAbsGround_V,firstViolation_s,timeOutsideDomain_s,maxTransitionDelay_ns,maxPositiveOverdrive_V,maxNegativeOverdrive_V,minInputPulseWidth_ns,minOutputPulseWidth_ns,extremaBoundWidth_V,refinementDifference_V,eventDifference_ns,numericalConverged
native_-1_cp30_cd100_false_typical_illustration_25ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,typical_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,88.3872528076173,1.18591748720051,0.961476608952779,1170.68725585937,1170.68725585937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_typical_illustration_25ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,typical_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,88.3872528076173,1.18591748720051,0.961476608952779,1170.68725585937,1170.68725585937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_typical_illustration_40ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,typical_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,103.387252807617,1.18591748720051,0.961476608952779,1170.68725585937,1170.68725585937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_typical_illustration_40ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,typical_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,103.387252807617,1.18591748720051,0.961476608952779,1170.68725585937,1170.68725585937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_lower_illustration_25ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,lower_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,91.6027069091797,1.25591748720051,0.891476608952779,1164.25338745117,1164.25338745117,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_lower_illustration_25ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,lower_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,91.6027069091797,1.25591748720051,0.891476608952779,1164.25338745117,1164.25338745117,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_lower_illustration_40ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,lower_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,106.60270690918,1.25591748720051,0.891476608952779,1164.25338745117,1164.25338745117,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_lower_illustration_40ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,lower_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,106.60270690918,1.25591748720051,0.891476608952779,1164.25338745117,1164.25338745117,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_upper_illustration_25ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,upper_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,84.7120819091796,1.10591748720051,1.04147660895278,1178.03912353516,1178.03912353516,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_upper_illustration_25ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,upper_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,84.7120819091796,1.10591748720051,1.04147660895278,1178.03912353516,1178.03912353516,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_upper_illustration_40ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,upper_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,99.7120819091795,1.10591748720051,1.04147660895278,1178.03912353516,1178.03912353516,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_upper_illustration_40ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,upper_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,99.7120819091795,1.10591748720051,1.04147660895278,1178.03912353516,1178.03912353516,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_narrow_hysteresis_assumption_25ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,narrow_hysteresis_assumption,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,87.2388153076175,1.18591748720051,0.986476608952779,1171.83569335937,1171.83569335937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_narrow_hysteresis_assumption_25ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,narrow_hysteresis_assumption,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,87.2388153076175,1.18591748720051,0.986476608952779,1171.83569335937,1171.83569335937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_narrow_hysteresis_assumption_40ns_transport,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,transport,narrow_hysteresis_assumption,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,102.238815307617,1.18591748720051,0.986476608952779,1171.83569335937,1171.83569335937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_false_narrow_hysteresis_assumption_40ns_inertial,native_-1_cp30_cd100_false,native_-1,native,100,30,0,-1,inertial,narrow_hysteresis_assumption,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884127284,1.97437135407232,3.00994624821451,-1.09147660895278,1.08591748720051,0.000714248028526744,NaN,0,102.238815307617,1.18591748720051,0.986476608952779,1171.83569335937,1171.83569335937,6.25106254581453e-06,0,0,1
native_-1_cp30_cd100_true_typical_illustration_25ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,typical_illustration,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,97.2023773193362,1.23643104964364,1.00125396543141,1161.87213134766,1161.87213134766,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_typical_illustration_25ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,typical_illustration,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,97.2023773193362,1.23643104964364,1.00125396543141,1161.87213134766,1161.87213134766,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_typical_illustration_40ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,typical_illustration,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,112.202377319336,1.23643104964364,1.00125396543141,1161.87213134766,1161.87213134766,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_typical_illustration_40ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,typical_illustration,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,112.202377319336,1.23643104964364,1.00125396543141,1161.87213134766,1161.87213134766,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_lower_illustration_25ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,lower_illustration,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,98.8633270263674,1.30643104964364,0.931253965431415,1156.99276733398,1156.99276733398,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_lower_illustration_25ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,lower_illustration,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,98.8633270263674,1.30643104964364,0.931253965431415,1156.99276733398,1156.99276733398,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_lower_illustration_40ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,lower_illustration,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,113.863327026367,1.30643104964364,0.931253965431415,1156.99276733398,1156.99276733398,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_lower_illustration_40ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,lower_illustration,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,113.863327026367,1.30643104964364,0.931253965431415,1156.99276733398,1156.99276733398,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_upper_illustration_25ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,upper_illustration,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,95.5538787841799,1.15643104964364,1.08125396543141,1167.19732666016,1167.19732666016,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_upper_illustration_25ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,upper_illustration,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,95.5538787841799,1.15643104964364,1.08125396543141,1167.19732666016,1167.19732666016,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_upper_illustration_40ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,upper_illustration,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,110.55387878418,1.15643104964364,1.08125396543141,1167.19732666016,1167.19732666016,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_upper_illustration_40ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,upper_illustration,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,110.55387878418,1.15643104964364,1.08125396543141,1167.19732666016,1167.19732666016,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_narrow_hysteresis_assumption_25ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,narrow_hysteresis_assumption,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,96.640090942383,1.23643104964364,1.02625396543141,1162.43441772461,1162.43441772461,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_narrow_hysteresis_assumption_25ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,narrow_hysteresis_assumption,25,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,96.640090942383,1.23643104964364,1.02625396543141,1162.43441772461,1162.43441772461,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_narrow_hysteresis_assumption_40ns_transport,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,transport,narrow_hysteresis_assumption,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,111.640090942383,1.23643104964364,1.02625396543141,1162.43441772461,1162.43441772461,0.000187297910713369,0,0,1
native_-1_cp30_cd100_true_narrow_hysteresis_assumption_40ns_inertial,native_-1_cp30_cd100_true,native_-1,native,100,30,1,-1,inertial,narrow_hysteresis_assumption,40,inside,0,0,0,4,0,0,0,1.28549845134133,3.46469784698151,0.865151226215298,3.01297004505386,-1.13125396543141,1.13643104964364,0.238771954176262,NaN,0,111.640090942383,1.23643104964364,1.02625396543141,1162.43441772461,1162.43441772461,0.000187297910713369,0,0,1
native_-1_cp30_cd1000_false_typical_illustration_25ns_transport,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,transport,typical_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,128.400955200195,1.18591748460085,0.961476608952779,1168.3059387207,1168.3059387207,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_typical_illustration_25ns_inertial,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,inertial,typical_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,128.400955200195,1.18591748460085,0.961476608952779,1168.3059387207,1168.3059387207,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_typical_illustration_40ns_transport,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,transport,typical_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,143.400955200195,1.18591748460085,0.961476608952779,1168.3059387207,1168.3059387207,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_typical_illustration_40ns_inertial,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,inertial,typical_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,143.400955200195,1.18591748460085,0.961476608952779,1168.3059387207,1168.3059387207,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_lower_illustration_25ns_transport,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,transport,lower_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,132.675247192383,1.25591748460085,0.891476608952779,1159.97021484375,1159.97021484375,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_lower_illustration_25ns_inertial,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,inertial,lower_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,132.675247192383,1.25591748460085,0.891476608952779,1159.97021484375,1159.97021484375,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_lower_illustration_40ns_transport,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,transport,lower_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,147.675247192383,1.25591748460085,0.891476608952779,1159.97021484375,1159.97021484375,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_lower_illustration_40ns_inertial,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,inertial,lower_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,147.675247192383,1.25591748460085,0.891476608952779,1159.97021484375,1159.97021484375,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_upper_illustration_25ns_transport,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,transport,upper_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,123.86848449707,1.10591748460085,1.04147660895278,1177.39215087891,1177.39215087891,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_upper_illustration_25ns_inertial,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,inertial,upper_illustration,25,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,123.86848449707,1.10591748460085,1.04147660895278,1177.39215087891,1177.39215087891,3.37969080810296e-06,0,0,1
native_-1_cp30_cd1000_false_upper_illustration_40ns_transport,native_-1_cp30_cd1000_false,native_-1,native,1000,30,0,-1,transport,upper_illustration,40,inside,0,0,0,4,0,0,0,1.91846963926173,3.06028884005499,1.97437135545414,3.00994624821451,-1.09147660895278,1.08591748460085,0.00073633098372308,NaN,0,138.86848449707,1.10591748460085,1.04147660895278,1177.39215087891,1177.39215087891,3.37969080810296e-06,0,0,1
