modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
EDMD hybrid,nominal,nominal_seed_130102,2,130102,1,0.001,128,0.000262824893370787,0.000540113356886398,0.000201549208332365,0.000825130957166964,0,0,0
EDMD hybrid,nominal,nominal_seed_130102,2,130102,20,0.02,128,0.000936710293634936,0.00103225994403469,0.000170168008756688,0.00323831059382093,0,0,0
EDMD hybrid,nominal,nominal_seed_130102,2,130102,50,0.05,128,0.00315187694267404,0.00322757678808661,0.00135307372256692,0.00969534701490521,0,0,0
EDMD hybrid,nominal,nominal_seed_130102,2,130102,100,0.1,128,0.00968143979706975,0.00966657200809628,0.00651307089912445,0.0260422134882659,0,0,0
EDMD hybrid,nominal,nominal_seed_130102,2,130102,250,0.25,128,0.0415265446261995,0.0415253413632863,0.0368965580734187,0.0951926145049365,0,0,0
Nominal physics,nominal,nominal_seed_130103,3,130103,1,0.001,128,0.000123377305983527,0.000468168420037491,0.000123377305983527,0.000482541224059219,0,0,0
Nominal physics,nominal,nominal_seed_130103,3,130103,20,0.02,128,9.06659729888426e-05,0.000457257736974611,9.06659729888426e-05,0.000303426928164815,0,0,0
Nominal physics,nominal,nominal_seed_130103,3,130103,50,0.05,128,9.45977777044686e-05,0.000411900578616653,9.45977777044686e-05,0.000319460204932495,0,0,0
Nominal physics,nominal,nominal_seed_130103,3,130103,100,0.1,128,9.61394505503432e-05,0.000460265519146995,9.61394505503432e-05,0.000325546692123729,0,0,0
Nominal physics,nominal,nominal_seed_130103,3,130103,250,0.25,128,9.63909351467235e-05,0.000435018901773172,9.63909351467235e-05,0.000326530289267352,0,0,0
Persistent innovation,nominal,nominal_seed_130103,3,130103,1,0.001,128,0.000146251228062785,0.000474504587653452,0.000127251990380991,0.000420548382041065,0,0,0
Persistent innovation,nominal,nominal_seed_130103,3,130103,20,0.02,128,0.000208631643135325,0.000474477621575091,0.000110197187122146,0.000607652349103063,0,0,0
Persistent innovation,nominal,nominal_seed_130103,3,130103,50,0.05,128,0.000369683080393997,0.000530356080339412,0.000258313973059182,0.00110008776337303,0,0,0
Persistent innovation,nominal,nominal_seed_130103,3,130103,100,0.1,128,0.000652372594919308,0.00076745044739189,0.000538237096266392,0.00206542099434542,0,0,0
Persistent innovation,nominal,nominal_seed_130103,3,130103,250,0.25,128,0.00151476505673666,0.00158450733571512,0.00139976647475295,0.00498698158198249,0,0,0
Linear hybrid,nominal,nominal_seed_130103,3,130103,1,0.001,128,0.00024488442522938,0.000487693289050706,0.000174812597137356,0.00060402001566752,0,0,0
Linear hybrid,nominal,nominal_seed_130103,3,130103,20,0.02,128,0.000833738516734123,0.000922384333769911,0.000179416103835065,0.00213379407688274,0,0,0
Linear hybrid,nominal,nominal_seed_130103,3,130103,50,0.05,128,0.00301425624319393,0.00309859242389501,0.00122022380819693,0.0067980298309236,0,0,0
Linear hybrid,nominal,nominal_seed_130103,3,130103,100,0.1,128,0.00987066016815094,0.00986352877313726,0.00646615107513865,0.0207474570594093,0,0,0
Linear hybrid,nominal,nominal_seed_130103,3,130103,250,0.25,128,0.0489321231874763,0.04901940337892,0.0425862783511285,0.108791540254,0,0,0
EDMD hybrid,nominal,nominal_seed_130103,3,130103,1,0.001,128,0.000245546724928361,0.000488271756589849,0.000174847046017875,0.000606951146984773,0,0,0
EDMD hybrid,nominal,nominal_seed_130103,3,130103,20,0.02,128,0.000833693934320603,0.000916216845458102,0.000178892268473163,0.0021508500487508,0,0,0
EDMD hybrid,nominal,nominal_seed_130103,3,130103,50,0.05,128,0.00300509373787334,0.00309091507133479,0.00121949173178225,0.00752671908709229,0,0,0
EDMD hybrid,nominal,nominal_seed_130103,3,130103,100,0.1,128,0.00982470175279259,0.00981345695002674,0.00643941286473626,0.0223149674439053,0,0,0
EDMD hybrid,nominal,nominal_seed_130103,3,130103,250,0.25,128,0.0486494013304107,0.0487364539209062,0.04234461167662,0.114122031535413,0,0,0
Nominal physics,nominal,nominal_seed_130104,4,130104,1,0.001,128,0.000120252848066653,0.000437408696016431,0.000120252848066653,0.000614815419782394,0,0,0
Nominal physics,nominal,nominal_seed_130104,4,130104,20,0.02,128,8.97393896872273e-05,0.000474720024998332,8.97393896872273e-05,0.000299997198938085,0,0,0
Nominal physics,nominal,nominal_seed_130104,4,130104,50,0.05,128,9.47671730099965e-05,0.00046578427367575,9.47671730099965e-05,0.000307401668139265,0,0,0
Nominal physics,nominal,nominal_seed_130104,4,130104,100,0.1,128,9.67115728072164e-05,0.000487999915869876,9.67115728072164e-05,0.000310248180798889,0,0,0
Nominal physics,nominal,nominal_seed_130104,4,130104,250,0.25,128,9.70273853203071e-05,0.000481735489289837,9.70273853203071e-05,0.000310708184659947,0,0,0
Persistent innovation,nominal,nominal_seed_130104,4,130104,1,0.001,128,0.000169550370695858,0.000459011999311681,0.00012060527631948,0.000830710047574151,0,0,0
Persistent innovation,nominal,nominal_seed_130104,4,130104,20,0.02,128,0.000237244892530852,0.000487856834910046,0.000116382100078214,0.000708118651354016,0,0,0
Persistent innovation,nominal,nominal_seed_130104,4,130104,50,0.05,128,0.000425691095792901,0.000643085279360423,0.000295516122530596,0.00127660632097548,0,0,0
Persistent innovation,nominal,nominal_seed_130104,4,130104,100,0.1,128,0.0007531901562045,0.000862688605763888,0.000621123894603719,0.00224541599657729,0,0,0
Persistent innovation,nominal,nominal_seed_130104,4,130104,250,0.25,128,0.00174867426139217,0.00180401015296835,0.00161601700629058,0.00516976968459115,0,0,0
Linear hybrid,nominal,nominal_seed_130104,4,130104,1,0.001,128,0.000264072666406967,0.000557103496330832,0.00017809667520356,0.00068925497656902,0,0,0
Linear hybrid,nominal,nominal_seed_130104,4,130104,20,0.02,128,0.00119726834980088,0.00128604689781732,0.000159722567412293,0.00307477104864595,0,0,0
Linear hybrid,nominal,nominal_seed_130104,4,130104,50,0.05,128,0.00431524045360209,0.00437789845358867,0.00175945825403514,0.00997809129339222,0,0,0
