Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Sample
physical_only,0.0494441798573072,0.0725144104048452,0.031939601466458,0,0.139547552750138,0.00613689119597787,0.104725509161855,0.132228642457119,0,0,14660921.9194817,2.22044604925031e-16,0,0,0,0,0.183785000071772,0.037319680015906,0.173060058331423,1
combined_phase2b,0.043150905754922,0.0588607759466805,0.0227797306052172,0,0.146773393161498,0.0065918267718151,0.104725509161855,0.132228642457119,0,0,14660921.9194817,2.22044604925031e-16,0,0,0,17,0.173066102556847,0.0351586657399233,0.173060058331423,1
physical_only,4.40762409463454,6.9323561414876,3.13137991052589,0,13.3907066461892,0.583234872975081,0.352963934843884,12.1849946098953,118,0,10366405.955629,NaN,1,0,0,0,6.82227063808646,0.601555503245538,0.400343314577854,2
combined_phase2b,4.40352204466994,7.3586242464423,3.64506992663827,0,12.8185413229294,0.585104796944898,0.352963934843884,12.1849946098953,118,0,10366405.955629,NaN,1,0,0,17,7.26482341526303,0.600657834967306,0.400343314577854,2
physical_only,4.52604484374451,9.36472490327303,4.74277757711598,0,5.80238050120284,0.198867222578596,0.259161438016857,10.1635853624974,65,0,11743213.5414508,NaN,1,0,0,0,9.47193136894698,0.226379817893027,0.325399846551061,3
combined_phase2b,4.75616165238444,10.7024512548293,3.98549738845593,0,7.62680550720988,0.256267807254394,0.259161438016857,10.1635853624974,65,0,11743213.5414508,NaN,1,0,0,17,10.6654885631811,0.261054817649801,0.325399846551061,3
physical_only,0.0921593440912719,0.135734238090846,0.0580294380364182,0,0.174919274687969,0.00723163269748773,0.0346338562295769,0.162933512122297,0,0,7928242.47614756,0.00600000000000001,0,0,0,0,0.247045780320083,0.039203871732617,0.103134355639203,4
combined_phase2b,0.0849113072498027,0.126053105424786,0.0511060259901633,0,0.166622419349828,0.00666534755336135,0.0346338562295769,0.162933512122297,0,0,7928242.47614756,0.00100000000000011,0,0,0,17,0.228119403089789,0.0372383594491358,0.103134355639203,4
physical_only,0.0948535132088905,0.290277231571888,0.269635716753331,0,23.7410331233862,1.12280291243957,1.58745882559716,23.5163453048482,274,0,9948644.18532838,0.0980000000000001,0,0,0,0,0.265447161639232,1.13362053381897,1.6406362779116,5
combined_phase2b,2.25058086289277,6.59287835993918,4.29673206172191,0,29.8601603031973,1.41475271926409,1.58745882559716,23.5163453048482,274,0,9948644.18532838,NaN,1,0,0,17,6.65190102321315,1.40151505035229,1.6406362779116,5
physical_only,0.157236832927477,0.265643183202132,0.135024303522105,0,0.275798504309567,0.0119977451371808,0.0479577994131201,0.295543201231303,0,0,8169815.69241452,0.042,0,0,0,0,0.156729444419429,0.0356785864983041,0.0948321003484189,6
combined_phase2b,0.174239735611695,0.291064153061214,0.119513668830461,0,0.284238097893851,0.0122408058411071,0.0479577994131201,0.295543201231303,0,0,8169815.69241452,0.038,0,0,0,17,0.391597780697469,0.0402265252450952,0.0948321003484189,6
physical_only,2.28093270619847,4.26628251975572,2.56984311843302,0,6.23111419832906,0.229697397782531,0.602123727343427,5.6905457555427,229,0,22116114.996266,0.0950000000000002,0,0,0,0,4.17136158691828,0.253186092519623,0.650087750527773,7
combined_phase2b,2.60868621837495,4.80705455319062,3.06617507229838,0,8.10570267965814,0.303875071110915,0.602123727343427,5.6905457555427,229,0,22116114.996266,0.0990000000000002,0,0,0,17,4.67933051273885,0.325583548355934,0.650087750527773,7
physical_only,0.203876955019054,0.297237476134765,0.128248730587867,0,1.25702461797812,0.0569690150672743,0.370208933379045,1.24596682489893,140,0,14657181.2123942,0.03,0,0,0,0,0.186293551392314,0.0466942685256237,0.3313801034339,8
combined_phase2b,0.107326920025742,0.295623419561111,0.0832498424778603,0,1.34544157985275,0.0618960700070515,0.370208933379045,1.24596682489893,140,0,14657181.2123942,0.018,0,0,0,17,0.168841511183341,0.0461057080052953,0.3313801034339,8
