time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
1.163,0.523598775598299,0.525258058826709,-0.241417683304282,0.0202119269237224,0.525258058826709,0.525258058826709,-0.00165928322841002,0.00482254323570191,0.00482254323570191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1164,0,0,0,0,0,0,5.3025027847653e-05
1.164,0.523598775598299,0.525022099420172,-0.230519183106146,0.0200245706927889,0.525022099420172,0.525022099420172,-0.00142332382187305,0.00523819827338775,0.00523819827338775,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1165,0,0,0,0,0,0,-0.000174180641645982
1.165,0.523598775598299,0.524796977680033,-0.219748695999392,0.0197653803345786,0.524796977680033,0.524796977680033,-0.0011982020817346,0.00562361309316251,0.00562361309316251,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1166,0,0,0,0,0,0,-0.000390595315513553
1.166,0.523598775598299,0.524582548603494,-0.209138293204219,0.019455850951359,0.524582548603494,0.524582548603494,-0.000983773005195587,0.00597963264516682,0.00597963264516682,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1167,0,0,0,0,0,0,-0.00059636375669081
1.167,0.523598775598299,0.524378640142406,-0.198710637440703,0.0191102296537336,0.524378640142406,0.524378640142406,-0.0007798645441075,0.00630715228415331,0.00630715228415331,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1168,0,0,0,0,0,0,-0.000791657774616317
1.168,0.523598775598299,0.524185060931718,-0.188482113581892,0.0187381013629049,0.524185060931718,0.524185060931718,-0.000586285333419201,0.00660709683336597,0.00660709683336597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1169,0,0,0,0,0,0,-0.000976668496780131
1.169,0.523598775598299,0.524001605485907,-0.178464844481821,0.0183460454396276,0.524001605485907,0.524001605485907,-0.000402829887608203,0.00688040673326308,0.00688040673326308,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1170,0,0,0,0,0,0,-0.00115160117228719
1.17,0.523598775598299,0.523828057763123,-0.168667992535126,0.0179386971436712,0.523828057763123,0.523828057763123,-0.000229282164823985,0.00712802875785546,0.00712802875785546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1171,0,0,0,0,0,0,-0.00131667160770965
1.171,0.523598775598299,0.523664193673534,-0.159098603538201,0.017519427870184,0.523664193673534,0.523664193673534,-6.54180752349687e-05,0.00735090968533619,0.00735090968533619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1172,0,0,0,0,0,0,-0.00147210365873485
1.172,0.523598775598299,0.523509782901326,-0.149762157191227,0.0170907812060246,0.523509782901326,0.523509782901326,8.89926969730448e-05,0.00754999188868349,0.00754999188868349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1173,0,0,0,0,0,0,-0.00161812740816225
