time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
0.463,0.523598775598299,0.567979330783335,0.567979330783335,-0.279007547556503,0.0165169804748267,-0.0443805551850361,0,-0.00262817455913793,-0.00262817455913793,0,0,0,0,0
0.464,0.523598775598299,0.567704809895714,0.567704809895714,-0.270049929927144,0.0163532357211989,-0.0441060342974149,0,-0.00249149489899114,-0.00249149489899114,0,0,0,0,0
0.465,0.523598775598299,0.567439187914775,0.567439187914775,-0.26122036250496,0.0160693036602363,-0.0438404123164762,0,-0.00237547476489398,-0.00237547476489398,0,0,0,0,0
0.466,0.523598775598299,0.56718230906486,0.56718230906486,-0.252570457127576,0.0157084494218496,-0.0435835334665615,0,-0.00227944911092517,-0.00227944911092517,0,0,0,0,0
0.467,0.523598775598299,0.566933976004673,0.566933976004673,-0.244133086014324,0.0152986935376634,-0.0433352004063741,0,-0.00220265644225005,-0.00220265644225005,0,0,0,0,0
0.468,0.523598775598299,0.566693965035965,0.566693965035965,-0.235928958936169,0.0148582741702878,-0.0430951894376665,0,-0.00214428059771621,-0.00214428059771621,0,0,0,0,0
0.469,0.523598775598299,0.566462035999589,0.566462035999589,-0.227970845501353,0.0143991464257242,-0.0428632604012905,0,-0.00210347768580675,-0.00210347768580675,0,0,0,0,0
0.47,0.523598775598299,0.566237938759386,0.566237938759386,-0.220266288758412,0.0139292243133987,-0.0426391631610867,0,-0.00207939348885401,-0.00207939348885401,0,0,0,0,0
0.471,0.523598775598299,0.566021417491527,0.566021417491527,-0.21281935215361,0.0134538173057294,-0.042422641893228,0,-0.00207117474091811,-0.00207117474091811,0,0,0,0,0
0.472,0.523598775598299,0.565812213559514,0.565812213559514,-0.205631747046277,0.0129765509963629,-0.0422134379612157,0,-0.00207797646159169,-0.00207797646159169,0,0,0,0,0
0.473,0.523598775598299,0.565610067474841,0.565610067474841,-0.198703563184311,0.0124999572963221,-0.0420112918765418,0,-0.00209896674446955,-0.00209896674446955,0,0,0,0,0
0.474,0.523598775598299,0.565414720263856,0.565414720263856,-0.192033744600572,0.0120258529512631,-0.0418159446655574,0,-0.00213332989713562,-0.00213332989713562,0,0,0,0,0
0.475,0.523598775598299,0.565225914446421,0.565225914446421,-0.185620402184361,0.0115555824662203,-0.0416271388481217,0,-0.00218026850799845,-0.00218026850799845,0,0,0,0,0
0.476,0.523598775598299,0.56504339475827,0.56504339475827,-0.179461021381982,0.0110901741745995,-0.0414446191599709,0,-0.00223900480935323,-0.00223900480935323,0,0,0,0,0
0.477,0.523598775598299,0.564866908701865,0.564866908701865,-0.173552602470452,0.0106304406692864,-0.0412681331035657,0,-0.0023087815740917,-0.0023087815740917,0,0,0,0,0
0.478,0.523598775598299,0.564696206980269,0.564696206980269,-0.167891757390772,0.010177043591964,-0.0410974313819698,0,-0.00238886269895253,-0.00238886269895253,0,0,0,0,0
0.479,0.523598775598299,0.564531043849241,0.564531043849241,-0.162474778507134,0.00973053558860978,-0.0409322682509422,0,-0.00247853357302115,-0.00247853357302115,0,0,0,0,0
0.48,0.523598775598299,0.564371177410335,0.564371177410335,-0.157297689137192,0.00929138763479478,-0.040772401812036,0,-0.00257710129548507,-0.00257710129548507,0,0,0,0,0
0.481,0.523598775598299,0.564216369859841,0.564216369859841,-0.1523562821621,0.00886000698510684,-0.0406175942615425,0,-0.00268389478438469,-0.00268389478438469,0,0,0,0,0
0.482,0.523598775598299,0.564066387703329,0.564066387703329,-0.147646150760098,0.00843674911186646,-0.0404676121050298,0,-0.0027982648038183,-0.0027982648038183,0,0,0,0,0
