regime,eventGroup,modelName,baseline,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,modelTruthRMSE,baselineTruthRMSE,truthRMSEDelta,modelNonfiniteForecastCount,baselineNonfiniteForecastCount,pairFailed,bothFailed,modelWins
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230103,3,230103,1,0.001,53,0.000162135524724061,0.000286873838247665,-0.000124738313523604,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230103,3,230103,1,0.001,53,0.000162135524724061,0.000162135524724061,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230104,4,230104,1,0.001,34,0.000130055159655086,0.000190671262834201,-6.06161031791154e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230104,4,230104,1,0.001,34,0.000130055159655086,0.000230802453864249,-0.000100747294209163,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230104,4,230104,1,0.001,34,0.000130055159655086,0.000130055159655086,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230105,5,230105,1,0.001,43,0.0001767926778547,0.00028821505324099,-0.000111422375386289,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230105,5,230105,1,0.001,43,0.0001767926778547,0.000289363391699284,-0.000112570713844584,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230105,5,230105,1,0.001,43,0.0001767926778547,0.000180142798140176,-3.35012028547529e-06,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230106,6,230106,1,0.001,33,0.000117405374582988,0.000142165595470214,-2.47602208872265e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230106,6,230106,1,0.001,33,0.000117405374582988,0.000250196287827434,-0.000132790913244446,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230106,6,230106,1,0.001,33,0.000117405374582988,0.000117405374582988,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230107,7,230107,1,0.001,30,0.00013132276521924,0.000168130175225283,-3.68074100060427e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230107,7,230107,1,0.001,30,0.00013132276521924,0.000249004234145899,-0.000117681468926659,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230107,7,230107,1,0.001,30,0.00013132276521924,0.00013132276521924,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230108,8,230108,1,0.001,30,0.000120623315382973,0.000191078860455315,-7.04555450723418e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230108,8,230108,1,0.001,30,0.000120623315382973,0.000258028764210853,-0.00013740544882788,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230108,8,230108,1,0.001,30,0.000120623315382973,0.000120623315382973,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230109,9,230109,1,0.001,32,0.000113530901029117,0.000173112158481399,-5.9581257452282e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230109,9,230109,1,0.001,32,0.000113530901029117,0.000265957988907349,-0.000152427087878233,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230109,9,230109,1,0.001,32,0.000113530901029117,0.000113530901029117,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230110,10,230110,1,0.001,45,0.000162992765212988,0.000183737224354396,-2.07444591414081e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230110,10,230110,1,0.001,45,0.000162992765212988,0.000280983894394925,-0.000117991129181936,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230110,10,230110,1,0.001,45,0.000162992765212988,0.000162992765212988,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230101,1,230101,1,0.001,86,0.000107632327021705,0.00013938686674047,-3.17545397187646e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230101,1,230101,1,0.001,86,0.000107632327021705,0.000240835062795748,-0.000133202735774043,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230101,1,230101,1,0.001,86,0.000107632327021705,0.000106872848155484,7.59478866221128e-07,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230102,2,230102,1,0.001,93,8.03158546361099e-05,0.000106650535207168,-2.63346805710581e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230102,2,230102,1,0.001,93,8.03158546361099e-05,0.000221127583487877,-0.000140811728851767,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230102,2,230102,1,0.001,93,8.03158546361099e-05,8.03158546361099e-05,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230103,3,230103,1,0.001,75,0.000153654378286768,0.00018658525698407,-3.29308786973027e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230103,3,230103,1,0.001,75,0.000153654378286768,0.000235914203150545,-8.22598248637769e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230103,3,230103,1,0.001,75,0.000153654378286768,0.000153654378286768,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230104,4,230104,1,0.001,94,0.000111185714553332,0.000140868970542247,-2.96832559889156e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230104,4,230104,1,0.001,94,0.000111185714553332,0.000263523011926485,-0.000152337297373153,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230104,4,230104,1,0.001,94,0.000111185714553332,0.000111185714553332,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230105,5,230105,1,0.001,85,0.000134915080407972,0.000199315978706276,-6.44008982983038e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230105,5,230105,1,0.001,85,0.000134915080407972,0.000259577162937886,-0.000124662082529913,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230105,5,230105,1,0.001,85,0.000134915080407972,0.000148305074773618,-1.33899943656453e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230106,6,230106,1,0.001,95,0.000100069055728339,0.000134081398046512,-3.40123423181735e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230106,6,230106,1,0.001,95,0.000100069055728339,0.000245525472080228,-0.00014545641635189,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230106,6,230106,1,0.001,95,0.000100069055728339,0.000100069055728339,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230107,7,230107,1,0.001,98,9.43715944548883e-05,0.000130167342881639,-3.57957484267503e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230107,7,230107,1,0.001,98,9.43715944548883e-05,0.00023263095226233,-0.000138259357807441,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230107,7,230107,1,0.001,98,9.43715944548883e-05,9.43715944548883e-05,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230108,8,230108,1,0.001,98,0.000128719926821702,0.000185654069085644,-5.69341422639423e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230108,8,230108,1,0.001,98,0.000128719926821702,0.000241313812424067,-0.000112593885602365,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230108,8,230108,1,0.001,98,0.000128719926821702,0.000128719926821702,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230109,9,230109,1,0.001,96,0.000115292729693726,0.000165073401385453,-4.97806716917265e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230109,9,230109,1,0.001,96,0.000115292729693726,0.000262382891052462,-0.000147090161358735,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230109,9,230109,1,0.001,96,0.000115292729693726,0.000115292729693726,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230110,10,230110,1,0.001,83,0.00010098921903245,0.000165796854659076,-6.48076356266259e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230110,10,230110,1,0.001,83,0.00010098921903245,0.000240853094285071,-0.000139863875252621,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230110,10,230110,1,0.001,83,0.00010098921903245,0.00010098921903245,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230101,1,230101,20,0.02,128,0.000100007368407992,0.000248483895318346,-0.000148476526910354,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230101,1,230101,20,0.02,128,0.000100007368407992,0.000843662945678713,-0.000743655577270721,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230101,1,230101,20,0.02,128,0.000100007368407992,0.000112978380274717,-1.29710118667247e-05,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230102,2,230102,20,0.02,128,8.2167180258724e-05,0.000218475368407586,-0.000136308188148862,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230102,2,230102,20,0.02,128,8.2167180258724e-05,0.00100092718691637,-0.000918760006657641,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230102,2,230102,20,0.02,128,8.2167180258724e-05,8.2167180258724e-05,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230103,3,230103,20,0.02,128,0.00012821750974833,0.000315686413198578,-0.000187468903450248,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230103,3,230103,20,0.02,128,0.00012821750974833,0.000770509431763498,-0.000642291922015168,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230103,3,230103,20,0.02,128,0.00012821750974833,0.00012821750974833,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230104,4,230104,20,0.02,128,9.68840528519469e-05,0.000245285549233989,-0.000148401496382042,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230104,4,230104,20,0.02,128,9.68840528519469e-05,0.00102648023328837,-0.000929596180436428,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230104,4,230104,20,0.02,128,9.68840528519469e-05,9.68840528519469e-05,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230105,5,230105,20,0.02,128,0.000123489559497422,0.000320346039331128,-0.000196856479833705,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230105,5,230105,20,0.02,128,0.000123489559497422,0.000906175868401596,-0.000782686308904174,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230105,5,230105,20,0.02,128,0.000123489559497422,0.000196703619670244,-7.32140601728213e-05,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230106,6,230106,20,0.02,128,8.1962325293552e-05,0.000190001096987774,-0.000108038771694222,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230106,6,230106,20,0.02,128,8.1962325293552e-05,0.0008657602311574,-0.000783797905863848,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230106,6,230106,20,0.02,128,8.1962325293552e-05,8.1962325293552e-05,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230107,7,230107,20,0.02,128,8.4626491894918e-05,0.0002128018308343,-0.000128175338939382,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230107,7,230107,20,0.02,128,8.4626491894918e-05,0.000814895674091635,-0.000730269182196717,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230107,7,230107,20,0.02,128,8.4626491894918e-05,8.4626491894918e-05,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230108,8,230108,20,0.02,128,9.66553935961389e-05,0.00025794216373603,-0.000161286770139891,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230108,8,230108,20,0.02,128,9.66553935961389e-05,0.000970151656187385,-0.000873496262591246,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230108,8,230108,20,0.02,128,9.66553935961389e-05,9.66553935961389e-05,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230109,9,230109,20,0.02,128,0.000107054321903431,0.000279279346395064,-0.000172225024491632,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230109,9,230109,20,0.02,128,0.000107054321903431,0.000860295114337081,-0.00075324079243365,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230109,9,230109,20,0.02,128,0.000107054321903431,0.000107054321903431,0,0,0,0,0,0
nominal,all,Nominal physics,Persistent innovation,nominal_seed_230110,10,230110,20,0.02,128,0.00010816591712412,0.000260267823224894,-0.000152101906100773,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_230110,10,230110,20,0.02,128,0.00010816591712412,0.00083926163880236,-0.00073109572167824,0,0,0,0,1
nominal,all,Nominal physics,Weighted linear hybrid,nominal_seed_230110,10,230110,20,0.02,128,0.00010816591712412,0.00010816591712412,0,0,0,0,0,0
