Fixture,Partition,Policy,ExpectClean,WindowStart_s,WindowStop_s,WindowSamples,WindowTrackingRMSE_deg,WindowDisturbanceRMSE_deg,WindowPeakError_deg,WindowPeakCurrent_A,WindowCurrentSquared_A2s,WindowVoltageSquared_V2s,WindowCommandVariation_V,FullTrackingRMSE_deg,FullPeakCurrent_A,FinalTrackingError_deg,AlarmSamples,FirstAlarm_s,SafeStopDuration_s,ModeTransitions,FinalMode,RecoveryConfirmed,FirstConfirmedNormal_s,ReanchorCommits,ModeCapClipped_samples,BusCapClipped_samples,CoincidentCapClipped_samples,SlewClipped_samples,AmplitudeClipped_samples,HardStop_samples,Rebased_samples,AmplitudeCorrectionMagnitude_Vs,AntiWindupCorrectionMagnitude_V,FiniteStateAndCommand,CommandBoundsPass,StoppedCommandZero,CleanFalseAlarmPass,CommitsRemainStopped,ReleaseEvidencePass,InvariantsPass
eval_short_freeze,evaluation,G100_F020,0,0.16,0.65,490,1.93886544079176,4.64077940345609,11.3416294530072,0.381592142261422,0.00550975317008631,0.0012653352346788,0.579860663768511,4.66870561984959,1.43858374414922,1.01269507982621e-06,70,0.16,0,4,0,1,0.29,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
eval_reversed_burst,evaluation,G100_F020,0,0.54,1,460,29.8716355936157,9.57990584758389,92.4247236275365,1.27316873329101,0.0552765199674028,0.238929327216471,5.03733000379659,12.659566009878,1.43858374414922,2.93647809971379e-05,90,0.56,0,4,0,1,0.71,0,0,0,0,1,0,0,4,0,0.000285777308780958,1,1,1,1,1,1,1
eval_known_positive_load,evaluation,G100_F020,0,0.27,0.8,530,0.32927592204433,0.477377528966201,0.808558934460939,0.125351211767606,0.00810446940644582,0.0120658803747141,0.0372024094797217,3.81655637196073,1.1036118762266,4.07809334535411e-07,70,0.29,0,4,0,1,0.42,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
eval_known_negative_load,evaluation,G100_F020,0,0.27,0.8,530,0.32927592204433,0.477377528966201,0.808558934460939,0.125351211767606,0.00810446940644582,0.0120658803747141,0.0372024094797217,3.81655637196073,1.1036118762266,4.07809334535411e-07,70,0.29,0,4,0,1,0.42,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
eval_unknown_load_freeze,evaluation,G100_F020,0,0.16,0.75,590,4.30592919029924,5.68597468895621,8.22886185876521,0.241015035310258,0.00230235803150726,0.00055499757361563,0.390520875601273,17.6634351171446,0.974801893046165,30.5948168563758,2841,0.16,2.59,3,4,0,NaN,0,0,0,0,0,0,2591,2593,0,0,1,1,1,1,1,1,1
eval_model_mismatch_burst,evaluation,G100_F020,0,0.3,0.85,550,5.28286393523156,0.569306436639023,9.66850110958039,0.0331349619462209,2.34395671677783e-05,0.0003400891021091,0.0710999288168588,4.16687463729916,0.929377772726065,1.04874878793446e-05,185,0.12,0,6,0,1,0.449,0,0,0,0,0,0,0,6,0,0,1,1,1,1,1,1,1
eval_permitted_delay_jitter,evaluation,G100_F020,1,0.7,1.3,600,14.4750620405894,0,60.3756441578534,1.91784824534799,0.0563864144216275,0.170610588794306,5.76407075452723,7.30076664483665,1.91784824534799,0.000540841623632586,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
eval_benign_noise_reversal,evaluation,G100_F020,1,1.4,1.9,500,22.9265730566966,0,90.0373577853373,2.87721347009691,0.130595566509034,0.407805246654236,8.99389649346196,10.5558346704871,2.87721347009691,0.00532082257197138,27,1.427,0,4,0,1,1.514,0,0,0,0,0,0,0,4,0,0,1,1,1,0,1,1,0
eval_opposite_capped_reversal,evaluation,G100_F020,0,0.27,0.9,630,62.4845751595384,22.0034923047272,119.035958411117,0.387911678815268,0.00308803248024276,0.0506033398768887,1.03418244958212,29.4923731716484,1.43490257325931,9.79843162199694e-05,90,0.29,0,4,0,1,0.44,0,75,0,14,63,89,0,4,0.01880321705246,3.19063958069654,1,1,1,1,1,1,1
eval_independent_reference_recovery,evaluation,G100_F020,0,2,2.4,400,1.15194969044823,1.15233478605538,1.68008971157009,0.00208504837996234,2.31278781043642e-07,9.33103910595893e-06,0.00973184269491689,3.43742899747065,0.959055829432812,0.0178837070796573,851,0.65,1.1,5,0,1,2.05,1,0,0,0,0,0,1100,1104,0,0,1,1,1,1,1,1,1
