regime,eventGroup,modelName,baseline,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,modelTruthRMSE,baselineTruthRMSE,truthRMSEDelta,modelNonfiniteForecastCount,baselineNonfiniteForecastCount,pairFailed,bothFailed,modelWins
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130109,9,130109,1,0.001,26,0.000134038437891178,0.000165622633992692,-3.15841961015137e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130109,9,130109,1,0.001,26,0.000134038437891178,0.000244097441796832,-0.000110059003905654,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130110,10,130110,1,0.001,41,0.000141940489853361,0.000174385977510756,-3.24454876573943e-05,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130110,10,130110,1,0.001,41,0.000141940489853361,0.000237432517317375,-9.54920274640133e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130101,1,130101,1,0.001,88,0.000119790221765131,0.000180921183069515,-6.11309613043839e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130101,1,130101,1,0.001,88,0.000119790221765131,0.000237077646811114,-0.000117287425045983,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130102,2,130102,1,0.001,83,0.000135308142318115,0.000184361949350036,-4.90538070319216e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130102,2,130102,1,0.001,83,0.000135308142318115,0.000265660558889084,-0.000130352416570969,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130103,3,130103,1,0.001,93,0.000126747386935444,0.000149675824981273,-2.29284380458283e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130103,3,130103,1,0.001,93,0.000126747386935444,0.000252599834587158,-0.000125852447651714,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130104,4,130104,1,0.001,88,0.000113440367750479,0.000173171028562462,-5.97306608119829e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130104,4,130104,1,0.001,88,0.000113440367750479,0.000247393844306841,-0.000133953476556362,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130105,5,130105,1,0.001,92,0.000127185153912743,0.000192548976570315,-6.53638226575721e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130105,5,130105,1,0.001,92,0.000127185153912743,0.000270729899932557,-0.000143544746019814,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130106,6,130106,1,0.001,88,0.000121063520362831,0.00016929931958248,-4.82357992196485e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130106,6,130106,1,0.001,88,0.000121063520362831,0.000242621901329726,-0.000121558380966894,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130107,7,130107,1,0.001,88,0.000121651871463277,0.000187084695515263,-6.5432824051986e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130107,7,130107,1,0.001,88,0.000121651871463277,0.000249075970725997,-0.00012742409926272,0,0,0,0,1
