PeakDM_V,PeakCM_V,PeakGround_V,AbsAreaDM_Vs,AbsAreaCM_Vs,NoiseExposure_s,ReceiverBand_s,NoiseCrossings,ReceiverCrossings,Grazing,MinimumTotalDifferential_V,MaximumTotalDifferential_V,MaximumTotalCommonMode_V,CommonModeLimitExceeded,Case,Level,MaxStep_s,RelativeTolerance,AbsoluteTolerance,Runtime_s,NativeSamples,ReferenceSamples,ReferenceDMError_V,ReferenceCMError_V,ReferenceGroundError_V,ReferenceCurrentError_A,ReferencePassed,AllFinite,WarningCount,StopEvent
0,0,4.44089209850063e-16,0,0,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,baseline,1,1e-09,1e-05,1e-09,10.6003456,5008,5008,0,0,4.44089209850063e-16,2.28224557308199e-17,1,1,0,ReachedStopTime
0,0,0,0,0,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,baseline,2,5e-10,1e-05,1e-09,1.6093128,10008,10008,0,0,0,1.34441069388203e-17,1,1,0,ReachedStopTime
0,0,0,0,0,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,baseline,3,2.5e-10,1e-05,1e-09,1.6885292,20009,20009,0,0,0,1.2414114874959e-17,1,1,0,ReachedStopTime
0.00719363311670218,0.113311661804799,0.0197429432749443,2.29015500098829e-10,1.13311668360192e-08,0,0,0,0,0,1.07872385408383,1.09206868010408,2.63064175947738,0,capacitive_rise,1,1e-09,1e-05,1e-09,0.996124,5248,5248,1.33094571430625e-06,9.69900705882765e-06,3.65234495713906e-06,4.3501031962549e-07,1,1,0,ReachedStopTime
0.00719371754234288,0.113311661779408,0.0197429259656081,2.2901578416536e-10,1.13311668445265e-08,0,0,0,0,0,1.07872376965819,1.09206864789792,2.63064175945199,0,capacitive_rise,2,5e-10,1e-05,1e-09,1.450172,10226,10226,1.33791905332359e-06,9.74367459427583e-06,3.66446231403472e-06,4.36222107747213e-07,1,1,0,ReachedStopTime
0.00719365146277262,0.113311661770523,0.0197429063596712,2.29005255404522e-10,1.13311668209533e-08,0,0,0,0,0,1.07872383573776,1.09206958572614,2.6306417594431,0,capacitive_rise,3,2.5e-10,1e-05,1e-09,1.2935709,20202,20202,1.30194866354572e-06,9.71045871400733e-06,3.48009831796503e-06,4.5493646124513e-07,1,1,0,ReachedStopTime
0.0299807476264005,0.277072985530052,0.27885,4.98236174869818e-09,5.54145971072086e-08,0,0,0,0,0,1.08012392256505,1.11589823482693,2.79440308320263,0,inductive_rise,1,1e-09,1e-05,1e-09,1.0157487,5792,5792,3.06834866492522e-06,2.09861836926173e-05,1.05345616336905e-05,9.17666324039799e-07,1,1,0,ReachedStopTime
0.0299795476893703,0.277072985530052,0.27885,4.98236180191362e-09,5.5414597107125e-08,0,0,0,0,0,1.08012515515046,1.1158970348899,2.79440308320263,0,inductive_rise,2,5e-10,1e-05,1e-09,1.0111336,10258,10258,2.70422606041265e-06,1.90052759285742e-05,1.05354964636817e-05,8.93746811611866e-07,1,1,0,ReachedStopTime
0.0299802235139923,0.277072985530052,0.27885,4.98236045222647e-09,5.54145971074895e-08,0,0,0,0,0,1.08012445782843,1.11589771071453,2.79440308320263,0,inductive_rise,3,2.5e-10,1e-05,1e-09,1.4461757,21807,21807,2.69409086861572e-06,1.8882325230507e-05,1.05304786837124e-05,8.83284157689158e-07,1,1,0,ReachedStopTime
0.0171188060927681,0.372315961628857,0.374996186203852,7.74356826066303e-10,3.50938442455487e-07,0,0,0,0,0,1.06879868110776,1.10290441621252,2.88964605930144,0,shared_rise,1,1e-09,1e-05,1e-09,0.9748928,5592,5592,3.57873889322846e-06,2.70155843322684e-05,1.70068884677299e-05,1.20903414346785e-06,1,1,0,ReachedStopTime
0.0171130764575427,0.372315855159163,0.374996205411172,7.74351207223101e-10,3.50938442455494e-07,0,0,0,0,0,1.06880441074299,1.10290348198732,2.88964595283174,0,shared_rise,2,5e-10,1e-05,1e-09,0.9912215,10325,10325,3.24739422108422e-06,2.41336614132948e-05,1.62723202499215e-05,1.08944418646117e-06,1,1,0,ReachedStopTime
0.0171228994871355,0.372315982758297,0.374996191092997,7.74350219778718e-10,3.50938442455361e-07,0,0,0,0,0,1.0687945877134,1.10290156717235,2.88964608043088,0,shared_rise,3,2.5e-10,1e-05,1e-09,1.2978113,21517,21517,2.68899725064387e-06,2.06048785482693e-05,1.48655133336284e-05,9.74305275930343e-07,1,1,0,ReachedStopTime
0.0517318477660647,0.725338507408872,0.653845179005081,5.59117835505353e-09,4.17684210229212e-07,0,0,0,0,0,1.06382514129135,1.1376493349666,3.24266860508145,0,combined_rise,1,1e-09,1e-05,1e-09,1.036739,5897,5897,6.72875499985182e-06,4.91634936841123e-05,3.72710877605265e-05,2.27595269386427e-06,1,1,0,ReachedStopTime
0.0517357804715521,0.725338507253796,0.653847284620035,5.59118209950598e-09,4.17684209765017e-07,0,0,0,0,0,1.0638213355913,1.13765326767209,3.24266860492638,0,combined_rise,2,5e-10,1e-05,1e-09,1.0792983,11055,11055,6.6462028858183e-06,4.83346330444334e-05,3.44220082246771e-05,2.23960843559468e-06,1,1,0,ReachedStopTime
0.0517339213879393,0.725338507206717,0.653845166285457,5.59118648710382e-09,4.17684209078413e-07,0,0,0,0,0,1.06382402704413,1.13765140858847,3.2426686048793,0,combined_rise,3,2.5e-10,1e-05,1e-09,1.1979086,22222,22222,5.87299316867629e-06,4.33629797034207e-05,3.1118569294275e-05,2.03890580027788e-06,1,1,0,ReachedStopTime
0.0517343799235193,0.725338507408066,0.653845259314458,5.59118353052287e-09,4.17684210064808e-07,0,0,0,0,0,1.03418310727701,1.10800762390499,2.51733009767258,0,combined_fall,1,1e-09,1e-05,1e-09,0.7172937,5809,5809,6.70748243236652e-06,4.90625372191467e-05,3.79407444648372e-05,2.26200178785052e-06,1,1,0,ReachedStopTime
0.0517365466912592,0.725338507253834,0.653845182401092,5.59117947029212e-09,4.17684209843492e-07,0,0,0,0,0,1.03418094050927,1.10800936660646,2.51733009767258,0,combined_fall,2,5e-10,1e-05,1e-09,0.8226507,11106,11106,6.45414777955544e-06,4.71221969320368e-05,3.48202043363166e-05,2.16757492980946e-06,1,1,0,ReachedStopTime
0.0517358021193541,0.725338507206364,0.653845274695065,5.59118006947138e-09,4.17684210347748e-07,0,0,0,0,0,1.03418168508118,1.10801117527183,2.51733009767258,0,combined_fall,3,2.5e-10,1e-05,1e-09,0.8666743,21891,21891,6.06567320882156e-06,4.45948242246974e-05,3.21495101638369e-05,2.07638082709571e-06,1,1,0,ReachedStopTime
