Time_s,DifferentialDisturbance_V,NativeDifferential_V,ReferenceDifferential_V,ReferenceError_V
0,0,1.08591748720053,1.08591748720053,0
1e-09,0,1.08591748720053,1.08591748720053,0
2e-09,0,1.08591748720053,1.08591748720053,0
3e-09,0,1.08591748720053,1.08591748720053,0
4e-09,0,1.08591748720053,1.08591748720053,0
5e-09,0,1.08591748720053,1.08591748720053,0
6e-09,0,1.08591748720053,1.08591748720053,0
7e-09,0,1.08591748720053,1.08591748720053,0
8e-09,0,1.08591748720053,1.08591748720053,0
9e-09,0,1.08591748720053,1.08591748720053,0
1e-08,0,1.08591748720053,1.08591748720053,0
1.1e-08,0,1.08591748720053,1.08591748720053,0
1.2e-08,0,1.08591748720053,1.08591748720053,0
1.3e-08,0,1.08591748720053,1.08591748720053,0
1.4e-08,0,1.08591748720053,1.08591748720053,0
1.5e-08,0,1.08591748720053,1.08591748720053,0
1.6e-08,0,1.08591748720053,1.08591748720053,0
1.7e-08,0,1.08591748720053,1.08591748720053,0
1.8e-08,0,1.08591748720053,1.08591748720053,0
1.9e-08,0,1.08591748720053,1.08591748720053,0
2e-08,0,1.08591748720053,1.08591748720053,0
2.1e-08,0,1.08591748720053,1.08591748720053,0
2.2e-08,0,1.08591748720053,1.08591748720053,0
2.3e-08,0,1.08591748720053,1.08591748720053,0
2.4e-08,0,1.08591748720053,1.08591748720053,0
2.5e-08,0,1.08591748720053,1.08591748720053,0
2.6e-08,0,1.08591748720053,1.08591748720053,0
2.7e-08,0,1.08591748720053,1.08591748720053,0
2.8e-08,0,1.08591748720053,1.08591748720053,0
2.9e-08,0,1.08591748720053,1.08591748720053,0
3e-08,0,1.08591748720053,1.08591748720053,0
3.1e-08,0,1.08591748720053,1.08591748720053,0
3.2e-08,0,1.08591748720053,1.08591748720053,0
3.3e-08,0,1.08591748720053,1.08591748720053,0
3.4e-08,0,1.08591748720053,1.08591748720053,0
3.5e-08,0,1.08591748720053,1.08591748720053,0
3.6e-08,0,1.08591748720053,1.08591748720053,0
3.7e-08,0,1.08591748720053,1.08591748720053,0
3.8e-08,0,1.08591748720053,1.08591748720053,0
3.9e-08,0,1.08591748720053,1.08591748720053,0
