Time_s,DifferentialDisturbance_V,NativeDifferential_V,ReferenceDifferential_V,ReferenceError_V
0,0,1.08591748720053,1.08591748720053,0
2.5e-10,0,1.08591748720053,1.08591748720053,0
5e-10,0,1.08591748720053,1.08591748720053,0
7.5e-10,0,1.08591748720053,1.08591748720053,0
1e-09,0,1.08591748720053,1.08591748720053,0
1.25e-09,0,1.08591748720053,1.08591748720053,0
1.5e-09,0,1.08591748720053,1.08591748720053,0
1.75e-09,0,1.08591748720053,1.08591748720053,0
2e-09,0,1.08591748720053,1.08591748720053,0
2.25e-09,0,1.08591748720053,1.08591748720053,0
2.5e-09,0,1.08591748720053,1.08591748720053,0
2.75e-09,0,1.08591748720053,1.08591748720053,0
3e-09,0,1.08591748720053,1.08591748720053,0
3.25e-09,0,1.08591748720053,1.08591748720053,0
3.5e-09,0,1.08591748720053,1.08591748720053,0
3.75e-09,0,1.08591748720053,1.08591748720053,0
4e-09,0,1.08591748720053,1.08591748720053,0
4.25e-09,0,1.08591748720053,1.08591748720053,0
4.5e-09,0,1.08591748720053,1.08591748720053,0
4.75e-09,0,1.08591748720053,1.08591748720053,0
5e-09,0,1.08591748720053,1.08591748720053,0
5.25e-09,0,1.08591748720053,1.08591748720053,0
5.5e-09,0,1.08591748720053,1.08591748720053,0
5.75e-09,0,1.08591748720053,1.08591748720053,0
6e-09,0,1.08591748720053,1.08591748720053,0
6.25e-09,0,1.08591748720053,1.08591748720053,0
6.5e-09,0,1.08591748720053,1.08591748720053,0
6.75e-09,0,1.08591748720053,1.08591748720053,0
7e-09,0,1.08591748720053,1.08591748720053,0
7.25e-09,0,1.08591748720053,1.08591748720053,0
7.5e-09,0,1.08591748720053,1.08591748720053,0
7.75e-09,0,1.08591748720053,1.08591748720053,0
8e-09,0,1.08591748720053,1.08591748720053,0
8.25e-09,0,1.08591748720053,1.08591748720053,0
8.5e-09,0,1.08591748720053,1.08591748720053,0
8.75e-09,0,1.08591748720053,1.08591748720053,0
9e-09,0,1.08591748720053,1.08591748720053,0
9.25e-09,0,1.08591748720053,1.08591748720053,0
9.5e-09,0,1.08591748720053,1.08591748720053,0
9.75e-09,0,1.08591748720053,1.08591748720053,0
1e-08,0,1.08591748720053,1.08591748720053,0
1.025e-08,0,1.08591748720053,1.08591748720053,0
1.05e-08,0,1.08591748720053,1.08591748720053,0
1.075e-08,0,1.08591748720053,1.08591748720053,0
1.1e-08,0,1.08591748720053,1.08591748720053,0
1.125e-08,0,1.08591748720053,1.08591748720053,0
1.15e-08,0,1.08591748720053,1.08591748720053,0
1.175e-08,0,1.08591748720053,1.08591748720053,0
1.2e-08,0,1.08591748720053,1.08591748720053,0
1.225e-08,0,1.08591748720053,1.08591748720053,0
1.25e-08,0,1.08591748720053,1.08591748720053,0
1.275e-08,0,1.08591748720053,1.08591748720053,0
1.3e-08,0,1.08591748720053,1.08591748720053,0
1.325e-08,0,1.08591748720053,1.08591748720053,0
1.35e-08,0,1.08591748720053,1.08591748720053,0
1.375e-08,0,1.08591748720053,1.08591748720053,0
1.4e-08,0,1.08591748720053,1.08591748720053,0
1.425e-08,0,1.08591748720053,1.08591748720053,0
1.45e-08,0,1.08591748720053,1.08591748720053,0
1.475e-08,0,1.08591748720053,1.08591748720053,0
1.5e-08,0,1.08591748720053,1.08591748720053,0
1.525e-08,0,1.08591748720053,1.08591748720053,0
1.55e-08,0,1.08591748720053,1.08591748720053,0
1.575e-08,0,1.08591748720053,1.08591748720053,0
1.6e-08,0,1.08591748720053,1.08591748720053,0
1.625e-08,0,1.08591748720053,1.08591748720053,0
1.65e-08,0,1.08591748720053,1.08591748720053,0
1.675e-08,0,1.08591748720053,1.08591748720053,0
1.7e-08,0,1.08591748720053,1.08591748720053,0
1.725e-08,0,1.08591748720053,1.08591748720053,0
1.75e-08,0,1.08591748720053,1.08591748720053,0
1.775e-08,0,1.08591748720053,1.08591748720053,0
1.8e-08,0,1.08591748720053,1.08591748720053,0
1.825e-08,0,1.08591748720053,1.08591748720053,0
1.85e-08,0,1.08591748720053,1.08591748720053,0
1.875e-08,0,1.08591748720053,1.08591748720053,0
1.9e-08,0,1.08591748720053,1.08591748720053,0
1.925e-08,0,1.08591748720053,1.08591748720053,0
1.95e-08,0,1.08591748720053,1.08591748720053,0
1.975e-08,0,1.08591748720053,1.08591748720053,0
2e-08,0,1.08591748720053,1.08591748720053,0
2.025e-08,0,1.08591748720053,1.08591748720053,0
2.05e-08,0,1.08591748720053,1.08591748720053,0
2.075e-08,0,1.08591748720053,1.08591748720053,0
2.1e-08,0,1.08591748720053,1.08591748720053,0
2.125e-08,0,1.08591748720053,1.08591748720053,0
2.15e-08,0,1.08591748720053,1.08591748720053,0
2.175e-08,0,1.08591748720053,1.08591748720053,0
2.2e-08,0,1.08591748720053,1.08591748720053,0
2.225e-08,0,1.08591748720053,1.08591748720053,0
2.25e-08,0,1.08591748720053,1.08591748720053,0
2.275e-08,0,1.08591748720053,1.08591748720053,0
2.3e-08,0,1.08591748720053,1.08591748720053,0
2.325e-08,0,1.08591748720053,1.08591748720053,0
2.35e-08,0,1.08591748720053,1.08591748720053,0
2.375e-08,0,1.08591748720053,1.08591748720053,0
2.4e-08,0,1.08591748720053,1.08591748720053,0
2.425e-08,0,1.08591748720053,1.08591748720053,0
2.45e-08,0,1.08591748720053,1.08591748720053,0
2.475e-08,0,1.08591748720053,1.08591748720053,0
2.5e-08,0,1.08591748720053,1.08591748720053,0
2.525e-08,0,1.08591748720053,1.08591748720053,0
2.55e-08,0,1.08591748720053,1.08591748720053,0
2.575e-08,0,1.08591748720053,1.08591748720053,0
2.6e-08,0,1.08591748720053,1.08591748720053,0
2.625e-08,0,1.08591748720053,1.08591748720053,0
2.65e-08,0,1.08591748720053,1.08591748720053,0
2.675e-08,0,1.08591748720053,1.08591748720053,0
2.7e-08,0,1.08591748720053,1.08591748720053,0
2.725e-08,0,1.08591748720053,1.08591748720053,0
2.75e-08,0,1.08591748720053,1.08591748720053,0
2.775e-08,0,1.08591748720053,1.08591748720053,0
2.8e-08,0,1.08591748720053,1.08591748720053,0
2.825e-08,0,1.08591748720053,1.08591748720053,0
2.85e-08,0,1.08591748720053,1.08591748720053,0
2.875e-08,0,1.08591748720053,1.08591748720053,0
2.9e-08,0,1.08591748720053,1.08591748720053,0
2.925e-08,0,1.08591748720053,1.08591748720053,0
2.95e-08,0,1.08591748720053,1.08591748720053,0
2.975e-08,0,1.08591748720053,1.08591748720053,0
3e-08,0,1.08591748720053,1.08591748720053,0
3.02499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.04999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.07499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.09999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.12499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.14999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.17499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.19999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.22499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.24999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.27499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.29999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.32499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.34999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.37499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.39999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.42499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.44999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.47499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.49999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.52499999999999e-08,0,1.08591748720053,1.08591748720053,0
3.54999999999999e-08,0,1.08591748720053,1.08591748720053,0
3.57499999999999e-08,0,1.08591748720053,1.08591748720053,0
