time_s,positive_V,negative_V,differential_V,commonMode_V,ground_V,returnCurrent_A,deltaDifferential_V,deltaCommonMode_V
0,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830773,2.88657986402541e-15,3.99680288865056e-15
2.5e-10,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.00040474745183077,2.88657986402541e-15,3.99680288865056e-15
5e-10,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830768,2.88657986402541e-15,3.99680288865056e-15
7.5e-10,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
1e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
1.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
1.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830768,2.88657986402541e-15,3.99680288865056e-15
1.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830768,2.88657986402541e-15,3.99680288865056e-15
2e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830768,2.88657986402541e-15,3.99680288865056e-15
2.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830767,2.88657986402541e-15,3.99680288865056e-15
2.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
2.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
3e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830767,2.88657986402541e-15,3.99680288865056e-15
3.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830767,2.88657986402541e-15,3.99680288865056e-15
3.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830767,2.88657986402541e-15,3.99680288865056e-15
3.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830767,2.88657986402541e-15,3.99680288865056e-15
4e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
4.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830767,2.88657986402541e-15,3.99680288865056e-15
4.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
4.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
5.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
5.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
5.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
6e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
6.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
6.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.00040474745183077,2.88657986402541e-15,3.99680288865056e-15
6.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.00040474745183077,2.88657986402541e-15,3.99680288865056e-15
7e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.00040474745183077,2.88657986402541e-15,3.99680288865056e-15
7.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.00040474745183077,2.88657986402541e-15,3.99680288865056e-15
7.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.00040474745183077,2.88657986402541e-15,3.99680288865056e-15
7.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
8e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830768,2.88657986402541e-15,3.99680288865056e-15
8.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830769,2.88657986402541e-15,3.99680288865056e-15
8.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862955238e-05,-0.000404747451830768,2.88657986402541e-15,3.99680288865056e-15
8.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
9e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830765,2.88657986402541e-15,3.99680288865056e-15
9.25e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830765,2.88657986402541e-15,3.99680288865056e-15
9.5e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830765,2.88657986402541e-15,3.99680288865056e-15
9.75e-09,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.025e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.05e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.075e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.1e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.125e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.15e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.175e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
1.2e-08,3.06028884127285,1.97437135407232,1.08591748720054,2.51733009767258,-1.01186862959679e-05,-0.000404747451830766,2.88657986402541e-15,3.99680288865056e-15
