time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
1.134,0.523598775598299,0.525475895661153,0.525475895661153,-0.01025408788297,8.97519141236673e-05,-0.00187712006285468,0,-0.000711709390049388,-0.000711709390049388,0,0,0,0,0
1.135,0.523598775598299,0.525465668912608,0.525465668912608,-0.0101994572060495,8.92925514527355e-05,-0.00186689331430934,0,-0.000707895141864716,-0.000707895141864716,0,0,0,0,0
1.136,0.523598775598299,0.525455496654089,0.525455496654089,-0.0101451075910331,8.88354689157825e-05,-0.00185672105579016,0,-0.000704100623071004,-0.000704100623071004,0,0,0,0,0
1.137,0.523598775598299,0.525445378605235,0.525445378605235,-0.0100910376367222,8.83806534342893e-05,-0.00184660300693662,0,-0.000700325737340008,-0.000700325737340008,0,0,0,0,0
1.138,0.523598775598299,0.525435314487084,0.525435314487084,-0.0100372459498115,8.792809201482e-05,-0.00183653888878521,0,-0.000696570388858181,-0.000696570388858181,0,0,0,0,0
1.139,0.523598775598299,0.525425304022061,0.525425304022061,-0.0099837311448374,8.74777717529767e-05,-0.00182652842376207,0,-0.000692834482320461,-0.000692834482320461,0,0,0,0,0
1.14,0.523598775598299,0.525415346933973,0.525415346933973,-0.00993049184412423,8.70296798364775e-05,-0.00181657133567459,0,-0.000689117922921093,-0.000689117922921093,0,0,0,0,0
1.141,0.523598775598299,0.525405442948003,0.525405442948003,-0.00987752667772878,8.65838035485894e-05,-0.00180666734970414,0,-0.000685420616347825,-0.000685420616347825,0,0,0,0,0
1.142,0.523598775598299,0.525395591790697,0.525395591790697,-0.00982483428338346,8.61401302706671e-05,-0.00179681619239824,0,-0.000681742468774321,-0.000681742468774321,0,0,0,0,0
1.143,0.523598775598299,0.525385793189962,0.525385793189962,-0.00977241330643812,8.56986474846696e-05,-0.00178701759166278,0,-0.000678083386852934,-0.000678083386852934,0,0,0,0,0
1.144,0.523598775598299,0.525376046875053,0.525376046875053,-0.00972026239980053,8.52593427755177e-05,-0.00177727127675464,0,-0.000674443277708699,-0.000674443277708699,0,0,0,0,0
1.145,0.523598775598299,0.525366352576573,0.525366352576573,-0.00966838022387584,8.48222038329315e-05,-0.0017675769782739,0,-0.000670822048931874,-0.000670822048931874,0,0,0,0,0
