time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
0.224,0.523598775598299,0.556104299701708,0.556104299701708,0.545560444332978,-0.0436927173645881,-0.0325055241034089,0,-0.00262342808503391,-0.00262342808503391,0,0,0,0,0
0.225,0.523598775598299,0.556638239828397,0.556638239828397,0.522524530394696,-0.0414162141842178,-0.0330394642300981,0,-0.00193424475955942,-0.00193424475955942,0,0,0,0,0
0.226,0.523598775598299,0.557149751535401,0.557149751535401,0.500696347009665,-0.0392198286898471,-0.0335509759371021,0,-0.00124352979365411,-0.00124352979365411,0,0,0,0,0
0.227,0.523598775598299,0.55764002085236,0.55764002085236,0.480032580552615,-0.0371026305288252,-0.0340412452540612,0,-0.000553355576565995,-0.000553355576565995,0,0,0,0,0
0.228,0.523598775598299,0.558110190766163,0.558110190766163,0.460490466187942,-0.0350636090212093,-0.0345114151678637,0,0.000134328590022936,0.000134328590022936,0,0,0,0,0
0.229,0.523598775598299,0.558561361790397,0.558561361790397,0.442027828651971,-0.0331016791928732,-0.0349625861920984,0,0.000817693010391057,0.000817693010391057,0,0,0,0,0
0.23,0.523598775598299,0.55899459257398,0.55899459257398,0.424603119844929,-0.0312156876071893,-0.0353958169756816,0,0.00149502410100469,0.00149502410100469,0,0,0,0,0
0.231,0.523598775598299,0.559410900545828,0.559410900545828,0.408175453341968,-0.0294044179963584,-0.0358121249475294,0,0.00216472089111645,0.00216472089111645,0,0,0,0,0
0.232,0.523598775598299,0.559811262592543,0.559811262592543,0.392704635931899,-0.0276665966937458,-0.0362124869942441,0,0.00282529152393955,0.00282529152393955,0,0,0,0,0
0.233,0.523598775598299,0.560196615766198,0.560196615766198,0.378151196291374,-0.026000897868841,-0.0365978401678988,0,0.00347534976426202,0.00347534976426202,0,0,0,0,0
0.234,0.523598775598299,0.560567858019407,0.560567858019407,0.364476410901297,-0.0244059485667044,-0.0369690824211085,0,0.00411361151803526,0.00411361151803526,0,0,0,0,0
0.235,0.523598775598299,0.560925848964982,0.560925848964982,0.35164232731106,-0.0228803335539948,-0.0373270733666827,0,0.0047388913691517,0.0047388913691517,0,0,0,0,0
0.236,0.523598775598299,0.561271410657558,0.561271410657558,0.339611784855007,-0.0214225999738828,-0.0376726350592592,0,0.0053500991383184,0.0053500991383184,0,0,0,0,0
0.237,0.523598775598299,0.561605328394724,0.561605328394724,0.328348432924123,-0.0200312618123517,-0.0380065527964247,0,0.00594623646862101,0.00594623646862101,0,0,0,0,0
0.238,0.523598775598299,0.561928351535224,0.561928351535224,0.317816746894515,-0.0187048041785746,-0.0383295759369253,0,0.0065263934420938,0.0065263934420938,0,0,0,0,0
0.239,0.523598775598299,0.562241194331976,0.562241194331976,0.307982041812692,-0.0174416874022185,-0.0386424187336776,0,0.00708974523130479,0.00708974523130479,0,0,0,0,0
0.24,0.523598775598299,0.562544536777682,0.562544536777682,0.298810483936022,-0.0162403509506849,-0.0389457611793829,0,0.00763554878971055,0.00763554878971055,0,0,0,0,0
0.241,0.523598775598299,0.56283902546095,0.56283902546095,0.290269100225021,-0.0150992171694359,-0.0392402498626508,0,0.008163139584249,0.008163139584249,0,0,0,0,0
0.242,0.523598775598299,0.563125274430929,0.563125274430929,0.28232578588236,-0.0140166948486812,-0.0395264988326306,0,0.00867192837338893,0.00867192837338893,0,0,0,0,0
0.243,0.523598775598299,0.563403866068542,0.563403866068542,0.274949310031621,-0.0129911826198195,-0.0398050904702428,0,0.00916139803360135,0.00916139803360135,0,0,0,0,0
0.244,0.523598775598299,0.563675351962498,0.563675351962498,0.268109319626928,-0.0120210721851283,-0.0400765763641991,0,0.00963110043697345,0.00963110043697345,0,0,0,0,0
0.245,0.523598775598299,0.563940253788382,0.563940253788382,0.261776341682642,-0.0111047513842906,-0.0403414781900828,0,0.0100806533824573,0.0100806533824573,0,0,0,0,0
0.246,0.523598775598299,0.564199064189156,0.564199064189156,0.255921783910281,-0.0102406071014255,-0.0406002885908571,0,0.010509737583011,0.010509737583011,0,0,0,0,0
0.247,0.523598775598299,0.564452247655547,0.564452247655547,0.250517933847827,-0.00942702801636246,-0.0408534720572482,0,0.0109180937106862,0.0109180937106862,0,0,0,0,0
0.248,0.523598775598299,0.564700241404838,0.564700241404838,0.245537956564471,-0.00866240720395735,-0.0411014658065393,0,0.0113055195014942,0.0113055195014942,0,0,0,0,0
0.249,0.523598775598299,0.564943456256689,0.564943456256689,0.240955891021789,-0.00794514458529826,-0.0413446806583906,0,0.0116718669216901,0.0116718669216901,0,0,0,0,0
0.25,0.523598775598299,0.565182277504681,0.565182277504681,0.236746645170185,-0.00727364923469377,-0.0415835019063819,0,0.0120170393969204,0.0120170393969204,0,0,0,0,0
0.251,0.523598775598299,0.56541706578235,0.56541706578235,0.232885989857328,-0.00664634154636476,-0.0418182901840509,0,0.0123409891054957,0.0123409891054957,0,0,0,0,0
0.252,0.523598775598299,0.565648157922577,0.565648157922577,0.229350551623132,-0.00606165526478733,-0.0420493823242778,0,0.0126437143368691,0.0126437143368691,0,0,0,0,0
0.253,0.523598775598299,0.565875867809236,0.565875867809236,0.226117804453685,-0.00551803938265054,-0.0422770922109377,0,0.0129252569162413,0.0129252569162413,0,0,0,0,0
0.254,0.523598775598299,0.566100487220115,0.566100487220115,0.223166060564357,-0.00501395991039965,-0.0425017116218163,0,0.0131856996960428,0.0131856996960428,0,0,0,0,0
0.255,0.523598775598299,0.56632228666015,0.56632228666015,0.220474460280156,-0.0045479015213387,-0.0427235110618511,0,0.0134251641148966,0.0134251641148966,0,0,0,0,0
0.256,0.523598775598299,0.566541516184129,0.566541516184129,0.218022961079219,-0.00411836907625957,-0.0429427405858304,0,0.013643807824513,0.013643807824513,0,0,0,0,0
0.257,0.523598775598299,0.566758406208041,0.566758406208041,0.215792325863192,-0.00372388903155425,-0.0431596306097422,0,0.0138418223848347,0.0138418223848347,0,0,0,0,0
0.258,0.523598775598299,0.566973168308333,0.566973168308333,0.213764110516083,-0.00336301073474765,-0.0433743927100344,0,0.0140194310276138,0.0140194310276138,0,0,0,0,0
0.259,0.523598775598299,0.567185996008401,0.567185996008401,0.21192065081104,-0.00303430761136609,-0.043587220410102,0,0.0141768864884792,0.0141768864884792,0,0,0,0,0
0.26,0.523598775598299,0.567397065551678,0.567397065551678,0.210245048722391,-0.00273637824702683,-0.0437982899533792,0,0.0143144689074311,0.0143144689074311,0,0,0,0,0
0.261,0.523598775598299,0.567606536660768,0.567606536660768,0.208721158198174,-0.00246784736860126,-0.0440077610624694,0,0.0144324837975943,0.0144324837975943,0,0,0,0,0
0.262,0.523598775598299,0.567814553282099,0.567814553282099,0.207333570446299,-0.00222736672826443,-0.0442157776838003,0,0.0145312600819464,0.0145312600819464,0,0,0,0,0
0.263,0.523598775598299,0.568021244315642,0.568021244315642,0.206067598785437,-0.00201361589420241,-0.044422468717343,0,0.0146111481976466,0.0146111481976466,0,0,0,0,0
0.264,0.523598775598299,0.568226724329284,0.568226724329284,0.204909263109681,-0.00182530295170066,-0.0446279487309853,0,0.0146725182674914,0.0146725182674914,0,0,0,0,0
0.265,0.523598775598299,0.568431094257495,0.568431094257495,0.20384527401404,-0.00166116511828657,-0.0448323186591958,0,0.0147157583379383,0.0147157583379383,0,0,0,0,0
0.266,0.523598775598299,0.568634442083962,0.568634442083962,0.202863016625819,-0.00151996927654574,-0.045035666485663,0,0.0147412726830564,0.0147412726830564,0,0,0,0,0
0.267,0.523598775598299,0.568836843507936,0.568836843507936,0.201950534185023,-0.00140051242817331,-0.0452380679096375,0,0.0147494801736844,0.0147494801736844,0,0,0,0,0
0.268,0.523598775598299,0.569038362594044,0.569038362594044,0.201096511414989,-0.00130162207276278,-0.0454395869957447,0,0.0147408127110113,0.0147408127110113,0,0,0,0,0
0.269,0.523598775598299,0.56923905240538,0.56923905240538,0.200290257722588,-0.00122215651477015,-0.0456402768070812,0,0.0147157137237211,0.0147157137237211,0,0,0,0,0
0.27,0.523598775598299,0.56943895561974,0.56943895561974,0.199521690265472,-0.00116100510202766,-0.0458401800214416,0,0.0146746367277861,0.0146746367277861,0,0,0,0,0
0.271,0.523598775598299,0.569638105128859,0.569638105128859,0.198781316922059,-0.00111708839911409,-0.0460393295305604,0,0.0146180439479419,0.0146180439479419,0,0,0,0,0
0.272,0.523598775598299,0.569836524620589,0.569836524620589,0.198060219198165,-0.00108935829881702,-0.0462377490222901,0,0.0145464049998141,0.0145464049998141,0,0,0,0,0
0.273,0.523598775598299,0.570034229143966,0.570034229143966,0.197350035102468,-0.0010767980748548,-0.046435453545667,0,0.0144601956316334,0.0144601956316334,0,0,0,0,0
0.274,0.523598775598299,0.57023122565715,0.57023122565715,0.196642942021289,-0.00107842237895072,-0.0466324500588513,0,0.0143598965244216,0.0143598965244216,0,0,0,0,0
0.275,0.523598775598299,0.570427513558251,0.570427513558251,0.19593163962154,-0.00109327718527982,-0.0468287379599518,0,0.0142459921495013,0.0142459921495013,0,0,0,0,0
0.276,0.523598775598299,0.570623085199078,0.570623085199078,0.195209332809064,-0.00112043968523299,-0.0470243096007795,0,0.014118969682146,0.014118969682146,0,0,0,0,0
0.277,0.523598775598299,0.570817926381898,0.570817926381898,0.194469714768027,-0.00115901813536662,-0.0472191507835993,0,0.0139793179701472,0.0139793179701472,0,0,0,0,0
0.278,0.523598775598299,0.571012016839269,0.571012016839269,0.193706950105507,-0.0012081516613324,-0.0474132412409702,0,0.0138275265560658,0.0138275265560658,0,0,0,0,0
0.279,0.523598775598299,0.571205330697092,0.571205330697092,0.192915658123916,-0.00126701002050121,-0.0476065550987932,0,0.0136640847518982,0.0136640847518982,0,0,0,0,0
0.28,0.523598775598299,0.571397836921002,0.571397836921002,0.192090896242477,-0.00133479332591937,-0.0477990613227034,0,0.0134894807648707,0.0134894807648707,0,0,0,0,0
0.281,0.523598775598299,0.571589499746266,0.571589499746266,0.191228143587556,-0.00141073173415807,-0.0479907241479677,0,0.0133042008730639,0.0133042008730639,0,0,0,0,0
0.282,0.523598775598299,0.571780279091363,0.571780279091363,0.190323284770293,-0.00149408509953806,-0.048181503493064,0,0.0131087286495489,0.0131087286495489,0,0,0,0,0
0.283,0.523598775598299,0.571970130955438,0.571970130955438,0.189372593868686,-0.00158414259713449,-0.0483713553571397,0,0.012903544233712,0.012903544233712,0,0,0,0,0
0.284,0.523598775598299,0.572159007799858,0.572159007799858,0.18837271862996,-0.00168022231688861,-0.0485602322015596,0,0.0126891236484333,0.0126891236484333,0,0,0,0,0
0.285,0.523598775598299,0.572346858914074,0.572346858914074,0.187320664907886,-0.00178167083107613,-0.0487480833157752,0,0.0124659381617797,0.0124659381617797,0,0,0,0,0
0.286,0.523598775598299,0.57253363076605,0.57253363076605,0.186213781348459,-0.0018878627373053,-0.0489348551677513,0,0.0122344536918755,0.0122344536918755,0,0,0,0,0
0.287,0.523598775598299,0.572719267337509,0.572719267337509,0.185049744336255,-0.00199820017913985,-0.0491204917392104,0,0.0119951302536029,0.0119951302536029,0,0,0,0,0
0.288,0.523598775598299,0.572903710444255,0.572903710444255,0.183826543212644,-0.00211211234636854,-0.0493049348459563,0,0.011748421445801,0.011748421445801,0,0,0,0,0
0.289,0.523598775598299,0.573086900041857,0.573086900041857,0.182542465775986,-0.00222905495686523,-0.0494881244435579,0,0.011494773977622,0.011494773977622,0,0,0,0,0
0.29,0.523598775598299,0.573268774516975,0.573268774516975,0.181196084072916,-0.00234850972191115,-0.0496699989186761,0,0.0112346272327221,0.0112346272327221,0,0,0,0,0
0.291,0.523598775598299,0.573449270964632,0.573449270964632,0.17978624048883,-0.00246998379677586,-0.0498504953663335,0,0.0109684128699603,0.0109684128699603,0,0,0,0,0
0.292,0.523598775598299,0.573628325451723,0.573628325451723,0.178312034144746,-0.00259300921828327,-0.0500295498534244,0,0.010696554459303,0.010696554459303,0,0,0,0,0
0.293,0.523598775598299,0.573805873267079,0.573805873267079,0.176772807606811,-0.00271714233101377,-0.0502070976687801,0,0.010419467151629,0.010419467151629,0,0,0,0,0
0.294,0.523598775598299,0.573981849158399,0.573981849158399,0.175168133913857,-0.00284196320372731,-0.0503830735600997,0,0.0101375573811538,0.0101375573811538,0,0,0,0,0
0.295,0.523598775598299,0.574156187556371,0.574156187556371,0.173497803927572,-0.0029670750375198,-0.0505574119580725,0,0.00985122259919982,0.00985122259919982,0,0,0,0,0
0.296,0.523598775598299,0.574328822786309,0.574328822786309,0.171761814009075,-0.00309210356715908,-0.0507300471880101,0,0.0095608510380622,0.0095608510380622,0,0,0,0,0
0.297,0.523598775598299,0.574499689267621,0.574499689267621,0.169960354024919,-0.00321669645697813,-0.0509009136693225,0,0.00926682150372704,0.00926682150372704,0,0,0,0,0
0.298,0.523598775598299,0.574668721701463,0.574668721701463,0.168093795684823,-0.00334052269263982,-0.0510699461031643,0,0.00896950319622777,0.00896950319622777,0,0,0,0,0
0.299,0.523598775598299,0.574835855246884,0.574835855246884,0.166162681212769,-0.00346327197002158,-0.0512370796485851,0,0.00866925555644091,0.00866925555644091,0,0,0,0,0
0.3,0.523598775598299,0.575001025685819,0.575001025685819,0.164167712352429,-0.00358465408240521,-0.0514022500875198,0,0.00836642813813543,0.00836642813813543,0,0,0,0,0
0.301,0.523598775598299,0.575164169577248,0.575164169577248,0.162109739707272,-0.00370439830709858,-0.0515653939789489,0,0.0080613605041279,0.0080613605041279,0,0,0,0,0
0.302,0.523598775598299,0.575325224400868,0.575325224400868,0.159989752415143,-0.00382225279255171,-0.0517264488025692,0,0.00775438214539947,0.00775438214539947,0,0,0,0,0
