scenario,trackingRMSE_rad,maximumTrackingError_rad,measurementRMSE_rad,maximumMeasurementError_rad,peakVoltageCommand_V,saturatedSampleCount,faultedSampleCount,dropoutSampleCount,finalTrackingError_rad
none,0.0830427516336475,0.523598775598299,0,0,1.4072926446309,0,0,0,-0.00024790272404962
gaussian,0.083053742409911,0.523598775598299,0.00345483324534112,0.012872973604146,1.4072926446309,0,1000,0,-0.000260066162056538
sinusoidal,0.0830341193786591,0.523598775598299,0.00637091805840857,0.0174188524339808,1.4072926446309,0,400,0,-0.000246307481658881
count_jump,0.0829696893931681,0.523598775598299,0.0050680342816701,0.196349540849362,1.4072926446309,0,1,0,-0.000251440088177568
dropout,0.0827290060808403,0.523598775598299,0.00718759469130756,0.0461046298578821,1.4072926446309,0,150,150,-0.000361131705958639
