time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad,delta_command_V,delta_received_measurement_rad,pre_window_active,analysis_window_active,post_window_active,configured_fault_window_active
0.937,0.523598775598299,0.52731784056879,-0.0371635201861778,0.00082873518390474,0.529063169820784,0.529063169820784,-0.00546439422248524,-0.00200860388769517,-0.00200860388769517,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,938,0,0,0,0,0,0,-0.0016856921141537,-1.80293196976235e-05,5.96371378406291e-05,0,1,0,1
0.938,0.523598775598299,0.527280909129204,-0.0367008291035487,0.000812836584946704,0.529026238381199,0.529026238381199,-0.00542746278289974,-0.00199118534808406,-0.00199118534808406,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,939,0,0,0,0,0,0,-0.00169433772184391,-1.06572631540843e-05,5.09915301504238e-05,0,1,0,1
0.939,0.523598775598299,0.527244435977109,-0.0362469479111368,0.000796894130846574,0.528989765229103,0.528989765229103,-0.00539098963080442,-0.00197444178843837,-0.00197444178843837,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,940,0,0,0,0,0,0,-0.0017026657272271,-3.913565597655e-06,4.2663524767228e-05,0,1,0,1
0.94,0.523598775598299,0.527208412296477,-0.0358018865467992,0.000780934176169087,0.528953741548471,0.528953741548471,-0.00535496595017249,-0.00195834612676584,-0.00195834612676584,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,941,0,0,0,0,0,0,-0.00171068431286903,2.22867679954691e-06,3.46449391253056e-05,0,1,0,1
0.941,0.523598775598299,0.527172829268245,-0.035365641268578,0.000764981695412872,0.52891815852024,0.52891815852024,-0.0053193829219409,-0.00194287177227139,-0.00194287177227139,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,942,0,0,0,0,0,0,-0.00171840166659498,7.7958769602697e-06,2.692758539935e-05,0,1,0,1
0.942,0.523598775598299,0.527137678083625,-0.0349381953912831,0.000749060315549616,0.52888300733562,0.52888300733562,-0.00528423173732095,-0.00192799264285465,-0.00192799264285465,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,943,0,0,0,0,0,0,-0.00172582596817883,1.28139394109991e-05,1.95032838155029e-05,0,1,0,1
0.943,0.523598775598299,0.527102949956685,-0.0345195200050643,0.000733192349073394,0.528848279208679,0.528848279208679,-0.00524950361038046,-0.00191368318080365,-0.00191368318080365,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,944,0,0,0,0,0,0,-0.0017329653767586,1.73082445900606e-05,1.23638752357325e-05,0,1,0,1
0.944,0.523598775598299,0.527068636136221,-0.0341095746757349,0.000717398827477666,0.528813965388215,0.528813965388215,-0.00521518978991653,-0.00189991836675822,-0.00189991836675822,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,945,0,0,0,0,0,0,-0.00173982801896277,2.13036348896654e-05,5.50123303155736e-06,0,1,0,1
0.945,0.523598775598299,0.527034727916943,-0.0337083081266533,0.000701699535080024,0.528780057168937,0.528780057168937,-0.00518128157063813,-0.00188667373201531,-0.00188667373201531,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,946,0,0,0,0,0,0,-0.00174642197772645,2.48244023551142e-05,-1.09272573212138e-06,0,1,0,1
0.946,0.523598775598299,0.527001216649979,-0.0333156589020127,0.000686113043118071,0.528746545901973,0.528746545901973,-0.0051477703036743,-0.00187392536923867,-0.00187392536923867,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,947,0,0,0,0,0,0,-0.00175275528178098,2.78942779776744e-05,-7.42602978665019e-06,0,1,0,1
0.947,0.523598775598299,0.526968093752735,-0.0329315560114261,0.000670656744045816,0.528713423004729,0.528713423004729,-0.00511464740643042,-0.00186164994165066,-0.00186164994165066,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,948,0,0,0,0,0,0,-0.00175883589579662,3.05364225080852e-05,-1.35066438022857e-05,0,1,0,1
0.948,0.523598775598299,0.526935350718112,-0.0325559195557314,0.000655346885959865,0.528680679970106,0.528680679970106,-0.00508190437180767,-0.00184982469076407,-0.00184982469076407,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,949,0,0,0,0,0,0,-0.00176467171116101,3.2773418727941e-05,-1.93424591666824e-05,0,1,0,1
0.949,0.523598775598299,0.526902979123112,-0.0321886613339805,0.000640198607091916,0.528648308375106,0.528648308375106,-0.0050495327768072,-0.0018384274427264,-0.0018384274427264,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,950,0,0,0,0,0,0,-0.00177027053737311,3.46272651086475e-05,-2.49412853787767e-05,0,1,0,1
0.95,0.523598775598299,0.52687097063684,-0.0318296854316059,0.00062522597030467,0.528616299888835,0.528616299888835,-0.00501752429053592,-0.00182743661333676,-0.00182743661333676,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,951,0,0,0,0,0,0,-0.00177564009403608,3.61193708000897e-05,-3.03108420417475e-05,0,1,0,1
0.951,0.523598775598299,0.526839317027939,-0.031478888789792,0.000610441997533543,0.528584646279933,0.528584646279933,-0.00498587068163425,-0.0018168312118023,-0.0018168312118023,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,952,0,0,0,0,0,0,-0.00178078800342707,3.72705518762485e-05,-3.54587514327376e-05,0,1,0,1
0.952,0.523598775598299,0.526808010171447,-0.03113616175611,0.000595858704118296,0.528553339423442,0.528553339423442,-0.00495456382514281,-0.00180659084329187,-0.00180659084329187,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,953,0,0,0,0,0,0,-0.00178572178362846,3.81010287852732e-05,-4.03925316341258e-05,0,1,0,1
