time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad,delta_command_V,delta_received_measurement_rad,pre_window_active,analysis_window_active,post_window_active,configured_fault_window_active
1.19,0.523598775598299,0.5249851069741,-0.00739464659441075,5.37981232276998e-05,0.5249851069741,0.5249851069741,-0.00138633137580135,-0.000525537988158731,-0.000525537988158731,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1191,0,0,0,0,0,0,7.24376756022771e-07,1.09387316876838e-06,7.24376756022771e-07,0,0,1,0
1.191,0.523598775598299,0.524977729159746,-0.00736098599630161,5.38051375968353e-05,0.524977729159746,0.524977729159746,-0.00137895356144768,-0.000522836889527591,-0.000522836889527591,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1192,0,0,0,0,0,0,9.21090309802253e-07,9.57581658544461e-07,9.21090309802253e-07,0,0,1,0
1.192,0.523598775598299,0.52497038499665,-0.00732734405924502,5.38123553769019e-05,0.52497038499665,0.52497038499665,-0.00137160939835135,-0.000520138540130689,-0.000520138540130689,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1193,0,0,0,0,0,0,1.1108696638118e-06,8.33385958324759e-07,1.1108696638118e-06,0,0,1,0
1.193,0.523598775598299,0.524963074466163,-0.0072937207996802,5.38192995991932e-05,0.524963074466163,0.524963074466163,-0.00136429886786427,-0.000517443435147187,-0.000517443435147187,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1194,0,0,0,0,0,0,1.29390654290962e-06,7.20717094608581e-07,1.29390654290962e-06,0,0,1,0
1.194,0.523598775598299,0.524955797549496,-0.00726011648052186,5.38255216461985e-05,0.524955797549496,0.524955797549496,-0.00135702195119713,-0.000514752057275066,-0.000514752057275066,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195,0,0,0,0,0,0,1.47039150288908e-06,6.19018906505581e-07,1.47039150288908e-06,0,0,1,0
1.195,0.523598775598299,0.52494855422748,-0.00722653159608539,5.38306004649876e-05,0.52494855422748,0.52494855422748,-0.00134977862918118,-0.000512064876501886,-0.000512064876501886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1196,0,0,0,0,0,0,1.64051369622165e-06,5.27748275049728e-07,1.64051369622165e-06,0,0,1,0
1.196,0.523598775598299,0.524941344480342,-0.00719296685744342,5.38341417760874e-05,0.524941344480342,0.524941344480342,-0.00134256888204343,-0.000509382349906334,-0.000509382349906334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1197,0,0,0,0,0,0,1.80446065256579e-06,4.46375318394719e-07,1.80446065256579e-06,0,0,1,0
1.197,0.523598775598299,0.524934168287497,-0.00715942317821504,5.38357772807727e-05,0.524934168287497,0.524934168287497,-0.00133539268919769,-0.000506704921495882,-0.000506704921495882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1198,0,0,0,0,0,0,1.96241807315367e-06,3.74383555662959e-07,1.96241807315367e-06,0,0,1,0
1.198,0.523598775598299,0.524927025627347,-0.00712590166078809,5.38351638669052e-05,0.524927025627347,0.524927025627347,-0.00132825002904835,-0.000504033022072737,-0.000504033022072737,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1199,0,0,0,0,0,0,2.11456963972179e-06,3.11270037953171e-07,2.11456963972179e-06,0,0,1,0
1.199,0.523598775598299,0.524919916477108,-0.00709240358297439,5.38319828158943e-05,0.524919916477108,0.524919916477108,-0.00132114087880875,-0.000501367069132278,-0.000501367069132278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,0,0,0,0,0,0,2.26109683720832e-06,2.5654544894135e-07,2.26109683720832e-06,0,0,1,0
