Case,MaxStep_ns,Samples,RelTol,AbsTol,Warnings,VoltageError_V,DifferentialError_V,EventSequenceExact,EventTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NativeDomainFailed,ExactDomainFailed,DomainAgreement,GridPass,FinitePass,NumericalPass,RawNativeFile,RawNativeSHA256,Engine
Cd1000_Ccp30_A0,0.25,286889,1e-07,1e-10,0,7.30546625575812e-05,0.000137440685574752,1,0.000360028110094252,1,0.000163522254107383,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd1000_Ccp30_A0\native_0.25ns\native_raw.mat,99bae4e5a66e84b2b4bc8c88ae828d9b4316fefaf9e788ba13d4b8ea95430cc6,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp30_A0,0.125,455099,1e-07,1e-10,0,7.88507232161173e-05,0.000148345043764042,1,0.0003597592851302,1,0.000146308329204502,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd1000_Ccp30_A0\native_0.125ns\native_raw.mat,26baefb1d4ee933887b64e8465af6db94428fb4f2131fcb6cdec048be11bdd72,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp30_A1,0.5,188436,1e-07,1e-10,0,6.65632145673278e-05,0.000125227830729102,1,0.00191815287628748,1,0.00191815287628748,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd1000_Ccp30_A1\native_0.5ns\native_raw.mat,647e718c9acc73f3730280b1cf3a09c638e6221e99cfb24054923aaf5c57bf4d,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp30_A1,0.25,291682,1e-07,1e-10,0,6.65632680654227e-05,0.000125227931376592,1,0.00191810250662624,1,0.00191810250662624,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd1000_Ccp30_A1\native_0.25ns\native_raw.mat,792bc0533ca2d7361ef32bc290cad217072125d7e94017fffdabe88cb65626b2,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp30_A1,0.125,455026,1e-07,1e-10,0,7.15947016960428e-05,0.00013469375855113,1,0.00196756182640738,1,0.00196756182640738,1,0,0,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_acceptance_v1\Cd1000_Ccp30_A1\native_0.125ns\native_raw.mat,2c399a792d96ced5adc355d66a6659cd57ea4bc0bef9d80404046766ec7e3f0e,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp300_A0,0.5,235100,1e-09,1e-12,0,2.64257114634958e-06,5.15783346100029e-06,1,6.75511574879195e-05,1,6.75511574879195e-05,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_tightened_v2\Cd1000_Ccp300_A0\native_0.5ns\native_raw.mat,3bac66c0207e5dc11ec931eb0f1bf823e0ab220ca9445115198932a2f042e4fc,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp300_A0,0.25,324240,1e-09,1e-12,0,2.64257114634958e-06,5.15783350030219e-06,1,6.75518448551562e-05,1,6.75518448551562e-05,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_tightened_v2\Cd1000_Ccp300_A0\native_0.25ns\native_raw.mat,af374090aed472aef0ba54f472867a1d162b48f79a82b14e8ef06ecb1dcf28ee,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp300_A0,0.125,522222,1e-09,1e-12,0,2.78397983599632e-06,5.47774954373637e-06,1,6.76073195839707e-05,1,6.76073195839707e-05,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_tightened_v2\Cd1000_Ccp300_A0\native_0.125ns\native_raw.mat,3f8569f439d13a3d0a70c89b7a028a227ff13e0ae9354a952c4ad4fdbbf0acd5,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp300_A1,0.5,244211,1e-09,1e-12,0,2.59928943724397e-06,5.02561977189231e-06,1,3.70883667405605e-05,1,4.8671783698653e-08,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_tightened_v2\Cd1000_Ccp300_A1\native_0.5ns\native_raw.mat,ce077593f402393f29854cef3bc73c9a648dcdb6b517b3a3ddd15efed36fb622,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp300_A1,0.25,329439,1e-09,1e-12,0,2.59928960177902e-06,5.02562004323082e-06,1,3.70903581150194e-05,1,4.77472472367249e-08,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_tightened_v2\Cd1000_Ccp300_A1\native_0.25ns\native_raw.mat,abde04410506687782b672cbd8010b94edd473dd6025cf32a19e348fe59c56f0,fourway_exact_cc1fdc1322a41157
Cd1000_Ccp300_A1,0.125,528590,1e-09,1e-12,0,2.65308070712678e-06,5.16725579391419e-06,1,3.65219066808206e-05,1,4.71763470302755e-08,1,1,1,1,1,1,1,C:\Users\adand\Documents\Codex\2026-09-11\let\work\fourway_native_tightened_v2\Cd1000_Ccp300_A1\native_0.125ns\native_raw.mat,23fd782a44b48b702d3c14f04a9bd9f8d607e507d0ea9295cc9600bbdc17d9c1,fourway_exact_cc1fdc1322a41157
