Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2DEV01_V04_COMBINED_clean,V2DEV01,V04,COMBINED,clean,6.7358967,passed,
V2DEV01_V04_COMBINED_exposed,V2DEV01,V04,COMBINED,exposed,10.5434891,passed,
V2DEV02_V04_BASELINE_clean,V2DEV02,V04,BASELINE,clean,5.8964281,passed,
V2DEV02_V04_BASELINE_exposed,V2DEV02,V04,BASELINE,exposed,8.7409301,passed,
V2DEV02_V04_EM_ONLY_clean,V2DEV02,V04,EM_ONLY,clean,5.9866674,passed,
V2DEV02_V04_EM_ONLY_exposed,V2DEV02,V04,EM_ONLY,exposed,8.7325669,passed,
V2DEV02_V04_SW_ONLY_clean,V2DEV02,V04,SW_ONLY,clean,7.7485631,passed,
V2DEV02_V04_SW_ONLY_exposed,V2DEV02,V04,SW_ONLY,exposed,10.2658367,passed,
V2DEV02_V04_COMBINED_clean,V2DEV02,V04,COMBINED,clean,7.6234362,passed,
V2DEV02_V04_COMBINED_exposed,V2DEV02,V04,COMBINED,exposed,11.1025763,passed,
V2DEV01_V05_BASELINE_clean,V2DEV01,V05,BASELINE,clean,7.8892387,passed,
V2DEV01_V05_BASELINE_exposed,V2DEV01,V05,BASELINE,exposed,8.6556691,passed,
V2DEV01_V05_EM_ONLY_clean,V2DEV01,V05,EM_ONLY,clean,5.72044,passed,
V2DEV01_V05_EM_ONLY_exposed,V2DEV01,V05,EM_ONLY,exposed,7.838495,passed,
V2DEV01_V05_SW_ONLY_clean,V2DEV01,V05,SW_ONLY,clean,6.122112,passed,
V2DEV01_V05_SW_ONLY_exposed,V2DEV01,V05,SW_ONLY,exposed,7.1601953,passed,
V2DEV01_V05_COMBINED_clean,V2DEV01,V05,COMBINED,clean,6.9393652,passed,
V2DEV01_V05_COMBINED_exposed,V2DEV01,V05,COMBINED,exposed,9.9822146,passed,
V2DEV02_V05_BASELINE_clean,V2DEV02,V05,BASELINE,clean,5.9623999,passed,
V2DEV02_V05_BASELINE_exposed,V2DEV02,V05,BASELINE,exposed,8.7397012,passed,
V2DEV02_V05_EM_ONLY_clean,V2DEV02,V05,EM_ONLY,clean,5.7101708,passed,
V2DEV02_V05_EM_ONLY_exposed,V2DEV02,V05,EM_ONLY,exposed,8.5785045,passed,
V2DEV02_V05_SW_ONLY_clean,V2DEV02,V05,SW_ONLY,clean,7.5714488,passed,
V2DEV02_V05_SW_ONLY_exposed,V2DEV02,V05,SW_ONLY,exposed,10.2278122,passed,
V2DEV02_V05_COMBINED_clean,V2DEV02,V05,COMBINED,clean,7.7816492,passed,
V2DEV02_V05_COMBINED_exposed,V2DEV02,V05,COMBINED,exposed,10.1262034,passed,
V2DEV01_V06_BASELINE_clean,V2DEV01,V06,BASELINE,clean,7.8713902,passed,
V2DEV01_V06_BASELINE_exposed,V2DEV01,V06,BASELINE,exposed,8.5691699,passed,
V2DEV01_V06_EM_ONLY_clean,V2DEV01,V06,EM_ONLY,clean,5.4570011,passed,
V2DEV01_V06_EM_ONLY_exposed,V2DEV01,V06,EM_ONLY,exposed,8.200884,passed,
V2DEV01_V06_SW_ONLY_clean,V2DEV01,V06,SW_ONLY,clean,6.2263304,passed,
V2DEV01_V06_SW_ONLY_exposed,V2DEV01,V06,SW_ONLY,exposed,7.2685206,passed,
V2DEV01_V06_COMBINED_clean,V2DEV01,V06,COMBINED,clean,7.1095633,passed,
V2DEV01_V06_COMBINED_exposed,V2DEV01,V06,COMBINED,exposed,10.1940187,passed,
V2DEV02_V06_BASELINE_clean,V2DEV02,V06,BASELINE,clean,5.6544296,passed,
V2DEV02_V06_BASELINE_exposed,V2DEV02,V06,BASELINE,exposed,8.7898993,passed,
V2DEV02_V06_EM_ONLY_clean,V2DEV02,V06,EM_ONLY,clean,5.7465843,passed,
V2DEV02_V06_EM_ONLY_exposed,V2DEV02,V06,EM_ONLY,exposed,8.5999036,passed,
V2DEV02_V06_SW_ONLY_clean,V2DEV02,V06,SW_ONLY,clean,7.5376475,passed,
V2DEV02_V06_SW_ONLY_exposed,V2DEV02,V06,SW_ONLY,exposed,10.1377352,passed,
V2DEV02_V06_COMBINED_clean,V2DEV02,V06,COMBINED,clean,8.1004344,passed,
V2DEV02_V06_COMBINED_exposed,V2DEV02,V06,COMBINED,exposed,10.4163359,passed,
V2DEV01_V07_BASELINE_clean,V2DEV01,V07,BASELINE,clean,7.8845719,passed,
V2DEV01_V07_BASELINE_exposed,V2DEV01,V07,BASELINE,exposed,8.5744125,passed,
V2DEV01_V07_EM_ONLY_clean,V2DEV01,V07,EM_ONLY,clean,5.5841436,passed,
V2DEV01_V07_EM_ONLY_exposed,V2DEV01,V07,EM_ONLY,exposed,7.7588878,passed,
V2DEV01_V07_SW_ONLY_clean,V2DEV01,V07,SW_ONLY,clean,6.1403202,passed,
V2DEV01_V07_SW_ONLY_exposed,V2DEV01,V07,SW_ONLY,exposed,6.9461406,passed,
V2DEV01_V07_COMBINED_clean,V2DEV01,V07,COMBINED,clean,7.030871,passed,
V2DEV01_V07_COMBINED_exposed,V2DEV01,V07,COMBINED,exposed,9.8132433,passed,
V2DEV02_V07_BASELINE_clean,V2DEV02,V07,BASELINE,clean,5.9364271,passed,
V2DEV02_V07_BASELINE_exposed,V2DEV02,V07,BASELINE,exposed,8.7063598,passed,
V2DEV02_V07_EM_ONLY_clean,V2DEV02,V07,EM_ONLY,clean,5.8538069,passed,
V2DEV02_V07_EM_ONLY_exposed,V2DEV02,V07,EM_ONLY,exposed,8.4885017,passed,
V2DEV02_V07_SW_ONLY_clean,V2DEV02,V07,SW_ONLY,clean,7.6372412,passed,
V2DEV02_V07_SW_ONLY_exposed,V2DEV02,V07,SW_ONLY,exposed,10.2476501,passed,
V2DEV02_V07_COMBINED_clean,V2DEV02,V07,COMBINED,clean,7.7940712,passed,
V2DEV02_V07_COMBINED_exposed,V2DEV02,V07,COMBINED,exposed,10.343566,passed,
V2DEV01_V08_BASELINE_clean,V2DEV01,V08,BASELINE,clean,7.693689,passed,
V2DEV01_V08_BASELINE_exposed,V2DEV01,V08,BASELINE,exposed,8.5636493,passed,
V2DEV01_V08_EM_ONLY_clean,V2DEV01,V08,EM_ONLY,clean,5.7054904,passed,
V2DEV01_V08_EM_ONLY_exposed,V2DEV01,V08,EM_ONLY,exposed,7.8813564,passed,
V2DEV01_V08_SW_ONLY_clean,V2DEV01,V08,SW_ONLY,clean,6.2870686,passed,
V2DEV01_V08_SW_ONLY_exposed,V2DEV01,V08,SW_ONLY,exposed,7.1904354,passed,
V2DEV01_V08_COMBINED_clean,V2DEV01,V08,COMBINED,clean,7.1063209,passed,
