Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2EVAL07_V01_SW_ONLY_clean,V2EVAL07,V01,SW_ONLY,clean,9.038593,passed,
V2EVAL07_V01_SW_ONLY_exposed,V2EVAL07,V01,SW_ONLY,exposed,12.4706278,passed,
V2EVAL07_V01_COMBINED_clean,V2EVAL07,V01,COMBINED,clean,9.6447931,passed,
V2EVAL07_V01_COMBINED_exposed,V2EVAL07,V01,COMBINED,exposed,12.1887242,passed,
V2EVAL08_V01_BASELINE_clean,V2EVAL08,V01,BASELINE,clean,7.0838598,passed,
V2EVAL08_V01_BASELINE_exposed,V2EVAL08,V01,BASELINE,exposed,11.3664363,passed,
V2EVAL08_V01_EM_ONLY_clean,V2EVAL08,V01,EM_ONLY,clean,7.5460715,passed,
V2EVAL08_V01_EM_ONLY_exposed,V2EVAL08,V01,EM_ONLY,exposed,9.9279145,passed,
V2EVAL08_V01_SW_ONLY_clean,V2EVAL08,V01,SW_ONLY,clean,9.1539438,passed,
V2EVAL08_V01_SW_ONLY_exposed,V2EVAL08,V01,SW_ONLY,exposed,12.0981536,passed,
V2EVAL08_V01_COMBINED_clean,V2EVAL08,V01,COMBINED,clean,10.3215659,passed,
V2EVAL08_V01_COMBINED_exposed,V2EVAL08,V01,COMBINED,exposed,13.4385776,passed,
V2EVAL09_V01_BASELINE_clean,V2EVAL09,V01,BASELINE,clean,7.0373674,passed,
V2EVAL09_V01_BASELINE_exposed,V2EVAL09,V01,BASELINE,exposed,11.4025726,passed,
V2EVAL09_V01_EM_ONLY_clean,V2EVAL09,V01,EM_ONLY,clean,7.320552,passed,
V2EVAL09_V01_EM_ONLY_exposed,V2EVAL09,V01,EM_ONLY,exposed,10.2598259,passed,
V2EVAL09_V01_SW_ONLY_clean,V2EVAL09,V01,SW_ONLY,clean,9.3559803,passed,
V2EVAL09_V01_SW_ONLY_exposed,V2EVAL09,V01,SW_ONLY,exposed,12.4524298,passed,
V2EVAL09_V01_COMBINED_clean,V2EVAL09,V01,COMBINED,clean,9.1540036,passed,
V2EVAL09_V01_COMBINED_exposed,V2EVAL09,V01,COMBINED,exposed,17.3370022,passed,
V2EVAL10_V01_BASELINE_clean,V2EVAL10,V01,BASELINE,clean,10.065719,passed,
V2EVAL10_V01_BASELINE_exposed,V2EVAL10,V01,BASELINE,exposed,15.3316851,passed,
V2EVAL10_V01_EM_ONLY_clean,V2EVAL10,V01,EM_ONLY,clean,10.1770976,passed,
V2EVAL10_V01_EM_ONLY_exposed,V2EVAL10,V01,EM_ONLY,exposed,14.3648888,passed,
