Case,Variant,CoarseStep_ns,FineStep_ns,VoltageError_V,DifferentialError_V,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,Pass
Cd100_Ccp40_Ccn7_A0,lower_illustration_25ns_inertial,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,1.4922179431779e-08,1,7.20189763402969e-09,1,7.20189763402969e-09,1,7.20189763402969e-09,1,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_transport,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,1.4922179431779e-08,1,7.20189763402969e-09,1,7.20189763402969e-09,1,7.20189763402969e-09,1,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_inertial,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,1.4922179431779e-08,1,7.20189763402969e-09,1,7.20189763402969e-09,1,7.20189763402969e-09,1,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_transport,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,1.05997703019403e-08,1,9.46135802083053e-09,1,9.46135802083053e-09,1,9.46135802083053e-09,1,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_inertial,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,1.05997703019403e-08,1,9.46135802083053e-09,1,9.46135802083053e-09,1,9.46135802083053e-09,1,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_transport,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,1.05997703019403e-08,1,9.46135802083053e-09,1,9.46135802083053e-09,1,9.46135802083053e-09,1,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_inertial,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,1.05997703019403e-08,1,9.46135802083053e-09,1,9.46135802083053e-09,1,9.46135802083053e-09,1,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_transport,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,2.54140800878865e-07,1,2.71355474982388e-08,1,2.71355474982388e-08,1,2.71355474982388e-08,1,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_inertial,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,2.54140800878865e-07,1,2.71355474982388e-08,1,2.71355474982388e-08,1,2.71355474982388e-08,1,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_transport,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,2.54140800878865e-07,1,2.71355474982388e-08,1,2.71355474982388e-08,1,2.71355474982388e-08,1,1
