Fixture,Arm,Burst,LastSourceDerivative_s,RecoveryStart_s,Confirmation_s,Delay_s,Status,WithinLimit,Variant
V2EVAL09,EM_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V03
V2EVAL09,SW_ONLY,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V03
V2EVAL09,SW_ONLY,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V03
V2EVAL09,COMBINED,1,0.254953006,0.255,0.305,4.69940000000224e-05,recovered,1,V03
V2EVAL09,COMBINED,2,1.704953006,1.705,1.755,4.69940000000779e-05,recovered,1,V03
V2EVAL10,BASELINE,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
V2EVAL10,BASELINE,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL10,EM_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
V2EVAL10,EM_ONLY,2,1.704953156,1.705,1.755,4.68440000001014e-05,recovered,1,V03
V2EVAL10,SW_ONLY,1,0.254953156,0.255,0.305,4.68440000000458e-05,recovered,1,V03
