Arm,Cases,WindowRMSE_min_deg,WindowRMSE_max_deg,WindowPeak_max_deg,EMICountPeak_max_counts,EMICountFinal_abs_max_counts,AbsoluteCurrentPeak_max_A,ExecutionGuardFailures
BASELINE,192,0.0,0.00150907266516772,0.00283883633699674,1.0,0.0,0.123622083196319,0
EM_ONLY,192,0.0,0.0,0.0,0.0,0.0,0.123617853957655,0
SW_ONLY,192,0.0,0.00103852620266704,0.00176853484027804,1.0,0.0,0.123937458813339,0
COMBINED,192,0.0,0.0,0.0,0.0,0.0,0.12387652076775,0
