Case,Variant,MaxStep_ns,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NativeDomainPass,ReferenceContinuousDomainPass,DomainAgreement,NativeStressFlag,GrazingUnresolved,Pass
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_transport,0.25,1,1.39543595862462e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_inertial,0.25,1,1.39543595862462e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_transport,0.25,1,1.39543595862462e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_inertial,0.25,1,1.39543595862462e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1.25349441248849e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_transport,0.25,1,2.35097806158694e-07,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_inertial,0.25,1,2.35097806158694e-07,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_transport,0.25,1,2.35097806158694e-07,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_inertial,0.25,1,2.35097806158694e-07,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1.06751562342459e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_25ns_transport,0.125,1,4.69589983760101e-07,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_25ns_inertial,0.125,1,4.69589983760101e-07,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_40ns_transport,0.125,1,4.69589983760101e-07,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,typical_illustration_40ns_inertial,0.125,1,4.69589983760101e-07,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_25ns_transport,0.125,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_25ns_inertial,0.125,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_transport,0.125,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,lower_illustration_40ns_inertial,0.125,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,2.51838141811754e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_transport,0.125,1,1.28943825560522e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_25ns_inertial,0.125,1,1.28943825560522e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_transport,0.125,1,1.28943825560522e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,upper_illustration_40ns_inertial,0.125,1,1.28943825560522e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1.15888083228018e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_transport,0.125,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_25ns_inertial,0.125,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_transport,0.125,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_inertial,0.125,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,3.78107037324847e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_transport,0.5,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1,1,1,0,0,1
