Record,Fixture,Variant,Arm,Closure_s,Elapsed_s,Status,Error
V2CLOS40_V16_BASELINE_return45000ns,V2CLOS40,V16,BASELINE,4.5e-05,13.0078159,passed,
V2CLOS40_V16_EM_ONLY_return100ns,V2CLOS40,V16,EM_ONLY,1e-07,11.9580741,passed,
V2CLOS40_V16_EM_ONLY_return45000ns,V2CLOS40,V16,EM_ONLY,4.5e-05,11.62256,passed,
V2CLOS40_V16_SW_ONLY_return100ns,V2CLOS40,V16,SW_ONLY,1e-07,14.4315313,passed,
V2CLOS40_V16_SW_ONLY_return45000ns,V2CLOS40,V16,SW_ONLY,4.5e-05,13.6009764,passed,
V2CLOS40_V16_COMBINED_return100ns,V2CLOS40,V16,COMBINED,1e-07,12.5586803,passed,
V2CLOS40_V16_COMBINED_return45000ns,V2CLOS40,V16,COMBINED,4.5e-05,13.7522423,passed,
V2CLOS240_V16_BASELINE_return100ns,V2CLOS240,V16,BASELINE,1e-07,11.1571134,passed,
V2CLOS240_V16_BASELINE_return45000ns,V2CLOS240,V16,BASELINE,4.5e-05,12.8403488,passed,
V2CLOS240_V16_EM_ONLY_return100ns,V2CLOS240,V16,EM_ONLY,1e-07,12.7093639,passed,
V2CLOS240_V16_EM_ONLY_return45000ns,V2CLOS240,V16,EM_ONLY,4.5e-05,9.934379,passed,
V2CLOS240_V16_SW_ONLY_return100ns,V2CLOS240,V16,SW_ONLY,1e-07,10.4727781,passed,
V2CLOS240_V16_SW_ONLY_return45000ns,V2CLOS240,V16,SW_ONLY,4.5e-05,10.0111054,passed,
V2CLOS240_V16_COMBINED_return100ns,V2CLOS240,V16,COMBINED,1e-07,10.3659723,passed,
V2CLOS240_V16_COMBINED_return45000ns,V2CLOS240,V16,COMBINED,4.5e-05,10.2207238,passed,
