Record,Fixture,Variant,Arm,Closure_s,Elapsed_s,Status,Error
V2CLOS40_V04_BASELINE_return100ns,V2CLOS40,V04,BASELINE,1e-07,10.9586697,passed,
V2CLOS40_V04_BASELINE_return45000ns,V2CLOS40,V04,BASELINE,4.5e-05,12.8951651,passed,
V2CLOS40_V04_EM_ONLY_return100ns,V2CLOS40,V04,EM_ONLY,1e-07,12.5054099,passed,
V2CLOS40_V04_EM_ONLY_return45000ns,V2CLOS40,V04,EM_ONLY,4.5e-05,11.9665945,passed,
V2CLOS40_V04_SW_ONLY_return100ns,V2CLOS40,V04,SW_ONLY,1e-07,14.2644825,passed,
V2CLOS40_V04_SW_ONLY_return45000ns,V2CLOS40,V04,SW_ONLY,4.5e-05,14.5089412,passed,
V2CLOS40_V04_COMBINED_return100ns,V2CLOS40,V04,COMBINED,1e-07,12.9317566,passed,
V2CLOS40_V04_COMBINED_return45000ns,V2CLOS40,V04,COMBINED,4.5e-05,13.4882339,passed,
V2CLOS240_V04_BASELINE_return100ns,V2CLOS240,V04,BASELINE,1e-07,11.4355588,passed,
V2CLOS240_V04_BASELINE_return45000ns,V2CLOS240,V04,BASELINE,4.5e-05,12.7249383,passed,
V2CLOS240_V04_EM_ONLY_return100ns,V2CLOS240,V04,EM_ONLY,1e-07,12.9855354,passed,
V2CLOS240_V04_EM_ONLY_return45000ns,V2CLOS240,V04,EM_ONLY,4.5e-05,9.849194,passed,
V2CLOS240_V04_SW_ONLY_return100ns,V2CLOS240,V04,SW_ONLY,1e-07,10.5913381,passed,
V2CLOS240_V04_SW_ONLY_return45000ns,V2CLOS240,V04,SW_ONLY,4.5e-05,10.2447776,passed,
V2CLOS240_V04_COMBINED_return100ns,V2CLOS240,V04,COMBINED,1e-07,10.5507225,passed,
V2CLOS240_V04_COMBINED_return45000ns,V2CLOS240,V04,COMBINED,4.5e-05,9.3754591,passed,
V2CLOS40_V05_BASELINE_return100ns,V2CLOS40,V05,BASELINE,1e-07,10.9614037,passed,
V2CLOS40_V05_BASELINE_return45000ns,V2CLOS40,V05,BASELINE,4.5e-05,13.5642255,passed,
V2CLOS40_V05_EM_ONLY_return100ns,V2CLOS40,V05,EM_ONLY,1e-07,11.9246998,passed,
V2CLOS40_V05_EM_ONLY_return45000ns,V2CLOS40,V05,EM_ONLY,4.5e-05,11.7884286,passed,
V2CLOS40_V05_SW_ONLY_return100ns,V2CLOS40,V05,SW_ONLY,1e-07,13.9139557,passed,
V2CLOS40_V05_SW_ONLY_return45000ns,V2CLOS40,V05,SW_ONLY,4.5e-05,14.04574,passed,
V2CLOS40_V05_COMBINED_return100ns,V2CLOS40,V05,COMBINED,1e-07,12.9339953,passed,
V2CLOS40_V05_COMBINED_return45000ns,V2CLOS40,V05,COMBINED,4.5e-05,13.6813328,passed,
V2CLOS240_V05_BASELINE_return100ns,V2CLOS240,V05,BASELINE,1e-07,11.7902935,passed,
V2CLOS240_V05_BASELINE_return45000ns,V2CLOS240,V05,BASELINE,4.5e-05,12.0847955,passed,
V2CLOS240_V05_EM_ONLY_return100ns,V2CLOS240,V05,EM_ONLY,1e-07,12.806656,passed,
V2CLOS240_V05_EM_ONLY_return45000ns,V2CLOS240,V05,EM_ONLY,4.5e-05,9.9816161,passed,
V2CLOS240_V05_SW_ONLY_return100ns,V2CLOS240,V05,SW_ONLY,1e-07,10.8096752,passed,
V2CLOS240_V05_SW_ONLY_return45000ns,V2CLOS240,V05,SW_ONLY,4.5e-05,10.2167788,passed,
V2CLOS240_V05_COMBINED_return100ns,V2CLOS240,V05,COMBINED,1e-07,10.2495205,passed,
V2CLOS240_V05_COMBINED_return45000ns,V2CLOS240,V05,COMBINED,4.5e-05,9.9056807,passed,
V2CLOS40_V06_BASELINE_return100ns,V2CLOS40,V06,BASELINE,1e-07,13.6675955,passed,
V2CLOS40_V06_BASELINE_return45000ns,V2CLOS40,V06,BASELINE,4.5e-05,12.2116732,passed,
V2CLOS40_V06_EM_ONLY_return100ns,V2CLOS40,V06,EM_ONLY,1e-07,11.8630251,passed,
V2CLOS40_V06_EM_ONLY_return45000ns,V2CLOS40,V06,EM_ONLY,4.5e-05,12.0786152,passed,
V2CLOS40_V06_SW_ONLY_return100ns,V2CLOS40,V06,SW_ONLY,1e-07,14.435322,passed,
V2CLOS40_V06_SW_ONLY_return45000ns,V2CLOS40,V06,SW_ONLY,4.5e-05,14.004278,passed,
V2CLOS40_V06_COMBINED_return100ns,V2CLOS40,V06,COMBINED,1e-07,13.1242038,passed,
V2CLOS40_V06_COMBINED_return45000ns,V2CLOS40,V06,COMBINED,4.5e-05,13.8974803,passed,
V2CLOS240_V06_BASELINE_return100ns,V2CLOS240,V06,BASELINE,1e-07,11.5976986,passed,
V2CLOS240_V06_BASELINE_return45000ns,V2CLOS240,V06,BASELINE,4.5e-05,12.2183498,passed,
V2CLOS240_V06_EM_ONLY_return100ns,V2CLOS240,V06,EM_ONLY,1e-07,12.8428355,passed,
V2CLOS240_V06_EM_ONLY_return45000ns,V2CLOS240,V06,EM_ONLY,4.5e-05,9.6689704,passed,
V2CLOS240_V06_SW_ONLY_return100ns,V2CLOS240,V06,SW_ONLY,1e-07,10.5045226,passed,
V2CLOS240_V06_SW_ONLY_return45000ns,V2CLOS240,V06,SW_ONLY,4.5e-05,10.13242,passed,
V2CLOS240_V06_COMBINED_return100ns,V2CLOS240,V06,COMBINED,1e-07,10.3836657,passed,
V2CLOS240_V06_COMBINED_return45000ns,V2CLOS240,V06,COMBINED,4.5e-05,9.096803,passed,
V2CLOS40_V07_BASELINE_return100ns,V2CLOS40,V07,BASELINE,1e-07,13.1484194,passed,
V2CLOS40_V07_BASELINE_return45000ns,V2CLOS40,V07,BASELINE,4.5e-05,12.0627801,passed,
V2CLOS40_V07_EM_ONLY_return100ns,V2CLOS40,V07,EM_ONLY,1e-07,11.6642417,passed,
V2CLOS40_V07_EM_ONLY_return45000ns,V2CLOS40,V07,EM_ONLY,4.5e-05,11.8309249,passed,
V2CLOS40_V07_SW_ONLY_return100ns,V2CLOS40,V07,SW_ONLY,1e-07,14.6606449,passed,
V2CLOS40_V07_SW_ONLY_return45000ns,V2CLOS40,V07,SW_ONLY,4.5e-05,13.745273,passed,
V2CLOS40_V07_COMBINED_return100ns,V2CLOS40,V07,COMBINED,1e-07,13.0102709,passed,
V2CLOS40_V07_COMBINED_return45000ns,V2CLOS40,V07,COMBINED,4.5e-05,13.8414935,passed,
V2CLOS240_V07_BASELINE_return100ns,V2CLOS240,V07,BASELINE,1e-07,11.0350688,passed,
V2CLOS240_V07_BASELINE_return45000ns,V2CLOS240,V07,BASELINE,4.5e-05,12.4520014,passed,
V2CLOS240_V07_EM_ONLY_return100ns,V2CLOS240,V07,EM_ONLY,1e-07,12.3520143,passed,
V2CLOS240_V07_EM_ONLY_return45000ns,V2CLOS240,V07,EM_ONLY,4.5e-05,9.8260988,passed,
V2CLOS240_V07_SW_ONLY_return100ns,V2CLOS240,V07,SW_ONLY,1e-07,10.5872311,passed,
V2CLOS240_V07_SW_ONLY_return45000ns,V2CLOS240,V07,SW_ONLY,4.5e-05,10.2338849,passed,
V2CLOS240_V07_COMBINED_return100ns,V2CLOS240,V07,COMBINED,1e-07,10.4466064,passed,
V2CLOS240_V07_COMBINED_return45000ns,V2CLOS240,V07,COMBINED,4.5e-05,9.9391981,passed,
V2CLOS40_V08_BASELINE_return100ns,V2CLOS40,V08,BASELINE,1e-07,11.6719047,passed,
V2CLOS40_V08_BASELINE_return45000ns,V2CLOS40,V08,BASELINE,4.5e-05,13.4644352,passed,
V2CLOS40_V08_EM_ONLY_return100ns,V2CLOS40,V08,EM_ONLY,1e-07,12.0116236,passed,
V2CLOS40_V08_EM_ONLY_return45000ns,V2CLOS40,V08,EM_ONLY,4.5e-05,12.1460161,passed,
V2CLOS40_V08_SW_ONLY_return100ns,V2CLOS40,V08,SW_ONLY,1e-07,14.1013829,passed,
V2CLOS40_V08_SW_ONLY_return45000ns,V2CLOS40,V08,SW_ONLY,4.5e-05,13.2723026,passed,
V2CLOS40_V08_COMBINED_return100ns,V2CLOS40,V08,COMBINED,1e-07,12.7840895,passed,
V2CLOS40_V08_COMBINED_return45000ns,V2CLOS40,V08,COMBINED,4.5e-05,12.9773748,passed,
V2CLOS240_V08_BASELINE_return100ns,V2CLOS240,V08,BASELINE,1e-07,10.836578,passed,
V2CLOS240_V08_BASELINE_return45000ns,V2CLOS240,V08,BASELINE,4.5e-05,12.2108756,passed,
V2CLOS240_V08_EM_ONLY_return100ns,V2CLOS240,V08,EM_ONLY,1e-07,12.5581736,passed,
V2CLOS240_V08_EM_ONLY_return45000ns,V2CLOS240,V08,EM_ONLY,4.5e-05,10.1756009,passed,
V2CLOS240_V08_SW_ONLY_return100ns,V2CLOS240,V08,SW_ONLY,1e-07,10.2677476,passed,
V2CLOS240_V08_SW_ONLY_return45000ns,V2CLOS240,V08,SW_ONLY,4.5e-05,10.1290623,passed,
V2CLOS240_V08_COMBINED_return100ns,V2CLOS240,V08,COMBINED,1e-07,9.907408,passed,
V2CLOS240_V08_COMBINED_return45000ns,V2CLOS240,V08,COMBINED,4.5e-05,10.5236792,passed,
V2CLOS40_V09_BASELINE_return100ns,V2CLOS40,V09,BASELINE,1e-07,11.5626811,passed,
V2CLOS40_V09_BASELINE_return45000ns,V2CLOS40,V09,BASELINE,4.5e-05,12.8046781,passed,
V2CLOS40_V09_EM_ONLY_return100ns,V2CLOS40,V09,EM_ONLY,1e-07,12.0801345,passed,
V2CLOS40_V09_EM_ONLY_return45000ns,V2CLOS40,V09,EM_ONLY,4.5e-05,11.808504,passed,
V2CLOS40_V09_SW_ONLY_return100ns,V2CLOS40,V09,SW_ONLY,1e-07,14.1502413,passed,
V2CLOS40_V09_SW_ONLY_return45000ns,V2CLOS40,V09,SW_ONLY,4.5e-05,14.5650212,passed,
V2CLOS40_V09_COMBINED_return100ns,V2CLOS40,V09,COMBINED,1e-07,13.1309282,passed,
V2CLOS40_V09_COMBINED_return45000ns,V2CLOS40,V09,COMBINED,4.5e-05,13.6187103,passed,
V2CLOS240_V09_BASELINE_return100ns,V2CLOS240,V09,BASELINE,1e-07,11.4356208,passed,
V2CLOS240_V09_BASELINE_return45000ns,V2CLOS240,V09,BASELINE,4.5e-05,12.3499296,passed,
V2CLOS240_V09_EM_ONLY_return100ns,V2CLOS240,V09,EM_ONLY,1e-07,12.6747451,passed,
V2CLOS240_V09_EM_ONLY_return45000ns,V2CLOS240,V09,EM_ONLY,4.5e-05,9.708644,passed,
V2CLOS240_V09_SW_ONLY_return100ns,V2CLOS240,V09,SW_ONLY,1e-07,10.3580517,passed,
V2CLOS240_V09_SW_ONLY_return45000ns,V2CLOS240,V09,SW_ONLY,4.5e-05,10.1503319,passed,
V2CLOS240_V09_COMBINED_return100ns,V2CLOS240,V09,COMBINED,1e-07,10.4760833,passed,
V2CLOS240_V09_COMBINED_return45000ns,V2CLOS240,V09,COMBINED,4.5e-05,9.8445089,passed,
V2CLOS40_V10_BASELINE_return100ns,V2CLOS40,V10,BASELINE,1e-07,12.1560492,passed,
V2CLOS40_V10_BASELINE_return45000ns,V2CLOS40,V10,BASELINE,4.5e-05,12.6524381,passed,
V2CLOS40_V10_EM_ONLY_return100ns,V2CLOS40,V10,EM_ONLY,1e-07,12.0067764,passed,
V2CLOS40_V10_EM_ONLY_return45000ns,V2CLOS40,V10,EM_ONLY,4.5e-05,12.1220075,passed,
V2CLOS40_V10_SW_ONLY_return100ns,V2CLOS40,V10,SW_ONLY,1e-07,14.5680559,passed,
V2CLOS40_V10_SW_ONLY_return45000ns,V2CLOS40,V10,SW_ONLY,4.5e-05,13.696768,passed,
V2CLOS40_V10_COMBINED_return100ns,V2CLOS40,V10,COMBINED,1e-07,13.6140527,passed,
V2CLOS40_V10_COMBINED_return45000ns,V2CLOS40,V10,COMBINED,4.5e-05,13.4332686,passed,
V2CLOS240_V10_BASELINE_return100ns,V2CLOS240,V10,BASELINE,1e-07,11.0632379,passed,
V2CLOS240_V10_BASELINE_return45000ns,V2CLOS240,V10,BASELINE,4.5e-05,12.8867697,passed,
V2CLOS240_V10_EM_ONLY_return100ns,V2CLOS240,V10,EM_ONLY,1e-07,12.7512356,passed,
V2CLOS240_V10_EM_ONLY_return45000ns,V2CLOS240,V10,EM_ONLY,4.5e-05,9.8149942,passed,
V2CLOS240_V10_SW_ONLY_return100ns,V2CLOS240,V10,SW_ONLY,1e-07,10.5602755,passed,
V2CLOS240_V10_SW_ONLY_return45000ns,V2CLOS240,V10,SW_ONLY,4.5e-05,10.2663186,passed,
V2CLOS240_V10_COMBINED_return100ns,V2CLOS240,V10,COMBINED,1e-07,10.4860057,passed,
V2CLOS240_V10_COMBINED_return45000ns,V2CLOS240,V10,COMBINED,4.5e-05,9.5442306,passed,
V2CLOS40_V11_BASELINE_return100ns,V2CLOS40,V11,BASELINE,1e-07,10.721278,passed,
V2CLOS40_V11_BASELINE_return45000ns,V2CLOS40,V11,BASELINE,4.5e-05,13.048121,passed,
V2CLOS40_V11_EM_ONLY_return100ns,V2CLOS40,V11,EM_ONLY,1e-07,11.8871113,passed,
V2CLOS40_V11_EM_ONLY_return45000ns,V2CLOS40,V11,EM_ONLY,4.5e-05,11.7332254,passed,
V2CLOS40_V11_SW_ONLY_return100ns,V2CLOS40,V11,SW_ONLY,1e-07,13.9491069,passed,
V2CLOS40_V11_SW_ONLY_return45000ns,V2CLOS40,V11,SW_ONLY,4.5e-05,13.2555307,passed,
V2CLOS40_V11_COMBINED_return100ns,V2CLOS40,V11,COMBINED,1e-07,12.7694722,passed,
V2CLOS40_V11_COMBINED_return45000ns,V2CLOS40,V11,COMBINED,4.5e-05,13.1676984,passed,
V2CLOS240_V11_BASELINE_return100ns,V2CLOS240,V11,BASELINE,1e-07,10.8691393,passed,
V2CLOS240_V11_BASELINE_return45000ns,V2CLOS240,V11,BASELINE,4.5e-05,12.0640665,passed,
V2CLOS240_V11_EM_ONLY_return100ns,V2CLOS240,V11,EM_ONLY,1e-07,13.1470048,passed,
V2CLOS240_V11_EM_ONLY_return45000ns,V2CLOS240,V11,EM_ONLY,4.5e-05,11.1717582,passed,
V2CLOS240_V11_SW_ONLY_return100ns,V2CLOS240,V11,SW_ONLY,1e-07,10.7314994,passed,
V2CLOS240_V11_SW_ONLY_return45000ns,V2CLOS240,V11,SW_ONLY,4.5e-05,10.1168078,passed,
V2CLOS240_V11_COMBINED_return100ns,V2CLOS240,V11,COMBINED,1e-07,10.4402974,passed,
V2CLOS240_V11_COMBINED_return45000ns,V2CLOS240,V11,COMBINED,4.5e-05,10.2004615,passed,
